Date,Open,High,Low,Close,Volume
2000-01-03,52.5,53,48,51.25,847700
2000-01-04,51.375,57.25,51.25,54,972800
2000-01-05,55.25,64.2188,54.625,59.9375,1604617
2000-01-06,61.375,64.125,54.375,57.5,1174417
2000-01-07,59.6875,60.75,55.625,57.25,339333
2000-01-10,58.6875,59.625,52.875,54.25,2018767
2000-01-11,53.75,57,51.875,52.8125,840600
2000-01-12,53.625,54.1875,51,51.125,283750
2000-01-13,53.1094,53.1875,50,51.625,299383
2000-01-14,52.5,57,52.25,56.875,789383
2000-01-18,55.75,59.3125,55.5,59.1875,572700
2000-01-19,59,62.875,58.3125,62.4375,710250
2000-01-20,61.8125,62,59,61.9375,580317
2000-01-21,62.375,64.5,61.5,63.5,825217
2000-01-24,64.1875,64.4375,59.5,59.9375,401567
2000-01-25,59.8125,63.25,56,62.9375,414750
2000-01-26,63.6875,68.0625,63.25,66.25,877483
2000-01-27,67.75,69.25,63.0625,64.125,1032250
2000-01-28,64.0625,64.1875,58,59.625,568833
2000-01-31,59.75,59.875,56.5,58,344533
2000-02-01,58.375,58.375,56.375,57.25,205517
2000-02-02,57.25,62,57.25,59.5625,389983
2000-02-03,60.9375,61.75,57.875,59.5625,354067
2000-02-04,61.5,62,59.25,60.375,246950
2000-02-07,58.625,61.875,58,60.25,329717
2000-02-08,60.25,60.375,56.375,58.0625,1567083
2000-02-09,58.4375,59.375,56.5,58.4375,529117
2000-02-10,58.4375,58.5,56,56.25,307850
2000-02-11,56.5,56.625,53.5,53.875,235717
2000-02-14,54.9375,55.6875,53.875,54.375,228400
2000-02-15,55.25,55.25,52.25,53,221433
2000-02-16,52.875,53.625,52.125,52.9375,193000
2000-02-17,54.125,55.75,52.875,55,281433
2000-02-18,54.875,55,51,51,290817
2000-02-22,51.0625,52,48.5,50.125,242617
2000-02-23,50.1875,53.125,50.0625,51.875,310783
2000-02-24,56.5,57.5,53.3125,56.75,894833
2000-02-25,57.3125,57.625,54.75,56.9375,401150
2000-02-28,57.4375,57.5,53.5,53.875,229117
2000-02-29,54.125,57,52,55.9375,465050
2000-03-01,59.125,64.75,59,64.375,2040633
2000-03-02,65.5,71.75,65.5,71.5,1558533
2000-03-03,72.5,75.0625,70.4375,75,1235533
2000-03-06,75.5,93,75.375,90.1875,2515450
2000-03-07,96.625,96.75,76.5,78.625,2291750
2000-03-08,84.6875,89.9375,79.125,87.5625,1704767
2000-03-09,89.25,97.5,86.75,93.6875,1778300
2000-03-10,94,97.875,92.375,94.5,684283
2000-03-13,86,99.75,82.375,95.9375,749400
2000-03-14,97.375,104.25,94.875,94.9375,833100
2000-03-15,94.625,94.875,88,89,423333
2000-03-16,89.75,92.1875,83,87.9375,490267
2000-03-17,86.9375,92,86,90,191550
2000-03-20,84.375,86.0625,77,77.6875,678667
2000-03-21,76,83.875,75.5,81.25,442433
2000-03-22,82.125,88,82.125,87,367000
2000-03-23,86.25,89.6875,85,88,340483
2000-03-24,89.375,92.0625,87.5625,90.5,344750
2000-03-27,91.1875,93.375,90.5,92,217650
2000-03-28,90.25,91.875,85.5,86.9375,236783
2000-03-29,87,87.8125,81.75,81.8125,393600
2000-03-30,79.875,82.75,78.5,81.125,473467
2000-03-31,81.75,82,72.9375,80,442117
2000-04-03,77.5625,77.6875,65,65.375,616900
2000-04-04,68.875,75.5,58,75.25,839567
