Date,Open,High,Low,Close,Volume
2000-01-03,48.875,49,47.6876,48.625,5055000
2000-01-04,48.125,49.75,48,48,6181400
2000-01-05,48.0626,50.1876,48,49.125,6398600
2000-01-06,51,52.25,50.5626,51.625,5140600
2000-01-07,52.875,55.125,52.75,53.3126,6360200
2000-01-10,54.0626,54.5626,51.5,51.5626,3682200
2000-01-11,51.625,53.1876,50.75,50.75,3945600
2000-01-12,51.5,52.3126,51.125,51.625,3401000
2000-01-13,53.1876,53.375,52.0626,52.1876,3129400
2000-01-14,52.0626,52.875,51.875,51.9376,3044400
2000-01-18,51.5626,51.75,49.875,49.9376,4054200
2000-01-19,49.9376,50.6876,49.3126,49.3126,3424600
2000-01-20,49.5626,49.9376,47.0626,47.125,4279200
2000-01-21,47.1876,47.9376,45.625,47.375,5000000
2000-01-24,47,47.25,45.0626,45.3126,5385600
2000-01-25,44.8126,45,42.5626,43.625,6084200
2000-01-26,43.375,45.6876,43.375,44.9376,4188200
2000-01-27,44.9376,45.5626,44,44.5626,3340800
2000-01-28,44.125,45.1876,43.5,43.5,4851600
2000-01-31,43.125,43.9376,42.4376,42.4376,3712200
2000-02-01,42.75,44.0626,42.75,43.1876,2930200
2000-02-02,44.5,44.75,42.875,43.4376,2933600
2000-02-03,43.1876,43.25,42.125,42.3126,4343400
2000-02-04,42.5,42.8126,41.25,42.3126,4122000
2000-02-07,41.625,41.8126,40.75,41.25,4089800
2000-02-08,41.5,41.5,40,41,5848400
2000-02-09,40,41.1876,39.125,39.125,5934800
2000-02-10,39.0626,39.5626,37.625,38.0626,5807400
2000-02-11,37.25,37.875,34.875,36,11944800
2000-02-14,37,38.9376,36.25,38.625,6787800
2000-02-15,38.875,40.75,38.625,40,6048200
2000-02-16,39.75,40.625,38.8126,39.1876,3881400
2000-02-17,39.125,39.125,37.6876,38.6876,3824200
2000-02-18,38.25,38.375,37.375,37.6876,3017800
2000-02-22,37.9376,38.875,37.5,38.3126,4028800
2000-02-23,38.375,38.6876,37.1876,37.8126,4894400
2000-02-24,37.8126,37.875,36.25,36.25,4488200
2000-02-25,36.3126,37.5,35.875,36,4139800
2000-02-28,36,36.625,35.375,35.5626,3319200
2000-02-29,35.0626,36.4376,35,35.0626,4805800
2000-03-01,35.125,35.8126,34.875,34.875,4841600
2000-03-02,34.8126,35,34.1876,34.4376,3956000
2000-03-03,34.5,37.3126,34.5,36.375,4805800
2000-03-06,37.1876,38,36.4376,36.6876,5260400
2000-03-07,36.5,36.5,33.5,33.8126,8780800
2000-03-08,35.3126,36.4376,34.625,34.9376,5772000
2000-03-09,34.9376,35.375,34.25,35.25,4904400
2000-03-10,35,36.75,34.8126,35.6876,5335400
2000-03-13,35,36.125,35,35.625,3314800
2000-03-14,36.75,37.1876,35.75,35.8126,6545400
2000-03-15,36.25,39.0626,35.625,38.25,6827400
2000-03-16,39.4376,41.625,38.9376,40.6876,7723400
2000-03-17,40.125,40.3126,39.0626,39.625,4798800
2000-03-20,39.4376,40.5626,38.4376,38.5,4407600
2000-03-21,38.5626,40.0626,38.4376,39.8126,3065800
2000-03-22,39.375,39.625,38.75,38.9376,2487200
2000-03-23,39.5,40.1876,39.25,39.5626,3596000
2000-03-24,39.3126,40,39.25,39.5,2277600
2000-03-27,39,40.625,39,39.0626,2241200
2000-03-28,38.4376,39.125,38.3126,38.3126,2619200
2000-03-29,38.25,39.5626,37.6876,39,3778000
2000-03-30,39.25,41.3126,38.875,40.75,4877800
2000-03-31,40.625,41.125,39.3126,39.4376,4850400
2000-04-03,39.9376,42.25,39.4376,41.875,4664200
2000-04-04,42.0626,44.125,40.875,43.4376,7260400
2000-04-05,43.3126,43.875,42.25,42.4376,3615200
2000-04-06,42.5,43.625,42.25,42.3126,2104800
2000-04-07,41.875,42.4376,41.25,41.375,2937400
2000-04-10,41.25,42.125,41.125,41.4376,1890600
2000-04-11,42,43.25,41.625,42.0626,3531600
2000-04-12,42.875,44.75,42.75,43.4376,4224600
2000-04-13,43.9376,44.875,41.8126,42,4334200
2000-04-14,41.5626,42,40.1876,40.5,4287000
2000-04-17,40.625,42.4376,40.25,40.9376,3754200
2000-04-18,42.875,43.5,39.375,40.25,9957200
2000-04-19,38.1876,38.9376,37,37.625,8557000
2000-04-20,37.5626,38.3126,37.5,38,4924600
2000-04-24,38.25,39.125,38.1876,39,3312200
2000-04-25,39,40.5,39,40.125,4381400
2000-04-26,40.125,40.6876,39.5,39.75,4544400
2000-04-27,39,40.4376,38.9376,40.125,2903600
2000-04-28,41,41,39.25,39.4376,3741600
2000-05-01,39.4376,39.6876,38.8126,38.8126,2637800
2000-05-02,39,39.9376,38.0626,39.625,2840800
2000-05-03,39.125,39.375,38.5,38.875,2442600
2000-05-04,38.9376,38.9376,37.875,37.9376,2377000
2000-05-05,37.9376,39.375,37.875,39.0626,2544600
2000-05-08,39.375,39.75,38.5626,38.9376,2078600
2000-05-09,40,40,37.9376,38,3078800
2000-05-10,38.125,38.4376,37.5626,38.375,2391400
2000-05-11,38.625,39.5626,37.6876,38.8126,2617600
2000-05-12,38.6876,39.875,38.625,39.375,1927800
2000-05-15,39.6876,40.75,39.5626,40.5626,3531000
2000-05-16,41.0626,41.75,40.1876,40.25,4066000
2000-05-17,40.5,40.6876,39.875,40,1526600
2000-05-18,39.9376,40,38.5,38.8126,3559200
2000-05-19,38.875,40.4376,38.5,40.0626,3942200
2000-05-22,40.125,40.6876,39.625,40.1876,2443400
2000-05-23,40.4376,40.6876,39,39.5,2005600
2000-05-24,38.75,40.5,38.75,39.6876,2075000
2000-05-25,39.4376,39.875,37.8126,38.0626,2763800
2000-05-26,38.5,38.8126,37.875,38.125,1908200
2000-05-30,38.4376,38.8126,38.125,38.3126,1614200
2000-05-31,37.875,38.4376,37.875,38.25,2925400
2000-06-01,38.875,40,38.8126,39.75,2835400
2000-06-02,41.375,42.5,40.25,41.0626,4491400
2000-06-05,40.25,40.875,38.5626,40,3871600
2000-06-06,39.5,39.5626,38.1876,39.0626,3697400
2000-06-07,38.75,38.8126,38.125,38.8126,3017600
2000-06-08,38.4376,38.4376,37.6876,38.125,2418800
2000-06-09,38.3126,38.5626,37.75,38.25,1819600
2000-06-12,37.75,39.0626,37.6876,38.625,2635600
2000-06-13,38.5626,38.5626,37,37.25,3154800
2000-06-14,37.25,38.25,37.125,37.625,3292600
2000-06-15,37.375,38,36.8126,37,2703400
2000-06-16,36.9376,37.125,35.875,35.9376,5510400
2000-06-19,36.3126,36.5,35.125,35.125,3703200
2000-06-20,35.125,35.6876,35,35.0626,3212400
2000-06-21,35.0626,35.5,34.9376,35.125,2569000
2000-06-22,35.0626,35.375,34.3126,34.4376,3490200
2000-06-23,34.625,35.125,34.4376,34.625,1787400
2000-06-26,34.75,35.6876,34.6876,34.8126,1959000
2000-06-27,34.6876,36.5,34.6876,35.6876,2754800
2000-06-28,36.5,36.75,36,36.1562,2527200
2000-06-29,35.5,35.5,34.75,35,2415400
2000-06-30,34.75,35.3126,33.8126,33.875,4672000
2000-07-03,34.25,36.0626,34.1876,36,1702400
2000-07-05,34.875,35.4376,34.3126,35.1876,3324600
2000-07-06,35.625,35.625,34.8126,34.8126,2433400
2000-07-07,34.875,34.9376,33.9376,33.9376,3514400
2000-07-10,34.1876,35.375,34.1876,34.25,3084000
2000-07-11,34.5,36.6876,34.5,36.125,5056800
2000-07-12,36.9376,37,35.75,36.5626,3236600
2000-07-13,36.5,36.625,35.875,35.9376,3438000
2000-07-14,35.875,36.0626,35.125,35.75,2999200
2000-07-17,35.5,36.1876,35,35.7188,2677200
2000-07-18,37.125,38.25,36.875,37.75,8446200
2000-07-19,38.5626,38.5626,37.6876,37.9376,6346200
2000-07-20,38.1876,38.4376,36.5,37.0626,5041600
2000-07-21,37,37.1876,36.375,36.5,3777600
2000-07-24,36.375,36.5,36.125,36.25,1660200
2000-07-25,36.25,36.625,35.875,35.875,2363000
2000-07-26,35.5626,35.75,34.75,34.75,3413200
2000-07-27,34.9376,35.375,34.625,34.875,2642200
2000-07-28,34.375,35.0626,33.9376,34.0626,3336600
2000-07-31,34.5626,35.1876,34.0626,34.0626,3131800
2000-08-01,34.3126,34.4376,34.125,34.3126,4007600
2000-08-02,34.5,35.1876,34.375,35,3722000
2000-08-03,34.25,35.75,34.25,35.0626,3375200
2000-08-04,35,35.0626,34.375,34.8438,2018200
2000-08-07,35,36.9376,34.5626,36.6876,4035600
2000-08-08,36.9376,38.8126,36.8126,38.375,7056400
2000-08-09,38.3126,38.375,37.5626,37.625,2906800
2000-08-10,38.125,38.125,37.375,37.5,1964000
2000-08-11,37.25,39,37.25,38.625,2813800
2000-08-14,38.9376,39.0626,38.3126,39.0626,4096600
2000-08-15,39.3126,39.5,38.25,38.6562,2535400
2000-08-16,38.8126,39.3126,38.4376,38.625,2873200
2000-08-17,38.6876,38.8126,38.1876,38.25,1760600
2000-08-18,38.375,38.5626,37.6876,38.1876,1970800
2000-08-21,38.25,38.3126,37.375,37.6876,1527600
2000-08-22,37.875,38,37.375,37.8126,1907600
2000-08-23,37.875,37.875,37.0626,37.125,1962400
2000-08-24,37.0626,37.6876,37,37.6876,2351800
2000-08-25,37.5626,37.8126,37.25,37.625,1400200
2000-08-28,37.6876,37.75,36.625,37.1876,2669000
2000-08-29,38.125,39.125,37.75,38.0626,4115000
2000-08-30,37.8126,38.4376,36.6876,37.5626,3988200
2000-08-31,37,37.875,36.5,36.7696,4834600
2000-09-01,36.8126,37.5,36.25,37.3126,2563800
2000-09-05,37.375,38.8126,37.0626,38.0626,2875600
2000-09-06,38.0626,39.25,38.0626,38.6876,2900600
2000-09-07,39,39.0626,38.0626,38.0626,4777600
2000-09-08,38.0626,38.25,37.5,37.8126,3091600
2000-09-11,37.8126,39.3126,37.75,38.3126,2521800
2000-09-12,38.125,38.8126,37.75,38,3190600
2000-09-13,38.4376,39.25,38.25,38.6876,2132000
2000-09-14,39.1876,39.625,38.8126,39.25,4188200
2000-09-15,37.75,38.4376,37.1876,37.4376,6007800
2000-09-18,37.25,37.3126,35.4376,36.0626,5579000
2000-09-19,35.375,36.1876,34.625,35.5,5201200
2000-09-20,35.375,35.6876,34.9376,35.1876,3515000
2000-09-21,35.4376,35.6876,34.75,34.8126,2412400
2000-09-22,34.75,35.6876,34.5626,35.125,2605400
2000-09-25,35.375,36,35.0626,35.5,2056400
2000-09-26,35,35.375,34.5,35,2804800
2000-09-27,34.5626,34.75,32.5,33.5,7458600
2000-09-28,32.625,34.75,32.625,34,4866000
2000-09-29,34.25,34.75,29,31,3578400
2000-10-02,31,34.25,31,34.25,6628600
2000-10-03,34.1876,36,34.1876,35.0626,4416200
2000-10-04,35.125,35.9376,34.8126,35.125,3534400
2000-10-05,35.125,35.625,34.875,35,2774200
2000-10-06,35.0626,35.6876,34.5,34.5,2549400
2000-10-09,34.5,35,34.375,34.5626,1319200
2000-10-10,34.125,34.4376,33.3126,33.375,2709600
2000-10-11,33.25,34,32.5626,33.25,3741000
2000-10-12,33.1876,33.25,31.1876,31.875,4800400
2000-10-13,31.0626,31.8126,30.875,31.6876,3551000
2000-10-16,31.5626,32.125,31.3126,31.75,3422000
2000-10-17,31.9376,32.0626,30.375,30.5,3269600
2000-10-18,30.125,30.125,29.5626,29.8126,5595800
2000-10-19,30.1876,30.8126,30.0626,30.5,3147000
2000-10-20,30.375,31.1876,30.375,30.6876,2370200
2000-10-23,30.875,31.875,30.6876,31.4376,2725600
2000-10-24,31.6876,32.25,31.5626,31.875,3443800
2000-10-25,31.125,32,31.125,31.3126,2413200
2000-10-26,31.125,32.3126,31.0626,31.8126,2656600
2000-10-27,32,32.875,32,32.875,3200600
