Date,Open,High,Low,Close,Volume
2000-01-03,64,64,62,62.25,2434800
2000-01-04,61.25,61.9376,60.5,60.625,2358400
2000-01-05,60.75,61.25,57.75,58.5626,3169400
2000-01-06,58,60,57.875,58.4376,5802200
2000-01-07,59.125,62.3126,58,61.9376,5570200
2000-01-10,63.5,63.625,61.75,63.625,3049600
2000-01-11,63,64.8126,62.9376,63.9376,3850800
2000-01-12,63.25,64.4376,62.8126,64.375,2332600
2000-01-13,64.125,65.6876,63.8126,64.8126,2643000
2000-01-14,66,66.75,62.0626,63.3126,4695800
2000-01-18,63.0626,63.625,62.0626,63,2902000
2000-01-19,63,63.25,61.125,61.5,2470200
2000-01-20,61.375,63.75,60.5,61.9376,3082000
2000-01-21,63.25,63.25,60.375,61.3126,3642200
2000-01-24,62.75,63,60.5,60.6876,3024800
2000-01-25,61.75,61.8126,59.25,59.625,1929000
2000-01-26,59.75,60.625,58.9376,60.1876,1368000
2000-01-27,59.75,61.3126,59.75,60.3126,2075200
2000-01-28,60.5626,61.125,58.5,59.5,3138400
2000-01-31,58.75,59.6876,58.5,59.25,3411800
2000-02-01,59.25,60.1876,58.4376,59.625,3090800
2000-02-02,60.5,61.625,59.75,61.3126,3010400
2000-02-03,61,61.75,58.375,60,4268600
2000-02-04,59.5,59.5626,55,56.25,6497800
2000-02-07,56.25,56.8126,53.5626,56.375,5906200
2000-02-08,56.375,59.375,56.375,58.6876,5455600
2000-02-09,59.75,59.75,57.5,58.1876,4435400
2000-02-10,58.25,58.5,57.375,57.5,2444400
2000-02-11,57.625,57.625,55.625,55.875,3301200
2000-02-14,55.9376,55.9376,53,54,3962000
2000-02-15,54.75,55.8126,53.8126,55.6876,4309200
2000-02-16,55.875,56.75,55.125,55.375,3066000
2000-02-17,55.625,56,53.5,53.9376,2682200
2000-02-18,52.5,54.875,52,53.0626,4189600
2000-02-22,53.0626,53.9376,50.6876,52.375,3111000
2000-02-23,51.875,51.9376,50.9376,51.375,3062800
2000-02-24,50.75,51.625,47.875,49.0626,4953400
2000-02-25,49.1876,49.75,48,48.25,5931200
2000-02-28,48.875,51.3126,48,51,5317400
2000-02-29,51.25,53.5,50.625,52.1876,4971800
2000-03-01,52.25,53.625,51.5,53,3489600
2000-03-02,53.25,53.375,52.5,52.625,3090400
2000-03-03,52.625,55.125,52.5626,54.875,2866200
2000-03-06,55,55,52.625,52.8126,2239600
2000-03-07,46,49.75,45.75,46.75,16743200
2000-03-08,47.125,47.875,42.375,43.9376,15871800
2000-03-09,43.75,44.375,43,44,5240400
2000-03-10,44,44,40.875,42.75,8014200
2000-03-13,40.5,44.1876,40.5,43.375,5746000
2000-03-14,42.25,43.5626,42,43.1876,3185400
2000-03-15,43.875,54,43.75,51.8126,11815800
2000-03-16,51.8126,52.375,49.75,51.25,9545400
2000-03-17,50.25,51.9376,49.8126,49.9376,5084800
2000-03-20,49.9376,51,49.125,50.25,3725000
2000-03-21,49.875,51.5,49.75,50.3126,4182400
2000-03-22,49.875,50.9376,48.5,50.5626,4988400
2000-03-23,50.1876,54,50,53.125,5917400
2000-03-24,53.1876,56,53.1876,54.375,4643000
2000-03-27,55,55.5,53.9376,54.1876,3348600
2000-03-28,53.375,56.875,53.375,56.875,4296200
2000-03-29,57,57.625,55.6876,56.4376,4349200
2000-03-30,55.25,56.4376,54.5626,56.1876,5765000
2000-03-31,56.375,58.375,55.9376,56.375,4308000
2000-04-03,56.625,60.875,56.4376,60.5,3763600
2000-04-04,60,61.625,59.25,60.6876,5783400
2000-04-05,60.375,61.75,58.25,58.4376,3419600
2000-04-06,58.5626,60,57,59,3068000
2000-04-07,59,60,58.75,59.3126,2512000
2000-04-10,58,60.875,57.875,60.25,4362600
2000-04-11,60.875,62.875,60.75,62.625,5006600
2000-04-12,62.625,65.25,61.875,62,6154800
2000-04-13,61,61.5,57.8126,59,5849000
2000-04-14,55.75,57.375,54.4376,55.75,5026600
2000-04-17,55,57.625,54.5626,57.625,4526400
2000-04-18,57,57,54.625,55.25,4614000
2000-04-19,56,56,52.8126,55.6876,7988800
2000-04-20,55.25,57.375,54.625,57.125,5521400
