Date,Open,High,Low,Close,Volume
2000-07-31,28.7196,28.7196,28.0898,28.0898,208000
2000-08-01,28.2156,28.2156,27.6486,28.2156,124800
2000-08-02,29.2234,29.6646,29.2234,29.475,92800
2000-08-03,29.475,29.9162,29.4122,29.538,148800
2000-08-04,29.475,29.6646,29.2234,29.6008,123200
2000-08-07,29.475,29.475,28.7196,28.7824,62400
2000-08-08,29.6646,30.2314,29.4122,29.6646,108800
2000-08-09,29.538,30.2314,29.538,29.979,228800
2000-08-10,30.483,30.483,30.2942,30.483,89600
2000-08-11,30.483,30.7982,30.483,30.7982,24000
2000-08-14,30.987,31.2386,30.987,31.1128,232000
2000-08-15,31.5538,31.6166,30.924,30.924,51200
2000-08-16,30.8612,31.6796,30.8612,31.6166,99200
2000-08-17,31.9312,32.4352,31.9312,32.3094,107200
2000-08-18,32.3722,32.3722,31.8682,32.0578,92800
2000-08-21,32.1836,32.1836,31.9312,31.9948,44800
2000-08-22,31.9948,31.9948,31.6166,31.8054,54400
2000-08-23,31.9312,32.7504,31.9312,32.7504,436800
2000-08-24,32.6246,32.6246,32.3722,32.3722,131200
2000-08-25,32.6876,32.939,32.5618,32.8762,38400
2000-08-28,32.8762,33.506,32.8134,33.506,203200
2000-08-29,33.5688,34.0728,32.6246,32.6246,131200
2000-08-30,32.4352,32.5618,32.4352,32.4352,27200
2000-08-31,32.6876,33.002,32.6876,32.7504,30400
2000-09-01,32.7504,32.7504,32.2464,32.2464,104000
2000-09-05,32.5618,32.8762,32.3722,32.8762,64000
2000-09-06,32.7504,33.8842,32.6246,33.7584,97600
2000-09-07,33.8842,34.2614,33.7584,34.0728,115200
2000-09-08,33.6946,33.6946,33.6318,33.6318,33600
2000-09-11,33.8212,34.2614,33.8212,34.01,64000
2000-09-12,34.5138,35.5218,34.2614,35.5218,126400
2000-09-13,35.7734,36.1516,35.5848,36.025,187200
2000-09-14,36.025,36.1516,35.6476,35.6476,118400
2000-09-15,35.8362,37.5368,35.8362,37.5368,176000
2000-09-18,37.5368,38.1666,36.4032,37.1586,225600
2000-09-19,37.474,37.474,36.7184,36.8442,137600
2000-09-20,37.8522,37.8522,36.2774,36.2774,110400
2000-09-21,35.0178,35.2694,34.8912,35.0178,60800
2000-09-22,34.0728,35.0178,33.506,33.7584,179200
2000-09-25,33.1914,33.1914,32.4352,33.1914,254400
2000-09-26,33.8842,33.8842,33.8212,33.8212,12800
2000-09-27,34.2614,34.2614,33.8212,33.8842,27200
2000-09-28,33.3172,33.6946,33.3172,33.5688,1049600
2000-09-29,33.3802,33.7584,33.2544,33.7584,48000
2000-10-02,34.2614,34.6396,33.7584,34.5138,60800
2000-10-03,34.5138,34.8284,34.0728,34.0728,32000
2000-10-04,34.5138,34.5768,34.1358,34.451,107200
2000-10-05,33.8212,33.8212,33.1278,33.1278,30400
2000-10-06,33.002,33.002,32.4352,32.4352,108800
2000-10-09,32.6876,32.6876,32.6246,32.6246,12800
2000-10-10,32.939,33.6318,32.939,33.0648,152000
2000-10-11,33.3172,33.506,33.2544,33.2544,48000
2000-10-12,33.002,34.3252,33.002,33.8212,166400
2000-10-13,33.7584,33.7584,32.6876,32.8762,35200
2000-10-16,32.2464,32.2464,31.3644,31.3644,30400
2000-10-17,31.491,31.6166,31.0498,31.2386,120000
2000-10-18,31.2386,31.2386,30.2942,30.8612,129600
2000-10-19,30.987,31.2386,30.987,31.2386,40000
2000-10-20,30.5458,31.3644,30.5458,31.3644,76800
2000-10-23,31.428,31.428,30.987,31.2386,51200
2000-10-24,31.1128,31.1128,30.42,30.42,59200
2000-10-25,30.6088,30.7346,30.42,30.42,12800
2000-10-26,30.8612,31.1128,30.6716,30.6716,16000
2000-10-27,30.42,30.42,29.3492,29.3492,172800
2000-10-30,29.3492,29.3492,28.7824,28.7824,80000
2000-10-31,28.9082,29.6646,28.9082,29.6008,22400
2000-11-01,29.8532,30.1048,29.6008,29.8532,73600
2000-11-02,29.4122,29.6008,29.2234,29.2234,46400
2000-11-03,29.2864,29.2864,28.7824,28.7824,60800
2000-11-06,29.0976,29.0976,28.468,28.971,75200
2000-11-07,28.8452,29.2864,28.8452,29.2864,22400
2000-11-08,29.7904,29.7904,29.0976,29.0976,41600
2000-11-09,29.475,29.7904,29.0976,29.0976,195200
2000-11-10,29.2234,29.2864,28.7824,28.8452,155200
2000-11-13,28.8452,29.2234,27.964,27.964,184000
2000-11-14,28.4042,28.5938,27.964,28.3772,230400
2000-11-15,28.2156,28.7824,28.2156,28.4042,131200
2000-11-16,28.5938,28.7196,28.468,28.5308,273600
2000-11-17,28.7196,28.7196,28.2156,28.3414,251200
2000-11-20,28.3414,28.468,27.964,27.964,220800
2000-11-21,27.7116,27.7116,26.5778,27.3342,980800
2000-11-22,27.2706,27.2706,26.2634,26.5778,188800
2000-11-24,27.5228,27.901,27.5228,27.901,62400
2000-11-27,27.6486,28.0268,27.5228,27.8374,137600
2000-11-28,27.7116,28.9082,27.7116,28.468,184000
2000-11-29,28.8452,28.8452,28.0268,28.0268,276800
2000-11-30,28.0898,28.2156,27.3342,27.8374,137600
2000-12-01,27.901,28.2784,27.6486,27.6486,32000
2000-12-04,27.901,29.979,27.901,29.979,468800
2000-12-05,29.7904,30.1676,28.1526,28.2784,203200
2000-12-06,28.2784,29.2234,28.2784,29.1606,73600
2000-12-07,29.2864,29.9162,29.2864,29.7274,107200
2000-12-08,29.7274,29.7904,29.0348,29.1606,118400
2000-12-11,29.4122,29.676,28.971,29.475,184000
2000-12-12,29.2864,29.475,29.1606,29.1606,99200
2000-12-13,29.3492,29.3492,28.971,29.0348,46400
2000-12-14,29.0348,29.0348,27.5228,27.5858,179200
2000-12-15,27.6486,27.7116,27.3972,27.7116,59200
2000-12-18,27.7116,28.4042,27.7116,28.2156,153600
2000-12-19,28.0268,28.0268,27.0818,27.0818,128000
2000-12-20,27.0818,27.0818,25.8224,25.8852,171200
2000-12-21,25.9482,25.9482,24.941,25.1296,521600
2000-12-22,25.1926,25.6966,25.0668,25.0668,236800
2000-12-26,25.1926,26.2004,25.1926,26.2004,30400
2000-12-27,25.6966,26.5778,25.6966,26.515,176000
2000-12-28,26.515,27.5858,26.515,27.3342,331200
2000-12-29,27.46,27.7116,26.8302,27.7116,374400
2001-01-02,27.964,28.5938,27.964,28.2784,712000
2001-01-03,28.2156,28.2156,27.0818,27.3342,185600
2001-01-04,27.3972,27.46,26.5778,26.8932,140800
2001-01-05,26.7044,27.6486,26.7044,27.5228,222400
2001-01-08,27.8374,27.901,27.1448,27.1448,539200
2001-01-09,27.2076,27.7116,26.956,27.5858,105600
2001-01-10,27.3342,28.0268,27.2076,28.0268,110400
2001-01-11,27.6486,28.3414,27.6486,27.8374,190400
2001-01-12,27.901,28.0898,27.5858,27.901,152000
2001-01-16,28.0268,28.7824,28.0268,28.6566,406400
2001-01-17,28.6566,29.2234,28.3414,28.6566,249600
2001-01-18,28.4042,28.4042,27.964,27.964,345600
2001-01-19,27.8374,27.901,27.46,27.7116,43200
2001-01-22,28.0898,28.468,28.0898,28.468,380800
2001-01-23,28.468,29.0976,28.2156,28.971,224000
2001-01-24,29.1606,29.1606,28.3414,28.8452,142400
2001-01-25,28.8452,29.0348,28.7824,29.0348,24000
2001-01-26,28.971,29.7904,28.9082,29.475,272000
2001-01-29,29.707,29.8182,29.556,29.556,177600
2001-01-30,29.3542,29.475,29.012,29.475,102400
2001-01-31,29.4954,29.5256,29.4448,29.4448,41600
2001-02-01,29.435,30.211,29.435,30.211,113600
2001-02-02,30.4528,30.5834,30.2314,30.362,185600
2001-02-05,30.211,30.211,29.8484,29.8786,76800
2001-02-06,29.828,29.828,29.3648,29.3648,158400
2001-02-07,29.4252,29.4652,29.2234,29.4048,177600
2001-02-08,29.4448,29.868,29.4448,29.868,129600
2001-02-09,29.8182,30.3826,29.8182,30.2714,272000
2001-02-12,30.3522,30.7346,30.1808,30.5638,329600
2001-02-13,30.634,30.7648,30.5336,30.7346,115200
2001-02-14,30.634,31.3798,30.634,31.2492,192000
2001-02-15,31.2492,31.2492,30.0296,30.0296,729600
2001-02-16,30.0998,31.3896,30.0998,31.2288,443200
2001-02-20,31.9442,32.0446,30.7346,30.7346,289600
2001-02-21,30.4324,30.4324,29.5256,29.596,468800
2001-02-22,29.596,30.1604,29.5764,30.0296,246400
2001-02-23,30.0296,30.0296,29.6262,29.7274,176000
2001-02-26,29.6768,29.9284,29.4252,29.4954,401600
2001-02-27,29.475,29.475,28.9212,29.0014,203200
2001-02-28,28.7498,28.7498,28.2458,28.3666,259200
2001-03-01,28.7196,28.82,28.468,28.619,105600
2001-03-02,28.7196,29.5052,28.5284,29.5052,166400
2001-03-05,29.5764,30.8456,29.5764,30.8456,337600
2001-03-06,31.2386,31.4402,30.9158,31.0376,515200
2001-03-07,30.987,32.6998,30.987,32.6998,515200
2001-03-08,32.5282,32.6696,31.8332,32.4074,393600
2001-03-09,32.5486,32.5486,31.9442,32.3372,345600
2001-03-12,31.9442,32.0144,31.0376,31.0376,507200
2001-03-13,30.987,30.987,30.5336,30.8856,587200
2001-03-14,30.5834,31.6314,30.5834,31.2794,817600
2001-03-15,31.0874,31.0874,30.2314,30.2314,110400
2001-03-16,30.3318,30.3318,28.9816,29.0316,417600
2001-03-19,29.2234,30.09,29.2234,29.2536,260800
2001-03-20,29.6564,30.0998,29.6564,29.828,136000
2001-03-21,30.0092,30.0092,29.6466,29.8884,256000
2001-03-22,29.747,30.1506,29.163,29.2938,329600
2001-03-23,30.0296,30.1302,29.6262,29.6866,105600
2001-03-26,29.6262,30.1808,29.6262,29.6466,187200
2001-03-27,29.6972,29.828,29.596,29.707,52800
2001-03-28,29.4252,29.9088,29.284,29.3444,185600
2001-03-29,29.1222,29.4448,28.5986,28.891,350400
2001-03-30,29.0618,29.4554,28.8306,29.0724,204800
2001-04-02,29.6262,29.7274,28.619,28.619,662400
2001-04-03,28.8706,28.9212,28.0644,28.236,153600
2001-04-04,28.2156,28.9612,28.2156,28.6386,315200
2001-04-05,28.7702,28.9106,28.5684,28.5684,350400
2001-04-06,28.3666,29.0724,28.316,28.5986,264000
2001-04-09,28.7898,29.5256,28.7898,29.5256,203200
2001-04-10,30.0296,30.4528,29.7274,30.4528,286400
2001-04-11,30.4528,30.5834,29.556,29.6262,188800
2001-04-12,29.9284,30.019,29.2634,29.2634,80000
2001-04-16,29.2742,29.6972,29.2742,29.395,81600
2001-04-17,29.979,29.979,29.6164,29.6564,272000
2001-04-18,29.828,29.828,29.3346,29.3346,1116800
2001-04-19,29.3844,29.4252,29.2234,29.2438,174400
2001-04-20,29.4448,29.8786,29.324,29.6066,558400
2001-04-23,30.1808,30.7852,30.1302,30.3522,1427200
2001-04-24,30.5834,31.1886,30.3416,30.3522,1030400
2001-04-25,30.4324,30.8856,30.4324,30.7346,281600
2001-04-26,31.0376,31.4002,30.7852,31.3496,452800
2001-04-27,31.6722,31.843,31.4402,31.7424,867200
2001-04-30,32.146,32.297,31.3896,31.642,782400
2001-05-01,31.642,31.642,30.2412,30.8358,774400
2001-05-02,30.2314,30.2314,28.5178,28.619,1251200
2001-05-03,28.9212,29.1728,28.6492,28.8306,572800
2001-05-04,29.0422,29.7274,28.931,29.4554,264000
2001-05-07,29.7274,30.1906,29.2742,29.3844,406400
2001-05-08,29.324,29.7674,29.284,29.6368,204800
2001-05-09,29.8786,30.8856,29.8786,30.7346,542400
2001-05-10,31.3398,31.6216,30.8962,30.8962,340800
2001-05-11,30.987,31.0172,30.4324,30.6038,305600
2001-05-14,30.8358,31.3594,30.5834,31.1584,374400
2001-05-15,31.491,32.2464,31.259,32.0652,748800
2001-05-16,32.3166,32.4678,32.0954,32.3976,536000
2001-05-17,32.5486,32.9522,32.5486,32.7904,1144000
2001-05-18,32.7904,33.4962,32.7202,33.4962,897600
2001-05-21,33.9592,34.776,33.9592,34.5744,552000
2001-05-22,33.7282,34.0606,33.4456,33.5158,1110400
2001-05-23,33.5264,33.5966,33.0526,33.4152,620800
2001-05-24,33.657,34.0606,32.962,33.2846,908800
2001-05-25,33.2944,33.5762,32.6998,33.0126,539200
2001-05-29,33.5158,34.1406,33.506,33.8286,1777600
2001-05-30,34.3122,34.3122,33.3548,33.849,2128000
2001-05-31,33.5158,34.1406,32.7708,33.8188,476800
2001-06-01,34.2614,34.2614,33.466,33.657,652800
2001-06-04,33.8082,34.2312,33.657,33.738,507200
2001-06-05,33.8082,33.9894,33.7176,33.8082,318400
2001-06-06,33.657,33.7282,33.4054,33.657,484800
2001-06-07,33.6072,33.6072,32.9016,33.0828,284800
2001-06-08,33.002,33.002,32.186,32.5994,211200
2001-06-11,32.5184,32.8108,32.5184,32.6598,153600
2001-06-12,32.5486,33.0526,32.4482,32.9114,113600
2001-06-13,32.9016,32.962,32.7202,32.801,300800
2001-06-14,32.6696,32.6696,32.2766,32.3976,283200
2001-06-15,32.6492,32.801,32.4482,32.5486,545600
2001-06-18,32.6794,32.8712,32.4678,32.6998,254400
2001-06-19,32.6598,32.6598,32.0652,32.0652,264000
2001-06-20,32.1256,32.1256,31.0074,31.0874,276800
2001-06-21,31.2892,31.3496,30.0492,30.3016,1123200
2001-06-22,30.4324,30.6136,29.4856,30.6136,1518400
2001-06-25,30.866,31.0376,30.1302,30.4324,217600
2001-06-26,30.4626,30.4626,29.979,30.09,174400
2001-06-27,29.9586,29.9586,28.8608,28.9212,238400
2001-06-28,28.6688,29.2938,28.4074,28.7196,593600
2001-06-29,28.971,29.9284,28.7702,29.8786,115200
2001-07-02,29.828,29.868,29.5256,29.5764,70400
2001-07-03,29.3346,29.3444,29.1222,29.2234,209600
2001-07-05,29.4554,29.6368,29.3648,29.3648,171200
2001-07-06,29.2438,29.395,28.82,29.2234,184000
2001-07-09,29.1932,29.2234,28.6386,28.6688,1100800
2001-07-10,29.395,29.395,28.4172,28.5986,544000
2001-07-11,28.4172,28.6688,28.115,28.6688,630400
2001-07-12,28.7196,28.7196,28.2156,28.4876,224000
2001-07-13,28.3666,28.9212,28.1952,28.8306,169600
2001-07-16,28.5782,28.6288,28.316,28.316,233600
2001-07-17,28.4172,28.5684,27.7222,27.9942,710400
2001-07-18,27.8324,27.8324,27.0066,27.571,656000
2001-07-19,27.7222,27.9134,27.6618,27.8128,65600
2001-07-20,28.316,28.8102,28.0138,28.8102,155200
2001-07-23,29.3346,29.475,28.8306,29.3444,265600
2001-07-24,29.3044,29.4048,29.1222,29.1222,292800
2001-07-25,29.2634,30.0598,29.2634,29.8378,251200
2001-07-26,30.09,30.09,29.1826,29.4954,504000
2001-07-27,29.4954,29.4954,29.1222,29.2742,248000
2001-07-30,29.5158,29.6972,29.4252,29.5354,54400
2001-07-31,29.475,30.0598,29.475,29.8786,281600
2001-08-01,30.0794,30.1106,29.7168,29.7168,38400
2001-08-02,29.9692,30.6438,29.7576,30.3826,913600
2001-08-03,30.5336,31.0572,30.4324,31.0074,304000
2001-08-06,31.1584,31.4402,30.8358,30.8358,225600
2001-08-07,30.906,31.6722,30.906,31.6722,324800
2001-08-08,31.8634,32.5282,31.3194,31.3194,571200
2001-08-09,31.2386,31.2386,30.1302,30.171,204800
2001-08-10,30.1604,30.8758,30.1604,30.634,305600
2001-08-13,30.634,30.8358,30.483,30.5336,182400
2001-08-14,30.483,30.483,30.2208,30.2208,78400
2001-08-15,30.2208,31.138,30.2208,30.987,163200
2001-08-16,31.138,31.138,30.0394,30.2314,449600
2001-08-17,30.1302,30.1302,29.4954,29.5256,192000
2001-08-20,29.5658,29.7772,29.475,29.475,116800
2001-08-21,29.5764,29.7576,29.324,29.5256,155200
2001-08-22,29.6262,30.4324,29.6262,29.8884,208000
2001-08-23,29.8884,29.8884,29.475,29.5256,67200
2001-08-24,29.5658,29.7772,29.5658,29.7372,30400
2001-08-27,29.828,29.828,29.1222,29.1222,118400
2001-08-28,28.9612,29.1222,28.5178,28.619,105600
2001-08-29,28.6688,28.6688,28.2156,28.2556,668800
2001-08-30,28.2458,28.2458,27.7116,27.8128,284800
2001-08-31,27.7116,28.0546,27.7116,28.0546,185600
2001-09-04,28.0742,29.5256,28.0742,28.7196,638400
2001-09-05,28.7498,29.828,28.7498,29.4856,395200
2001-09-06,29.3844,29.4652,28.9914,29.3844,227200
2001-09-07,29.435,29.435,28.9106,29.3444,118400
2001-09-10,29.2938,29.7274,29.1426,29.6368,84800
2001-09-17,29.6368,30.4324,29.6368,29.979,510400
2001-09-18,29.979,29.979,28.7702,28.8306,212800
2001-09-19,28.9212,28.9212,26.7346,27.5506,731200
2001-09-20,26.956,27.3694,26.724,26.724,246400
2001-09-21,26.5028,27.0466,25.4442,26.6636,435200
2001-09-24,25.757,26.0992,24.9508,25.092,782400
2001-09-25,25.293,25.6254,24.789,24.8192,1043200
2001-09-26,24.5882,24.7792,24.2752,24.2752,641600
2001-09-27,24.1846,24.638,24.1446,24.4566,496000
2001-09-28,24.5678,25.3944,24.5276,24.5276,408000
2001-10-01,24.5472,24.7392,24.3358,24.7392,443200
2001-10-02,24.8904,25.797,24.6886,25.7162,379200
2001-10-03,25.5854,25.6966,24.789,25.6254,369600
2001-10-04,25.6458,26.533,25.6458,26.4724,427200
