Date,Open,High,Low,Close,Volume
2000-01-03,35.4479,35.5432,34.495,34.5426,1419600
2000-01-04,34.2091,34.495,33.685,33.8756,1122800
2000-01-05,34.0662,34.2568,32.9227,33.2562,3107200
2000-01-06,33.3515,34.7809,32.9704,34.3997,2073400
2000-01-07,34.6856,34.9238,34.3044,34.3997,1343800
2000-01-10,34.5426,34.5426,33.9709,34.3044,1147000
2000-01-11,34.3044,34.495,33.9233,34.2568,849200
2000-01-12,34.0662,34.2091,33.4468,33.5897,1717600
2000-01-13,34.0185,34.0662,33.5421,33.6374,1477200
2000-01-14,33.6374,33.6374,32.7798,33.3515,846000
2000-01-18,33.2086,33.9233,33.2086,33.8756,1172000
2000-01-19,34.1615,34.1615,33.2562,33.5897,1125400
2000-01-20,33.4468,33.4468,32.3033,32.6368,930600
2000-01-21,32.9227,33.3039,32.208,32.5415,2536400
2000-01-24,32.8274,32.9227,31.6363,31.8269,1757200
2000-01-25,32.0651,32.4463,31.3981,32.208,1143600
2000-01-26,32.3986,32.3986,31.0646,31.3981,1807200
2000-01-27,31.3981,31.3981,30.4452,30.874,1083800
2000-01-28,30.8263,31.0169,29.9211,30.3975,1047400
2000-01-31,30.3022,31.2551,29.9211,31.1598,1559400
2000-02-01,31.1598,31.3504,30.4452,31.0169,1286200
2000-02-02,30.874,31.541,30.3499,30.5881,965000
2000-02-03,30.5881,30.7787,29.9687,30.0164,2496200
2000-02-04,29.8258,29.9687,29.3017,29.7305,1451800
2000-02-07,30.4928,30.5881,30.1593,30.4928,2485200
2000-02-08,30.9216,30.9216,29.4446,29.7305,1664400
2000-02-09,30.3022,30.3022,28.8729,29.0635,1535000
2000-02-10,29.1111,30.0164,28.8252,28.9682,2230000
2000-02-11,29.1588,29.2064,28.2535,28.5394,1144400
2000-02-14,28.587,29.0635,28.1582,28.6823,1996200
2000-02-15,28.8729,29.3017,28.7776,29.1588,1946000
2000-02-16,28.8729,30.2069,28.7299,30.1117,1749200
2000-02-17,29.9687,30.3022,29.8258,30.1117,1519600
2000-02-18,30.874,30.874,29.0158,29.5399,1988600
