Date,Open,High,Low,Close,Volume
2000-01-03,91.0626,91.0626,87.9376,89,6057400
2000-01-04,88.9376,89.125,83.9376,84.125,5722800
2000-01-05,84.4376,85.875,83.6876,85.5626,7726400
2000-01-06,86.625,89.125,86.5,87.2812,7221400
2000-01-07,86.875,93.25,86.8126,93.0626,5164800
2000-01-10,93.0626,95.0626,91.8126,95,4454000
2000-01-11,94.25,95.125,91.5,91.625,2955000
2000-01-12,93.125,94.5,89.875,91.5,4687400
2000-01-13,92.5626,96.125,90.875,94.9376,5750800
2000-01-14,48.125,50.25,48,49.0625,4571000
2000-01-18,48.75,51.75,48.25,51.25,5932000
2000-01-19,51.9375,53.125,50.125,51.875,4130500
2000-01-20,52.375,53.125,50,50,5551900
2000-01-21,51.4375,51.5,48,48.5,3520200
2000-01-24,48.1875,51.25,46.5,47,5005500
2000-01-25,47.5625,49.75,45.75,49.6875,3730800
2000-01-26,49.125,52,48.6875,50.4375,3782800
2000-01-27,50.5625,51.375,46.5,48.9375,3109600
2000-01-28,48.625,49.75,45.875,46,2834600
2000-01-31,46.0625,49.5,45,48.9375,3249700
2000-02-01,49.3125,52.125,48,51.875,4530500
2000-02-02,52,54,51,53.9375,4945700
2000-02-03,54,55,53.25,54.1875,4640800
2000-02-04,54.75,55.1875,52.625,53,3273700
2000-02-07,52,52.25,51,51.25,2566700
2000-02-08,51.9375,53.75,51.75,53.0625,2440700
2000-02-09,52,53,51.4375,52.875,1466800
2000-02-10,52.8125,52.875,51.875,52.125,2761800
2000-02-11,52.125,52.3125,51,51.6875,2071000
2000-02-14,51.5625,51.625,50,50.75,1856300
2000-02-15,50.0625,50.5,48.5,49.375,2675400
2000-02-16,49.1875,49.3125,46.375,47.75,4231600
2000-02-17,48,48,43.5,44,6955400
2000-02-18,43.75,45.9375,41.875,44.9375,6004200
2000-02-22,44.8125,45.25,42.625,44,3769600
2000-02-23,44.375,45.25,43.6406,44.5625,4267300
2000-02-24,44.7031,45.0625,43,44.375,3990500
2000-02-25,44.25,48.3438,43.75,47.5625,7698400
2000-02-28,47.25,50.625,47.25,48.9375,6621300
2000-02-29,48.875,50,48.125,49.625,3681800
2000-03-01,49.4375,49.8125,46.125,46.5,4624400
2000-03-02,47.5625,51.875,47.5,49.625,7841800
2000-03-03,50.1875,51.25,48.875,49.9375,2430500
2000-03-06,49.875,50.25,49.125,50.125,3419200
2000-03-07,50.0313,50.0625,45,45.375,7506100
2000-03-08,46.3125,46.375,42.375,45.625,6526600
2000-03-09,45.5,45.5625,43.6875,44.5625,4937300
2000-03-10,44.6875,46.25,43.9375,44.125,4934000
2000-03-13,44,45,42.375,43,3747300
2000-03-14,43.5,45.5,43.125,43.3125,2097100
2000-03-15,43.1875,50.5,43,49.8125,5515300
2000-03-16,48.875,56.0625,48.25,55.9531,12820600
