Date,Open,High,Low,Close,Volume
2000-01-03,21.688,21.813,20.812,20.875,1791000
2000-01-04,20.687,21.75,20.687,21,5801000
2000-01-05,21,21.75,21,21.563,4261000
2000-01-06,21.937,22.938,21.813,22.625,9802000
2000-01-07,22.75,23.25,22.375,23,8794000
2000-01-10,23.063,23.375,22.438,23.187,6368000
2000-01-11,23,23.25,22.938,23,3420000
2000-01-12,22.938,23.438,22.875,23.25,3513000
2000-01-13,23.063,23.375,23.063,23.25,3078000
2000-01-14,23.125,23.312,22.625,22.813,4689000
2000-01-18,23.438,24.25,23.25,23.937,4871000
2000-01-19,23.875,24.375,23.875,24.125,5052000
2000-01-20,24.125,24.125,23,23.125,3749000
2000-01-21,23.125,23.125,22.125,22.125,7687000
2000-01-24,22.375,22.625,21.5,21.625,6723000
2000-01-25,21.75,22.125,21.5,21.563,8413000
2000-01-26,21.563,22.125,21.125,22.062,10830000
2000-01-27,22.5,23.375,22.5,22.813,4492000
2000-01-28,22.625,22.625,21.937,22,2271000
2000-01-31,21.813,22.313,21.625,21.625,5065000
2000-02-01,21.437,22.25,21.437,22.062,3770000
2000-02-02,22,22.062,21.25,21.375,4660000
2000-02-03,21.75,21.75,20.812,21.063,8142000
2000-02-04,21,21.625,20.875,21.5,5438000
2000-02-07,21.5,21.75,20.812,20.875,7845000
2000-02-08,20.875,21.063,20.125,20.25,4695000
2000-02-09,20.125,20.313,19.75,19.875,4986000
2000-02-10,19.688,20.625,19.562,20.5,5512000
2000-02-11,20.438,20.5,20,20.062,4179000
2000-02-14,20.062,20.25,20.062,20.187,6507000
2000-02-15,20.25,20.5,20,20.187,9033000
2000-02-16,20,20.375,19.875,20.125,2689000
2000-02-17,20.062,20.187,19.937,20.062,7998000
2000-02-18,19.813,20.125,19.188,19.312,5599000
2000-02-22,19.25,19.813,19.25,19.813,4517000
2000-02-23,19.813,19.875,19.125,19.25,3067000
2000-02-24,19.25,19.562,18.5,18.625,2819000
2000-02-25,18.687,19.375,18.687,19.125,3120000
2000-02-28,19.375,19.75,19.063,19.562,5859000
2000-02-29,19.562,19.75,19.25,19.5,5643000
2000-03-01,19.813,19.875,19.375,19.813,4523000
2000-03-02,20.125,20.125,18.937,19.188,8752000
2000-03-03,19.188,19.438,19,19.312,6383000
2000-03-06,19.25,19.25,18.563,18.687,4781000
2000-03-07,18.875,19.125,18.5,19.063,6861000
2000-03-08,18.937,19.188,18.625,18.875,3518000
2000-03-09,18.813,19,18.563,18.937,5653000
2000-03-10,18.937,19.125,18.375,18.563,4238000
2000-03-13,18.25,18.813,18.25,18.625,3219000
2000-03-14,18.5,19,18.375,18.937,3580000
2000-03-15,18.875,19.562,18.813,19.312,7146000
2000-03-16,19.937,20.625,19.562,20.438,5772000
2000-03-17,20.5,20.875,20.5,20.563,5332000
2000-03-20,20.313,20.75,20.313,20.5,2434000
2000-03-21,20.563,20.563,20.125,20.313,5241000
2000-03-22,20.313,20.5,20.187,20.25,5139000
2000-03-23,19.562,20.187,19.5,20.062,2057000
2000-03-24,19.813,19.875,19.25,19.688,6091000
2000-03-27,19.625,20,19.438,19.813,4331000
2000-03-28,19.625,19.813,19.375,19.375,6306000
2000-03-29,19.375,19.937,19.312,19.75,3863000
2000-03-30,19.625,21.5,19.625,21.5,8323000
2000-03-31,21.375,22.562,21.375,22.375,7423000
2000-04-03,22.25,23.125,22,22.813,6037000
2000-04-04,22.687,23.375,21.875,22.375,4764000
2000-04-05,22.125,23.375,22.125,23.375,4692000
2000-04-06,23.312,23.937,23.187,23.312,3787000
2000-04-07,23.063,23.187,22.375,22.375,2604000
2000-04-10,22.5,22.687,22,22.062,2709000
2000-04-11,21.813,22.562,21.813,22.25,3200000
2000-04-12,22.25,23.312,22.25,23.063,3946000
2000-04-13,23.063,23.375,22.938,23,4920000
2000-04-14,22.938,23.563,22,22.062,4052000
2000-04-17,22,22.875,22,22.75,3130000
2000-04-18,22.687,23.375,22.687,23.25,11491000
2000-04-19,23.625,24.813,23.625,24.375,3759000
2000-04-20,24.5,25.187,23.937,24.188,5090000
2000-04-24,23.75,25.187,23.75,25.125,8807000
2000-04-25,25.375,25.75,25,25.438,5310000
2000-04-26,25.313,25.313,24.625,25,5154000
2000-04-27,24.5,24.938,24.375,24.437,6262000
2000-04-28,24.25,24.25,23.688,23.812,4463000
2000-05-01,24,24.25,23.625,24.25,3945000
2000-05-02,24.125,24.688,24.125,24.5,5450000
2000-05-03,24.5,24.625,24.25,24.562,3470000
2000-05-04,24.313,24.5,23.875,24.437,2913000
2000-05-05,23.312,25.125,23.312,25.062,3767000
2000-05-08,24.75,25.875,24.625,25.75,2620000
2000-05-09,25.812,26.813,25.812,26.563,6319000
2000-05-10,26.437,26.75,25.375,26.25,4076000
2000-05-11,25.125,25.625,24.875,25.438,4112000
