Date,Open,High,Low,Close,Volume
2000-01-03,53,53,49.0004,52.25,2811000
2000-01-04,52.0004,52.688,49.25,50.1252,3501000
2000-01-05,50.3748,51.6252,49.7504,50.6876,4150800
2000-01-06,50.0628,52.0004,49.8752,50.9688,4867200
2000-01-07,50.9376,54.1248,50.5004,53.5316,4119600
2000-01-10,54,55.5,53.6252,54.75,3739200
2000-01-11,54.188,54.188,51.188,51.5628,4960200
2000-01-12,51.2504,51.3752,50.1252,50.1252,6217200
2000-01-13,50,54.3752,50,54.3128,3813000
2000-01-14,54.5,55.6248,53.5004,54.5628,4094400
2000-01-18,53.8128,55.6248,53.3748,55.3128,3724200
2000-01-19,55.5,55.5,51.5628,52.0004,2766600
2000-01-20,52.4376,52.6248,51,51.2504,4929600
2000-01-21,50.75,51,48.8748,49.25,6145200
2000-01-24,49.1876,49.7504,49.0004,49.0628,4268400
2000-01-25,48.6876,48.6876,44.9532,47.25,9273600
2000-01-26,47.25,48.6252,47.0628,47.6876,3980400
2000-01-27,47.75,48.75,47,47.5628,3172800
2000-01-28,46.9376,48,44.6252,44.8752,8240400
2000-01-31,45.3752,47.1252,45.188,46.844,5680200
2000-02-01,47.094,47.3748,45.9692,46.5,3029400
2000-02-02,46.8128,48.0624,46.0784,48,4963800
2000-02-03,47.75,49.5624,47.0628,48.6876,4025400
2000-02-04,48.5,50.25,48.2504,49.3752,3230400
2000-02-07,49.3752,49.6248,45,45.3752,4764000
2000-02-08,46.6248,46.7504,41,43.6248,10329000
2000-02-09,43.5,43.5624,41.5004,42.5628,18115200
2000-02-10,42.1248,42.1248,39.75,40.25,12369600
2000-02-11,40.3128,40.3752,38.5004,38.8128,11291400
2000-02-14,39.188,40.7504,38.25,39.8436,8201400
2000-02-15,39,41.25,38.438,40.7504,6927600
2000-02-16,40.3752,40.5,39.2504,39.4376,3496800
2000-02-17,40.0004,40.688,39.2504,40.5624,3594000
2000-02-18,41,41.0628,37.0004,37.3752,7429200
2000-02-22,36.8124,36.938,34.7504,36.4376,13113000
2000-02-23,36.3752,37.5,35.75,36.3752,6358200
2000-02-24,36.8748,38.25,36,38.1876,6316200
2000-02-25,38.1252,40.8752,38.0628,38.406,5893800
2000-02-28,37.5,39.8124,36.188,38.6876,5395800
2000-02-29,38.6876,40.3752,37.9376,39.938,4005600
2000-03-01,40.1252,41.438,37.8752,40.7504,4364400
2000-03-02,40.3752,42,40.0004,40.5624,3369600
2000-03-03,41.5004,42.75,40.6248,41.25,4482600
2000-03-06,40.9064,41.1408,40.25,40.5624,3964200
2000-03-07,40.5,40.8128,39.8748,40.0004,5258400
2000-03-08,27,27,25.3124,26.6876,4948800
2000-03-09,26.5624,27.5,26.25,27.25,5821200
2000-03-10,27,28.6252,26.8752,27.6876,5112400
2000-03-13,26.75,27.75,25.6252,26.8752,4356400
2000-03-14,26.8752,28.1252,26.3124,26.3752,3524800
2000-03-15,27,31.25,25.75,29.8752,8262800
2000-03-16,29.5624,37.8752,29.5,36.25,18705600
2000-03-17,34.75,35.75,33.6252,34.1252,8578000
2000-03-20,33.5,33.5,31,32.0624,5011600
2000-03-21,32.25,35.25,32.25,35.0624,5294800
2000-03-22,35,35.25,33.8752,34.8752,5068800
2000-03-23,34.3124,35.6876,33.75,35.0624,3037600
2000-03-24,35.5,36.8752,35.5,36.8124,5270000
2000-03-27,36.75,37.1252,35.75,36.4376,2640000
2000-03-28,36.3752,36.6252,35.6252,36.0624,2647200
2000-03-29,35.4376,36.25,34.25,34.8124,3692800
2000-03-30,34.6252,36.8124,34.5624,36.0624,6695600
2000-03-31,36,39.6252,34.75,39.1876,8286400
2000-04-03,38.3752,40,38.0624,39.0624,3914800
2000-04-04,39,41.25,38.25,40.3752,9172400
2000-04-05,39.6876,40.8752,37.8124,38.328,2754400
2000-04-06,38.3124,38.4376,36.9376,37.6252,2905200
2000-04-07,37.3752,38.9376,36.9376,38.9376,2266000
2000-04-10,39.3124,39.3124,37.1252,37.1252,2809200
2000-04-11,37,38.9376,36.5,37.75,3704000
2000-04-12,37.25,38.4376,37,37.8752,4576400
2000-04-13,38,38.4376,36.25,38.25,4530800
2000-04-14,37.8124,38.1252,33.4376,33.75,5859200
2000-04-17,33,40,33,39.8752,6509200
2000-04-18,39,39.3752,37.4376,37.6252,6289600
2000-04-19,37.3752,37.4376,35.5,36.25,3491200
2000-04-20,36.3124,38.1876,36.3124,37.8752,3586000
2000-04-24,37.25,39.3124,37,38.8752,3577200
2000-04-25,38.6252,42.6252,38.6252,42.1252,6037600
2000-04-26,42.0624,42.0624,37,37.6252,4674400
2000-04-27,37.0624,41,36.75,40,4201600
2000-04-28,39.5624,39.8752,37.5,39.6252,3382800
2000-05-01,39.6252,40.1252,38.3752,39.75,2442800
2000-05-02,39.0936,39.75,37.25,37.4376,3337600
2000-05-03,37.25,37.5,35.5624,37.0624,2998800
2000-05-04,37.5,38.25,36.75,38.1252,3030800
2000-05-05,38.0624,40,37.5,39.4376,2521600
2000-05-08,38.8752,40.4376,37.4376,38.75,3193200
2000-05-09,39.25,40.4376,37.5,39.75,2458800
2000-05-10,39.1876,41.2968,39,39.3124,3200400
2000-05-11,39.5,40.0624,38.4376,39.6876,3465200
2000-05-12,39.6876,40.1876,39.0624,40.0624,2134800
