Date,Open,High,Low,Close,Volume
2000-01-03,43.625,43.8126,42.5626,42.875,2691200
2000-01-04,42.5,43,42.4376,42.8126,3370600
2000-01-05,42.9376,44.4376,42.4376,43.8126,6213800
2000-01-06,44.625,46.875,44.4376,46.0626,6081400
2000-01-07,46.0626,47.4376,45.6876,46,4113000
2000-01-10,46,47.4376,45.6876,46.9376,3156600
2000-01-11,46.4376,47.375,46.375,46.9376,3176400
2000-01-12,46.4376,46.5626,45.8126,46.0626,3013800
2000-01-13,46.3126,47.0626,45.8126,46.25,2002800
2000-01-14,47,48.3126,46.75,48.125,2989400
2000-01-18,47.6876,47.6876,45.4376,47.125,3040400
2000-01-19,47,47.8126,45.375,46.375,2004000
2000-01-20,46.625,46.75,45.125,45.5626,2164600
2000-01-21,45.5626,45.5626,43.8126,44.1876,2659600
2000-01-24,44.25,44.875,43.8126,44.875,1653400
2000-01-25,44.875,45.3126,42.875,44.5,3080400
2000-01-26,44.625,46.0626,44.5626,45.625,2465200
2000-01-27,45.75,46,45.25,45.8126,1466800
2000-01-28,45.375,45.4376,44,44.75,2606000
2000-01-31,44.625,44.625,43.5,43.6876,1826400
2000-02-01,43.625,43.625,42.2812,42.75,3139800
2000-02-02,43.75,44.5,42.5626,42.625,3168600
2000-02-03,42.6876,43,40.375,41.25,4060000
2000-02-04,40.5,41.125,39.8126,40.875,2953600
2000-02-07,40.875,41.5626,40.0626,41.3126,2017200
2000-02-08,41.75,41.8126,36.25,40.0626,10296000
2000-02-09,40.1876,41,39.625,40,4098600
2000-02-10,40,40.1876,37.125,37.5,2402000
2000-02-11,37.875,37.875,35.9376,36.1876,3009000
2000-02-14,36.3126,39.125,35.6876,39,3117800
2000-02-15,40,41.125,39.625,40.4376,2621600
2000-02-16,40.6876,41.625,39,39.3126,2736800
2000-02-17,40,40.625,39.5,39.8126,2028000
2000-02-18,39.5626,40.375,37.9376,38.5,1174200
2000-02-22,38.25,40.5,38,40,1886400
2000-02-23,39.5,39.875,38.25,38.5,1308400
2000-02-24,38.25,38.3126,36.1876,37,1469200
2000-02-25,36.75,39.0626,36.5,36.9376,2246400
2000-02-28,36.6876,37.4376,36.5626,36.9376,1822600
2000-02-29,37,37.0626,35.5626,35.75,4101400
2000-03-01,35.875,37.25,34.8126,37,3712600
2000-03-02,35,35.0626,34,34.5626,3581200
2000-03-03,34.4376,35.5,33.9376,34.875,4530800
2000-03-06,34.8126,35.8126,34.0626,34.1876,2483400
2000-03-07,34.1876,34.1876,30.3126,30.375,6393000
2000-03-08,31,35.25,31,35.25,5782200
2000-03-09,35.5,35.6876,34.875,35.6876,3835400
2000-03-10,35.9376,36.4376,35.0626,35.5,1321000
2000-03-13,35.5626,35.6876,34.3126,35.3126,1525800
2000-03-14,35.9376,36.125,34.5,34.5626,2147400
2000-03-15,34.5626,40,34.1876,37.5,4763400
2000-03-16,38,41.5,38,39.5,3794800
2000-03-17,39.5,39.875,37.875,38.1876,2753600
2000-03-20,38.1876,39.125,37.8126,38.3126,1378800
2000-03-21,37.25,40,37.25,38.5626,1823200
2000-03-22,38.5,38.75,37.375,38.1876,1387400
2000-03-23,38.0626,39.5,37.625,38.8126,1578800
2000-03-24,38.8126,39,37.5,38.375,1828200
2000-03-27,37.625,38.375,37.5626,37.625,1169400
2000-03-28,37.125,38.0626,36.375,36.875,1722400
2000-03-29,36.375,37.875,36.125,37.25,1565600
2000-03-30,37.3126,39.875,36.5,39.0626,2151400
2000-03-31,39,39,38,38,2154400
2000-04-03,38,39.0626,36.6876,38.875,3520000
2000-04-04,39.125,42.25,38.125,40.1876,4191800
2000-04-05,39.5,42,39.5,40.3126,4099400
2000-04-06,40.3126,42,39.8126,40,2217000
2000-04-07,40.125,40.125,38.625,39,1130600
2000-04-10,39.25,40.8126,39.125,39.25,1557400
2000-04-11,40.625,41.875,40.1876,40.3126,1764200
2000-04-12,40.9376,42.875,40.875,42.4376,2337400
2000-04-13,43,44.625,41,41.5,3147800
2000-04-14,40.75,41,39.75,40.25,2050600
2000-04-17,39.75,40.75,38.625,39.25,1692800
2000-04-18,39.75,40,38.0626,39.875,1618800
2000-04-19,39.625,39.9376,37.875,38.5626,1148200
2000-04-20,38,39.125,37.9376,38.875,1155000
2000-04-24,37.875,39.375,37.875,38.8126,1533800
2000-04-25,38.9376,41.25,38.625,40.9376,1887000
2000-04-26,40.875,40.875,40.0626,40.125,908200
2000-04-27,40,41.3126,39.875,40.875,1745800
2000-04-28,40.375,40.875,39.9376,40.375,1451600
2000-05-01,39.5,40.4376,39.25,40.4376,1827400
2000-05-02,40.875,42,40.4376,40.6876,1803600
2000-05-03,40.75,40.875,39.9376,40.5626,1219600
2000-05-04,40.25,40.25,39.5,39.9376,2078400
2000-05-05,39.75,39.75,38.875,39.375,1786400
2000-05-08,39.5,40.9376,39.1876,40.25,1469800
2000-05-09,40.375,41.625,40,40.0626,1664000
2000-05-10,40,41.75,39.9376,41.75,1814000
2000-05-11,42.75,42.875,40.8126,41.5,5960200
2000-05-12,42.5626,44.375,42.375,44.0626,4789800
2000-05-15,44.3126,44.9376,44.3126,44.9376,2729800
2000-05-16,47.625,48.25,46.375,46.5626,7587000
2000-05-17,46.125,47.1876,45.625,46.5626,4932800
2000-05-18,47,47.5626,45.9376,46.3126,4023800
2000-05-19,45.125,47.3126,45.125,46.8126,2424200
2000-05-22,46.875,49.625,46.5,49.5626,5611000
2000-05-23,49,49.25,46.3126,47.3126,5675600
2000-05-24,47.3126,47.4376,46.5626,47.125,2965600
2000-05-25,47.25,48.5,47.25,47.9376,2782400
2000-05-26,45.5,46.875,43.875,44.6876,4164400
2000-05-30,44.75,45.8126,44.75,45.25,2494200
2000-05-31,43.625,43.75,41.5,41.5626,4146800
2000-06-01,42.375,43.25,41.75,42.875,2928800
2000-06-02,42.375,42.875,42,42,2313800
2000-06-05,42.375,42.375,41.75,41.9376,1296800
2000-06-06,42.625,43.8126,42.5626,43.8126,2855400
2000-06-07,43.8126,43.9376,42.6876,43.0626,1596200
2000-06-08,43.375,43.5,42.0626,42.25,1662600
2000-06-09,42.375,42.625,41,41.5,915800
2000-06-12,41.625,42.125,41.3126,41.7188,1122800
2000-06-13,41.1876,41.1876,40.0626,40.3126,1985800
2000-06-14,40.375,43.375,40.1876,42.9376,3178600
2000-06-15,43.875,43.875,41.9376,42.125,2509000
2000-06-16,42.125,42.125,40.8126,41.375,2383600
2000-06-19,41.125,41.125,39.0626,40.1876,2886600
2000-06-20,40.125,40.1876,38.6876,39.1876,2763400
2000-06-21,38.625,39.375,37.875,39.25,2722400
2000-06-22,39.125,39.375,36.9376,37.0626,3183600
2000-06-23,37.625,37.875,37.25,37.6876,2080000
2000-06-26,38.125,38.25,37.375,37.5,1769000
2000-06-27,37.75,39.125,37.375,39.125,3539800
2000-06-28,38.875,39.75,37.875,38.7812,3605800
