Date,Amount,Currency
2000-01-12,0.07631,USD
2000-04-12,0.08529,USD
2000-07-12,0.08529,USD
2000-10-11,0.08529,USD
2001-01-10,0.08529,USD
2001-04-10,0.09427,USD
2001-07-11,0.09427,USD
2001-10-11,0.09427,USD
2002-01-11,0.09427,USD
2002-04-11,0.10549,USD
2002-07-11,0.10549,USD
2002-10-10,0.10549,USD
2003-01-13,0.10549,USD
2003-04-11,0.10998,USD
2003-07-11,0.10998,USD
2003-10-10,0.10998,USD
2004-01-13,0.10998,USD
2004-04-13,0.11671,USD
2004-05-03,1.36551,USD
2004-07-13,0.12475,USD
2004-10-13,0.12475,USD
2005-01-12,0.12475,USD
2005-04-13,0.13195,USD
2005-07-13,0.13195,USD
2005-10-12,0.13195,USD
2006-01-11,0.13195,USD
2006-04-11,0.14154,USD
2006-07-12,0.14154,USD
2006-10-11,0.14154,USD
2007-01-10,0.14154,USD
2007-04-11,0.15594,USD
2007-07-11,0.15594,USD
2007-10-11,0.15594,USD
2008-01-11,0.15594,USD
2008-04-11,0.17273,USD
2008-07-11,0.17273,USD
2008-10-10,0.17273,USD
2009-01-13,0.17273,USD
2009-04-13,0.19192,USD
2009-07-13,0.19192,USD
2009-10-13,0.19192,USD
2010-01-13,0.19192,USD
2010-04-13,0.21111,USD
2010-07-13,0.21111,USD
2010-10-13,0.21111,USD
2011-01-12,0.21111,USD
2011-04-13,0.2303,USD
2011-07-13,0.2303,USD
2011-10-12,0.2303,USD
2012-01-11,0.2303,USD
2012-04-11,0.2447,USD
2012-07-11,0.2447,USD
2012-10-11,0.2447,USD
2013-01-11,0.14,USD
2013-04-11,0.14,USD
2013-07-11,0.14,USD
2013-10-10,0.14,USD
2014-01-13,0.22,USD
2014-04-11,0.22,USD
2014-07-11,0.22,USD
2014-10-10,0.22,USD
2015-01-13,0.24,USD
2015-04-13,0.24,USD
2015-07-13,0.24,USD
2015-10-13,0.24,USD
2016-01-13,0.26,USD
2016-04-13,0.26,USD
2016-07-13,0.26,USD
2016-10-12,0.26,USD
2017-01-11,0.265,USD
2017-04-11,0.265,USD
2017-07-12,0.265,USD
2017-10-12,0.265,USD
2018-01-11,0.28,USD
2018-04-12,0.28,USD
2018-07-12,0.28,USD
2018-10-12,0.28,USD
2019-01-14,0.32,USD
2019-04-12,0.32,USD
2019-07-12,0.32,USD
2019-10-11,0.32,USD
2020-01-14,0.36,USD
2020-04-14,0.36,USD
2020-07-14,0.36,USD
2020-10-14,0.36,USD
2021-01-14,0.45,USD
2021-04-14,0.45,USD
2021-07-14,0.45,USD
2021-10-14,0.45,USD
2022-01-13,0.47,USD
2022-04-13,0.47,USD
2022-07-14,0.47,USD
2022-10-13,0.47,USD
2023-01-12,0.51,USD
2023-04-13,0.51,USD
2023-07-13,0.51,USD
2023-10-12,0.51,USD
2024-01-11,0.55,USD
2024-04-12,0.55,USD
2024-07-15,0.55,USD
2024-10-15,0.55,USD
2025-01-15,0.59,USD
