Date,Amount,Currency
2000-02-15,0.01875,USD
2000-05-16,0.02125,USD
2000-08-15,0.02125,USD
2000-11-14,0.02125,USD
2001-02-13,0.02125,USD
2001-05-15,0.025,USD
2001-08-14,0.025,USD
2001-11-13,0.025,USD
2002-02-12,0.025,USD
2002-05-14,0.03,USD
2002-08-13,0.03,USD
2002-11-12,0.03,USD
2003-02-12,0.035,USD
2003-05-13,0.035,USD
2003-08-12,0.04,USD
2003-11-10,0.04,USD
2004-02-11,0.0475,USD
2004-05-12,0.0475,USD
2004-08-11,0.0475,USD
2004-11-09,0.0475,USD
2005-02-16,0.055,USD
2005-05-18,0.055,USD
2005-08-17,0.055,USD
2005-11-16,0.055,USD
2006-02-15,0.065,USD
2006-05-17,0.065,USD
2006-08-16,0.065,USD
2006-11-15,0.08,USD
2007-02-14,0.0925,USD
2007-05-16,0.1025,USD
2007-08-15,0.1025,USD
2007-11-14,0.1025,USD
2008-02-15,0.12,USD
2008-05-19,0.12,USD
2008-08-18,0.12,USD
2008-11-17,0.12,USD
2009-02-13,0.14,USD
2009-05-18,0.14,USD
2009-08-17,0.14,USD
2009-11-16,0.14,USD
2010-02-11,0.14,USD
2010-05-17,0.14,USD
2010-08-16,0.14,USD
2010-11-15,0.15,USD
2011-02-11,0.15,USD
2011-05-16,0.15,USD
2011-08-15,0.15,USD
2011-11-14,0.165,USD
2012-02-13,0.165,USD
2012-05-14,0.165,USD
2012-08-13,0.165,USD
2012-11-09,0.175,USD
2013-02-13,0.175,USD
2013-05-20,0.175,USD
2013-08-19,0.175,USD
2013-11-18,0.185,USD
2014-02-12,0.185,USD
2014-05-19,0.185,USD
2014-08-18,0.185,USD
2014-11-17,0.195,USD
2015-02-12,0.195,USD
2015-05-18,0.195,USD
2015-08-17,0.195,USD
2015-11-16,0.205,USD
2016-02-11,0.205,USD
2016-05-16,0.205,USD
2016-08-22,0.205,USD
2016-11-14,0.215,USD
2017-02-13,0.215,USD
2017-05-22,0.215,USD
2017-08-21,0.215,USD
2017-11-14,0.225,USD
2018-02-20,0.26,USD
2018-05-22,0.26,USD
2018-08-21,0.26,USD
2018-11-20,0.26,USD
2019-02-19,0.27,USD
2019-05-21,0.27,USD
2019-08-20,0.27,USD
2019-11-19,0.27,USD
2020-02-18,0.28,USD
2020-05-19,0.28,USD
2020-08-18,0.28,USD
2020-11-17,0.28,USD
2021-02-16,0.33,USD
2021-05-18,0.33,USD
2021-08-17,0.33,USD
2021-11-16,0.33,USD
2022-02-15,0.4,USD
2022-05-17,0.4,USD
2022-08-23,0.4,USD
2022-11-15,0.4,USD
2023-02-14,0.42,USD
2023-05-16,0.42,USD
2023-08-22,0.42,USD
2023-11-14,0.42,USD
2024-02-20,0.5,USD
2024-05-21,0.5,USD
2024-08-21,0.5,USD
2024-11-20,0.5,USD
2025-02-19,0.58,USD
