Date,Amount,Currency
2011-12-08,0.35,USD
2012-04-09,0.21,USD
2012-06-28,0.22,USD
2012-09-27,0.23,USD
2012-12-13,0.24,USD
2013-04-08,0.26,USD
2013-06-13,0.27,USD
2013-09-19,0.28,USD
2013-12-12,0.29,USD
2014-04-08,0.32,USD
2014-06-13,0.34,USD
2014-09-19,0.36,USD
2014-12-12,0.38,USD
2015-04-08,0.42,USD
2015-06-15,0.44,USD
2015-09-21,0.46,USD
2015-12-14,0.49,USD
2016-04-08,0.51,USD
2016-06-15,0.53,USD
2016-09-28,0.55,USD
2016-12-23,0.58,USD
2017-04-10,0.62,USD
2017-06-15,0.64,USD
2017-09-28,0.66,USD
2017-12-27,0.7,USD
2018-04-10,0.75,USD
2018-06-18,0.77,USD
2018-09-27,0.79,USD
2018-12-26,0.84,USD
2019-04-10,0.9,USD
2019-06-18,0.92,USD
2019-09-26,0.95,USD
2019-12-26,1.01,USD
2020-04-13,1.08,USD
2020-06-18,1.1,USD
2020-09-25,1.14,USD
2020-12-24,1.21,USD
2021-04-12,1.24,USD
2021-06-17,1.27,USD
2021-09-27,1.31,USD
2021-12-23,1.39,USD
2022-04-12,1.4,USD
2022-06-16,1.43,USD
2022-10-07,1.47,USD
2022-12-27,1.56,USD
2023-04-13,1.56,USD
2023-06-15,1.57,USD
2023-10-10,1.62,USD
2023-12-27,1.7,USD
2024-04-11,1.62,USD
2024-06-14,1.62,USD
2024-10-09,1.62,USD
2024-12-27,1.62,USD
