Date,Amount,Currency
2011-05-19,0.22,USD
2011-08-18,0.24,USD
2011-11-22,0.2,USD
2012-02-21,0.46,USD
2012-05-17,0.25,USD
2012-08-23,0.24,USD
2012-11-20,0.4,USD
2013-02-15,1.05,USD
2013-05-14,0.57,USD
2013-08-22,1.32,USD
2013-11-20,1.01,USD
2014-02-14,1.08,USD
2014-05-16,0.84,USD
2014-08-20,0.46,USD
2014-11-12,0.73,USD
2015-02-12,0.86,USD
2015-05-18,0.33,USD
2015-08-14,0.42,USD
2015-11-18,0.35,USD
2016-02-17,0.28,USD
2016-05-18,0.25,USD
2016-08-18,0.37,USD
2016-11-17,0.35,USD
2017-02-16,0.45,USD
2017-05-17,0.49,USD
2017-08-18,0.52,USD
2017-11-20,0.39,USD
2018-02-20,0.66,USD
2018-05-17,0.38,USD
2018-08-16,0.43,USD
2018-11-19,0.46,USD
2019-02-20,0.56,USD
2019-05-20,0.46,USD
2019-08-15,0.5,USD
2019-11-19,0.5,USD
2020-02-10,0.89,USD
2020-05-15,0.42,USD
2020-08-17,0.49,USD
2020-11-19,0.51,USD
2021-02-18,0.6,USD
2021-05-19,0.5,USD
2021-08-18,0.5,USD
2021-11-18,0.5,USD
2022-02-17,0.4,USD
2022-05-17,0.4,USD
2022-08-17,0.4,USD
2022-11-16,0.4,USD
2023-02-17,0.4,USD
2023-05-19,0.43,USD
2023-08-17,0.43,USD
2023-11-16,0.43,USD
2024-02-16,0.43,USD
2024-05-16,0.4625,USD
2024-08-16,0.4625,USD
2024-11-18,0.4625,USD
2025-02-18,0.4625,USD
