Date,Amount,Currency
2014-08-21,0.18,USD
2014-11-20,0.24,USD
2015-03-12,0.24,USD
2015-05-20,0.25,USD
2015-08-21,0.26,USD
2015-11-20,0.13,USD
2016-03-10,0.2,USD
2016-05-20,0.15,USD
2016-08-19,0.28,USD
2016-11-17,0.2,USD
2017-03-08,0.28,USD
2017-05-18,0.13,USD
2017-05-25,0.13,USD
2017-08-16,0.31,USD
2017-11-16,0.41,USD
2018-02-23,0.4,USD
2018-04-13,0.093,USD
2018-06-14,0.28,USD
2018-09-13,0.28,USD
2018-12-14,0.28,USD
2019-03-14,0.32,USD
2019-06-13,0.32,USD
2019-09-13,0.32,USD
2019-12-16,0.32,USD
2020-03-16,0.4,USD
2020-06-15,0.4,USD
2020-09-15,0.4,USD
2020-12-16,0.4,USD
2021-03-16,0.47,USD
2021-06-15,0.47,USD
2021-09-15,0.47,USD
2021-12-16,0.47,USD
2022-03-16,0.61,USD
2022-06-15,0.61,USD
2022-09-15,0.61,USD
2022-12-15,0.61,USD
2023-03-16,0.77,USD
2023-06-15,0.77,USD
2023-09-14,0.77,USD
2023-12-14,0.77,USD
2024-03-14,0.93,USD
2024-06-14,0.93,USD
2024-09-16,0.93,USD
2024-12-17,0.93,USD
