Date,Amount,Currency
2000-02-02,0.1711,USD
2000-05-03,0.16605,USD
2000-08-02,0.16805,USD
2000-11-01,0.1625,USD
2001-01-31,0.18323,USD
2001-05-02,0.1812,USD
2001-08-01,0.18105,USD
2001-10-31,0.1769,USD
2002-01-30,0.18657,USD
2002-05-01,0.19557,USD
2002-07-31,0.19245,USD
2002-10-30,0.1912,USD
2003-02-10,0.22103,USD
2003-05-05,0.24037,USD
2003-08-01,0.33,USD
2003-08-04,0.23517,USD
2003-11-07,0.26834,USD
2004-02-04,0.2611,USD
2004-05-05,0.29304,USD
2004-08-04,0.30336,USD
2004-11-03,0.37158,USD
2005-02-02,0.3713,USD
2005-05-04,0.3738,USD
2005-08-03,0.38585,USD
2005-11-02,0.41934,USD
2006-02-01,0.42924,USD
2006-05-03,0.48261,USD
2006-08-02,0.55905,USD
2006-11-01,0.5547,USD
2007-01-31,0.55066,USD
2007-05-02,0.63321,USD
2007-08-01,0.64335,USD
2007-10-31,0.7016,USD
2008-01-30,0.71966,USD
2008-04-30,0.70749,USD
2008-07-30,0.7075,USD
2008-10-29,0.56876,USD
2009-02-04,0.57033,USD
2009-04-29,0.58217,USD
2009-08-05,0.65302,USD
2009-11-04,0.66947,USD
2010-01-28,0.66549,USD
2010-04-29,0.69704,USD
2010-07-28,0.6759,USD
2010-10-28,0.68641,USD
2011-01-28,0.72043,USD
2011-04-28,0.71365,USD
2011-07-28,0.7381,USD
2011-10-28,0.70522,USD
2012-01-30,0.69683,USD
2012-04-27,0.71359,USD
2012-07-30,0.7103,USD
2012-10-31,0.72036,USD
2013-01-30,0.71792,USD
2013-04-29,0.72982,USD
2013-07-30,0.71908,USD
2013-10-30,0.70783,USD
2014-01-30,0.67979,USD
2014-04-29,0.69308,USD
2014-07-30,0.71504,USD
2014-10-30,0.69693,USD
2015-01-29,0.63644,USD
2015-04-29,0.66862,USD
2015-07-30,0.62927,USD
2015-10-29,0.6226,USD
2016-01-28,0.59651,USD
2016-04-28,0.66978,USD
2016-07-27,0.6504,USD
2016-10-28,0.64325,USD
2017-01-30,0.67214,USD
2017-04-27,0.64478,USD
2017-07-28,0.7244,USD
2017-10-31,0.69816,USD
2018-01-31,0.75804,USD
2018-04-30,0.72546,USD
2018-07-31,0.73733,USD
2018-10-31,0.73101,USD
2019-01-31,0.76144,USD
2019-04-30,0.74338,USD
2019-07-31,0.78437,USD
2019-10-31,0.78152,USD
2020-01-31,0.8016,USD
2020-04-30,0.76103,USD
2020-08-03,0.76689,USD
2020-10-30,0.80266,USD
2021-01-29,0.81988,USD
2021-04-30,0.84688,USD
2021-08-02,0.8782,USD
2021-10-29,0.85938,USD
2022-01-31,1.06205,USD
2022-04-29,1.03603,USD
2022-08-01,1.0813,USD
2022-10-31,1.0212,USD
2023-01-27,1.06972,USD
2023-04-27,1.04958,USD
2023-07-27,1.11191,USD
2023-10-27,1.06395,USD
2024-01-29,1.12851,USD
2024-04-26,1.10167,USD
2024-07-30,1.13807,USD
2024-10-30,1.11439,USD
2025-01-30,1.12459,USD
