Date,Amount,Currency
2000-01-28,0.02212,USD
2000-04-27,0.02197,USD
2000-07-28,0.02212,USD
2000-10-30,0.02257,USD
2001-01-30,0.02257,USD
2001-04-27,0.02257,USD
2001-07-30,0.02242,USD
2001-10-30,0.02257,USD
2002-01-30,0.02242,USD
2002-04-29,0.02242,USD
2002-07-30,0.02257,USD
2002-10-30,0.02257,USD
2003-01-29,0.02257,USD
2003-04-29,0.02257,USD
2003-07-30,0.02348,USD
2003-10-29,0.02331,USD
2004-01-28,0.02331,USD
2004-04-28,0.02438,USD
2004-07-28,0.01896,USD
2004-10-28,0.01883,USD
2005-01-28,0.01896,USD
2005-04-27,0.02017,USD
2005-07-27,0.0232,USD
2005-07-28,0.02032,USD
2005-10-28,0.02017,USD
2006-01-30,0.02032,USD
2006-05-03,0.03228,USD
2006-07-28,0.03251,USD
2006-10-30,0.03251,USD
2007-01-30,0.03251,USD
2007-04-27,0.03657,USD
2007-07-30,0.03657,USD
2007-10-30,0.03631,USD
2008-01-30,0.03657,USD
2008-04-29,0.03934,USD
2008-07-30,0.03934,USD
2008-10-29,0.03934,USD
2009-01-28,0.03962,USD
2009-04-29,0.03934,USD
2009-07-29,0.03962,USD
2009-10-28,0.03962,USD
2010-01-28,0.03962,USD
2010-04-28,0.03962,USD
2010-07-28,0.03934,USD
2010-10-28,0.03934,USD
2011-01-28,0.03934,USD
2011-04-27,0.03962,USD
2011-07-28,0.03934,USD
2011-10-28,0.03962,USD
2012-01-30,0.03934,USD
2012-04-27,0.04237,USD
2012-07-30,0.04759,USD
2012-10-31,0.04793,USD
2012-12-12,0.0427,USD
2013-01-30,0.04793,USD
2013-03-22,0.05135,USD
2013-04-29,0.05268,USD
2013-07-30,0.05305,USD
2013-10-30,0.05305,USD
2014-01-29,0.07073,USD
2014-05-28,0.05619,USD
2014-08-27,0.05658,USD
2014-11-25,0.07111,USD
2014-11-26,0.05619,USD
2015-02-25,0.0597,USD
2015-05-27,0.06321,USD
2015-08-27,0.06365,USD
2015-11-25,0.08,USD
2015-11-27,0.06365,USD
2016-02-25,0.06848,USD
2016-05-27,0.06848,USD
2016-08-29,0.06958,USD
2016-11-28,0.07006,USD
2017-02-24,0.07545,USD
2017-05-26,0.09333,USD
2017-05-30,0.07493,USD
2017-08-29,0.07545,USD
2017-11-29,0.07545,USD
2018-02-27,0.08028,USD
2018-05-30,0.08084,USD
2018-08-30,0.08084,USD
2018-11-29,0.08084,USD
2019-02-27,0.08563,USD
2019-05-30,0.08623,USD
2019-08-29,0.08623,USD
2019-11-27,0.10667,USD
2019-11-29,0.08623,USD
2020-02-27,0.09634,USD
2020-05-28,0.09701,USD
2020-08-28,0.09701,USD
2020-11-27,0.09701,USD
2021-02-25,0.10509,USD
2021-05-27,0.10509,USD
2021-08-30,0.10509,USD
2021-11-29,0.10509,USD
2022-02-25,0.11318,USD
2022-05-27,0.14,USD
2022-05-31,0.11318,USD
2022-08-30,0.11318,USD
2022-11-29,0.11318,USD
2023-02-27,0.07,USD
2023-03-15,0.07,USD
2023-05-30,0.07,USD
2023-08-30,0.07,USD
2023-11-29,0.07,USD
2024-03-12,0.08,USD
2024-06-13,0.08,USD
2024-09-12,0.08,USD
2024-12-16,0.08,USD
