Date,Amount,Currency
2000-03-15,0.3095,USD
2000-08-09,0.1485,USD
2001-03-07,0.317,USD
2001-08-08,0.1575,USD
2002-03-06,0.352,USD
2002-08-07,0.1835,USD
2003-03-05,0.425,USD
2003-08-06,0.191,USD
2004-03-03,0.4815,USD
2004-08-04,0.2255,USD
2005-03-09,0.5525,USD
2005-08-03,0.255,USD
2006-03-08,0.6055,USD
2006-08-02,0.294,USD
2007-03-07,0.7985,USD
2007-08-01,0.3775,USD
2008-03-05,0.9295,USD
2008-08-06,0.3945,USD
2009-03-11,0.9275,USD
2009-08-19,0.4605,USD
2010-03-10,1.092,USD
2010-08-18,0.5245,USD
2011-03-09,1.33,USD
2011-08-17,0.596,USD
2012-03-07,1.43,USD
2012-08-15,0.681,USD
2013-03-13,1.44,USD
2013-08-21,0.728,USD
2014-03-12,1.65,USD
2014-08-20,0.802,USD
2015-03-18,1.553,USD
2015-08-19,0.772,USD
2016-03-16,1.4595,USD
2016-08-17,0.6745,USD
2017-03-15,1.477,USD
2017-08-16,0.738,USD
2017-12-28,0.586,USD
2018-03-22,0.679,USD
2018-06-28,0.679,USD
2018-10-04,0.679,USD
2018-12-27,0.679,USD
2019-03-21,0.674,USD
2019-06-27,0.674,USD
2019-10-03,0.674,USD
2019-12-26,0.674,USD
2020-03-26,0.677,USD
2020-07-09,0.677,USD
2020-10-01,0.677,USD
2020-12-17,0.677,USD
2021-03-25,0.746,USD
2021-07-08,0.746,USD
2021-09-30,0.746,USD
2021-12-22,0.746,USD
2022-03-24,0.74,USD
2022-07-07,0.74,USD
2022-09-29,0.74,USD
2022-12-22,0.74,USD
2023-03-23,0.701,USD
2023-07-13,0.701,USD
2023-09-28,0.701,USD
2023-12-21,0.701,USD
2024-03-21,0.743,USD
2024-06-28,0.743,USD
2024-09-27,0.743,USD
2024-12-20,0.743,USD
