Date,Amount,Currency
2010-04-23,0.38621,USD
2011-04-21,0.97037,USD
2012-04-24,1.29273,USD
2013-04-23,1.84877,USD
2013-11-07,0.65521,USD
2014-04-30,1.66549,USD
2014-11-06,1.00814,USD
2015-04-29,1.84773,USD
2015-11-06,1.37589,USD
2016-04-28,1.85589,USD
2016-11-14,1.34007,USD
2017-05-01,1.73134,USD
2017-11-14,1.48082,USD
2018-05-01,1.85398,USD
2018-11-27,0.67401,USD
2019-05-07,1.12174,USD
2019-11-19,0.88553,USD
2020-06-09,0.56691,USD
2021-05-04,0.5964,USD
2022-05-03,0.39983,USD
2023-05-03,0.82448,USD
2024-05-03,0.88024,USD
