Date,Amount,Currency
2007-11-28,0.3,USD
2008-03-27,0.29441,USD
2008-05-28,0.29441,USD
2008-08-27,0.3,USD
2008-11-25,0.29441,USD
2009-05-27,0.3,USD
2009-08-27,0.29441,USD
2009-11-25,0.29441,USD
2010-03-11,0.3,USD
2010-05-12,0.1,USD
2010-08-11,0.1,USD
2010-11-10,0.1,USD
2011-03-11,0.31403,USD
2011-05-12,0.19627,USD
2011-08-11,0.09814,USD
2011-11-10,0.09814,USD
2012-03-13,0.22,USD
2012-05-11,0.1,USD
2012-08-13,0.1,USD
2012-11-13,0.1,USD
2013-02-07,0.42,USD
2013-04-25,0.3,USD
2013-07-25,0.22571,USD
2013-10-24,0.22571,USD
2014-02-06,0.56919,USD
2014-04-24,0.34347,USD
2014-07-24,0.53975,USD
2014-10-23,0.44,USD
2015-02-05,0.78,USD
2015-04-23,0.87341,USD
2015-07-23,0.74,USD
2015-10-22,0.49,USD
2016-02-04,0.61,USD
2016-04-28,0.28,USD
2016-07-28,0.36,USD
2016-09-28,0.62,USD
2016-11-03,0.41,USD
2017-02-02,0.47,USD
2017-04-27,0.87,USD
2017-07-27,0.54,USD
2017-10-27,0.44,USD
2018-02-09,0.85,USD
2018-04-27,0.35,USD
2018-07-27,0.58,USD
2018-10-26,0.64,USD
2019-02-08,0.58,USD
2019-04-26,0.37,USD
2019-07-26,0.48,USD
2019-11-01,0.49,USD
2020-02-07,0.61,USD
2020-05-01,0.39,USD
2020-07-31,0.37,USD
2020-11-06,0.54,USD
2021-02-05,0.96,USD
2021-04-30,0.82,USD
2021-07-30,0.7,USD
2021-10-29,1.09,USD
2022-02-04,1.45,USD
2022-04-29,1.32,USD
2022-07-29,1.27,USD
2022-10-28,0.9,USD
2023-02-03,0.91,USD
2023-04-28,0.82,USD
2023-07-28,0.79,USD
2023-10-27,0.8,USD
2024-02-02,0.94,USD
2024-04-26,0.83,USD
2024-07-29,0.82,USD
2024-10-28,0.86,USD
2025-02-10,1.44,USD
