Date,Amount,Currency
2000-01-18,0.00001,USD
2000-04-19,0.00001,USD
2000-07-18,0.00001,USD
2000-10-18,0.00001,USD
2001-01-18,0.00001,USD
2001-04-19,0.00001,USD
2001-07-18,0.00001,USD
2001-10-18,0.00001,USD
2002-01-17,0.00001,USD
2002-04-18,0.00001,USD
2002-07-18,0.00001,USD
2002-10-17,0.00001,USD
2003-01-16,0.00001,USD
2003-04-16,0.00001,USD
2003-07-17,0.00001,USD
2003-10-16,0.00001,USD
2004-01-15,0.00001,USD
2004-04-22,0.00001,USD
2004-07-16,0.00001,USD
2004-10-21,0.00001,USD
2005-01-18,0.00001,USD
2005-04-21,0.00001,USD
2005-07-20,0.25,USD
2005-10-20,0.25,USD
2006-01-18,0.25,USD
2006-04-20,0.25,USD
2006-07-18,0.3,USD
2006-10-19,0.3,USD
2007-01-18,0.3,USD
2007-04-19,0.3,USD
2007-07-18,0.36,USD
2007-10-18,0.36,USD
2008-01-17,0.36,USD
2008-04-17,0.36,USD
2008-07-17,0.42,USD
2008-10-16,0.42,USD
2009-01-15,0.42,USD
2009-04-16,0.42,USD
2009-07-16,0.42,USD
2009-10-22,0.42,USD
2010-01-15,0.42,USD
2010-04-22,0.42,USD
2010-07-16,0.44,USD
2010-10-21,0.44,USD
2011-01-18,0.44,USD
2011-04-20,0.44,USD
2011-07-18,0.46,USD
2011-10-20,0.46,USD
2012-01-18,0.46,USD
2012-04-19,0.46,USD
2012-07-18,0.52,USD
2012-10-18,0.52,USD
2012-12-20,0.52,USD
2013-04-18,0.52,USD
2013-07-18,0.6,USD
2013-10-17,0.6,USD
2014-01-16,0.6,USD
2014-04-16,0.6,USD
2014-07-17,0.7,USD
2014-10-16,0.7,USD
2015-01-15,0.7,USD
2015-04-16,0.7,USD
2015-07-16,0.77,USD
2015-10-22,0.77,USD
2016-01-15,0.77,USD
2016-04-21,0.77,USD
2016-07-18,0.77,USD
2016-10-20,0.77,USD
2017-01-18,0.77,USD
2017-04-20,0.77,USD
2017-07-18,0.78,USD
2017-10-20,0.78,USD
2018-01-19,0.78,USD
2018-04-20,0.78,USD
2018-07-19,0.86,USD
2018-10-19,0.86,USD
2019-01-18,0.86,USD
2019-04-18,0.86,USD
2019-07-19,1.03,USD
2019-10-18,1.03,USD
2020-01-17,1.03,USD
2020-04-17,1.03,USD
2020-07-17,1.03,USD
2020-10-23,1.03,USD
2021-01-19,1.03,USD
2021-04-23,1.03,USD
2021-07-19,1.11,USD
2021-10-22,1.11,USD
2022-01-19,1.11,USD
2022-04-22,1.11,USD
2022-07-19,1.2,USD
2022-10-21,1.2,USD
2023-01-19,1.2,USD
2023-04-21,1.2,USD
2023-07-20,1.3,USD
2023-10-20,1.3,USD
2024-01-19,1.3,USD
2024-04-19,1.3,USD
2024-07-22,1.41,USD
2024-10-21,1.41,USD
2025-01-21,1.41,USD
