Date,Amount,Currency
2000-02-16,0.12959,USD
2000-04-27,0.12959,USD
2000-07-27,0.12959,USD
2000-10-26,0.12959,USD
2001-02-16,0.12959,USD
2001-04-26,0.12959,USD
2001-07-26,0.13722,USD
2001-10-29,0.13722,USD
2002-02-19,0.13722,USD
2002-04-26,0.13722,USD
2002-08-07,0.13722,USD
2002-10-31,0.15246,USD
2003-02-18,0.15246,USD
2003-04-28,0.15246,USD
2003-07-29,0.15246,USD
2003-10-29,0.1639,USD
2004-02-18,0.1639,USD
2004-05-13,0.1639,USD
2004-07-28,0.1639,USD
2004-10-27,0.19058,USD
2005-02-11,0.19058,USD
2005-05-12,0.23632,USD
2005-07-27,0.23632,USD
2005-10-27,0.23632,USD
2006-02-16,0.27444,USD
2006-05-18,0.27444,USD
2006-07-27,0.27444,USD
2006-10-27,0.27444,USD
2007-02-15,0.31255,USD
2007-05-17,0.31255,USD
2007-07-27,0.31255,USD
2007-10-29,0.31255,USD
2008-02-21,0.35829,USD
2008-05-22,0.35829,USD
2008-07-29,0.35829,USD
2008-10-29,0.35829,USD
2009-02-19,0.35829,USD
2009-05-21,0.35829,USD
2009-07-29,0.35829,USD
2009-10-28,0.38116,USD
2010-02-18,0.38116,USD
2010-05-20,0.41928,USD
2010-07-29,0.41928,USD
2010-10-27,0.41928,USD
2011-02-17,0.50313,USD
2011-05-19,0.50313,USD
2011-07-21,0.50313,USD
2011-10-13,0.50313,USD
2012-02-16,0.50313,USD
2012-05-17,0.66,USD
2012-07-19,0.66,USD
2012-10-11,0.66,USD
2013-02-14,0.66,USD
2013-05-22,0.66,USD
2013-07-18,0.69,USD
2013-10-10,0.69,USD
2014-02-13,0.69,USD
2014-05-21,0.69,USD
2014-07-17,0.73,USD
2014-10-09,0.73,USD
2015-02-12,0.73,USD
2015-05-20,0.73,USD
2015-07-23,0.74,USD
2015-10-15,0.74,USD
2016-02-11,0.25,USD
2016-05-18,0.25,USD
2016-07-21,0.25,USD
2016-10-13,0.25,USD
2017-02-10,0.265,USD
2017-05-11,0.265,USD
2017-07-20,0.265,USD
2017-10-13,0.265,USD
2018-02-09,0.285,USD
2018-05-11,0.285,USD
2018-07-20,0.285,USD
2018-10-12,0.305,USD
2019-02-08,0.305,USD
2019-05-10,0.305,USD
2019-07-19,0.305,USD
2019-10-16,0.42,USD
2020-02-13,0.42,USD
2020-05-08,0.42,USD
2020-07-17,0.42,USD
2020-10-16,0.43,USD
2021-02-11,0.43,USD
2021-05-13,0.43,USD
2021-07-23,0.43,USD
2021-10-27,0.46,USD
2021-12-31,0.2,USD
2022-02-11,0.46,USD
2022-03-30,0.3,USD
2022-05-16,0.46,USD
2022-06-27,0.7,USD
2022-08-15,0.46,USD
2022-09-29,1.3676,USD
2022-11-14,0.51,USD
2022-12-23,0.7,USD
2023-02-13,0.51,USD
2023-03-28,0.6,USD
2023-05-15,0.51,USD
2023-06-26,0.6,USD
2023-08-15,0.51,USD
2023-09-27,0.6,USD
2023-11-13,0.58,USD
2024-02-15,0.58,USD
2024-05-10,0.58,USD
2024-08-12,0.58,USD
2024-11-08,0.78,USD
2025-02-14,0.78,USD
