Date,Amount,Currency
2011-03-29,0.06,USD
2011-07-05,0.06,USD
2011-10-04,0.06,USD
2012-01-03,0.06,USD
2012-04-03,0.08,USD
2012-07-02,0.08,USD
2012-10-02,0.14,USD
2012-11-27,0.14,USD
2013-04-04,0.17,USD
2013-07-01,0.17,USD
2013-10-01,0.17,USD
2014-01-02,0.17,USD
2014-04-01,0.19,USD
2014-07-02,0.19,USD
2014-09-30,0.19,USD
2015-01-02,0.19,USD
2015-03-31,0.21,USD
2015-07-01,0.21,USD
2015-10-01,0.21,USD
2016-01-04,0.21,USD
2016-04-04,0.26,USD
2016-07-05,0.26,USD
2016-10-03,0.26,USD
2017-01-04,0.26,USD
2017-04-04,0.29,USD
2017-07-05,0.29,USD
2017-10-04,0.29,USD
2018-01-04,0.29,USD
2018-04-04,0.33,USD
2018-07-05,0.33,USD
2018-10-04,0.33,USD
2019-01-03,0.33,USD
2019-04-04,0.35,USD
2019-07-03,0.35,USD
2019-10-03,0.35,USD
2020-01-02,0.35,USD
2020-04-02,0.36,USD
2020-07-02,0.36,USD
2020-10-01,0.36,USD
2021-01-04,0.36,USD
2021-04-05,0.37,USD
2021-07-02,0.37,USD
2021-10-04,0.37,USD
2022-01-04,0.37,USD
2022-04-05,0.38,USD
2022-07-05,0.38,USD
2022-10-04,0.38,USD
2023-01-04,0.38,USD
2023-04-04,0.39,USD
2023-07-05,0.39,USD
2023-10-03,0.39,USD
2024-01-03,0.39,USD
2024-04-03,0.4,USD
2024-07-05,0.4,USD
2024-10-02,0.4,USD
2025-01-03,0.4,USD
