Date,Amount,Currency
2000-02-16,0.325,USD
2000-05-17,0.325,USD
2000-08-16,0.325,USD
2000-11-15,0.325,USD
2001-02-14,0.325,USD
2001-05-16,0.325,USD
2001-08-15,0.325,USD
2001-11-14,0.35,USD
2002-02-13,0.35,USD
2002-05-15,0.35,USD
2002-08-15,0.35,USD
2002-11-14,0.35,USD
2003-02-12,0.35,USD
2003-05-15,0.35,USD
2003-08-15,0.365,USD
2003-11-14,0.365,USD
2004-02-13,0.365,USD
2004-05-17,0.365,USD
2004-08-17,0.4,USD
2004-11-16,0.4,USD
2005-02-14,0.4,USD
2005-05-17,0.45,USD
2005-08-17,0.45,USD
2005-11-16,0.45,USD
2006-02-14,0.45,USD
2006-05-17,0.52,USD
2006-08-16,0.52,USD
2006-11-15,0.52,USD
2007-02-14,0.52,USD
2007-05-16,0.58,USD
2007-08-15,0.58,USD
2007-11-14,0.58,USD
2008-02-13,0.58,USD
2008-05-15,0.65,USD
2008-08-15,0.65,USD
2008-11-14,0.65,USD
2009-02-12,0.65,USD
2009-05-15,0.65,USD
2009-08-17,0.68,USD
2009-11-16,0.68,USD
2010-02-12,0.68,USD
2010-05-17,0.72,USD
2010-08-17,0.72,USD
2010-11-16,0.72,USD
2011-02-14,0.72,USD
2011-05-17,0.78,USD
2011-08-17,0.78,USD
2011-11-16,0.81,USD
2012-02-15,0.81,USD
2012-05-16,0.9,USD
2012-08-15,0.9,USD
2012-11-14,0.9,USD
2013-02-13,0.9,USD
2013-05-15,1,USD
2013-08-15,1,USD
2013-11-14,1,USD
2014-02-12,1,USD
2014-05-15,1.07,USD
2014-08-15,1.07,USD
2014-11-14,1.07,USD
2015-02-12,1.07,USD
2015-05-15,1.07,USD
2015-08-17,1.07,USD
2015-11-16,1.07,USD
2016-02-16,1.07,USD
2016-05-17,1.07,USD
2016-08-17,1.07,USD
2016-11-16,1.08,USD
2017-02-14,1.08,USD
2017-05-17,1.08,USD
2017-08-16,1.08,USD
2017-11-16,1.08,USD
2018-02-15,1.12,USD
2018-05-17,1.12,USD
2018-08-16,1.12,USD
2018-11-15,1.12,USD
2019-02-14,1.19,USD
2019-05-16,1.19,USD
2019-08-16,1.19,USD
2019-11-15,1.19,USD
2020-02-14,1.29,USD
2020-05-18,1.29,USD
2020-08-18,1.29,USD
2020-11-17,1.29,USD
2021-02-16,1.29,USD
2021-05-18,1.34,USD
2021-08-18,1.34,USD
2021-11-17,1.34,USD
2022-02-15,1.42,USD
2022-05-18,1.42,USD
2022-08-18,1.42,USD
2022-11-17,1.42,USD
2023-02-15,1.51,USD
2023-05-18,1.51,USD
2023-08-17,1.51,USD
2023-11-16,1.51,USD
2024-02-15,1.63,USD
2024-05-16,1.63,USD
2024-08-19,1.63,USD
2024-11-18,1.63,USD
2025-02-14,1.71,USD
