Date,Amount,Currency
2000-02-16,0.17875,USD
2000-05-10,0.17875,USD
2000-08-09,0.17875,USD
2000-11-15,0.19125,USD
2001-02-14,0.19125,USD
2001-05-09,0.19125,USD
2001-08-15,0.19125,USD
2001-11-14,0.19375,USD
2002-02-13,0.19375,USD
2002-05-15,0.19375,USD
2002-08-14,0.19375,USD
2002-11-13,0.19625,USD
2003-02-12,0.19625,USD
2003-05-14,0.19625,USD
2003-08-13,0.19625,USD
2003-11-12,0.2,USD
2004-02-11,0.2,USD
2004-05-12,0.2,USD
2004-08-11,0.2,USD
2004-11-09,0.2075,USD
2005-02-09,0.2075,USD
2005-05-11,0.2075,USD
2005-08-10,0.2075,USD
2005-11-08,0.2225,USD
2006-02-15,0.2225,USD
2006-05-10,0.2225,USD
2006-08-09,0.2225,USD
2006-11-15,0.2625,USD
2007-02-14,0.2625,USD
2007-05-09,0.2625,USD
2007-08-15,0.2625,USD
2007-11-14,0.3,USD
2008-02-13,0.3,USD
2008-05-14,0.3,USD
2008-08-13,0.3,USD
2008-11-12,0.33,USD
2009-02-11,0.33,USD
2009-05-13,0.33,USD
2009-08-12,0.33,USD
2009-11-10,0.335,USD
2010-02-10,0.335,USD
2010-05-12,0.335,USD
2010-08-11,0.335,USD
2010-11-09,0.345,USD
2011-02-09,0.345,USD
2011-05-11,0.345,USD
2011-08-10,0.345,USD
2011-11-08,0.4,USD
2012-02-15,0.4,USD
2012-05-09,0.4,USD
2012-08-15,0.4,USD
2012-11-14,0.41,USD
2013-02-13,0.41,USD
2013-05-15,0.41,USD
2013-08-14,0.41,USD
2013-11-13,0.43,USD
2014-02-12,0.43,USD
2014-05-14,0.43,USD
2014-08-13,0.43,USD
2014-11-12,0.47,USD
2015-02-11,0.47,USD
2015-05-13,0.47,USD
2015-08-12,0.47,USD
2015-11-10,0.475,USD
2016-02-10,0.475,USD
2016-05-11,0.475,USD
2016-08-10,0.475,USD
2016-11-08,0.48,USD
2017-02-15,0.48,USD
2017-05-10,0.48,USD
2017-08-09,0.48,USD
2017-11-16,0.485,USD
2018-02-15,0.485,USD
2018-05-10,0.485,USD
2018-08-16,0.485,USD
2018-11-15,0.49,USD
2019-02-14,0.49,USD
2019-05-16,0.49,USD
2019-08-15,0.49,USD
2019-11-14,0.5,USD
2020-02-13,0.5,USD
2020-05-14,0.5,USD
2020-08-13,0.5,USD
2020-11-12,0.505,USD
2021-02-11,0.505,USD
2021-05-13,0.505,USD
2021-08-12,0.505,USD
2021-11-10,0.515,USD
2022-02-10,0.515,USD
2022-05-12,0.515,USD
2022-08-11,0.515,USD
2022-11-09,0.52,USD
2023-02-16,0.52,USD
2023-05-11,0.52,USD
2023-08-10,0.52,USD
2023-11-16,0.525,USD
2024-02-15,0.525,USD
2024-05-16,0.525,USD
2024-08-16,0.525,USD
2024-11-15,0.5275,USD
2025-02-14,0.5275,USD
