Date,Amount,Currency
2006-03-29,0.0145,USD
2006-06-28,0.0595,USD
2006-10-03,0.07825,USD
2007-01-03,0.085,USD
2007-04-04,0.089,USD
2007-06-28,0.09325,USD
2007-10-03,0.0975,USD
2008-01-30,0.1375,USD
2008-05-01,0.11,USD
2008-08-05,0.12,USD
2008-11-06,0.12,USD
2009-02-04,0.1275,USD
2009-05-06,0.13125,USD
2009-08-05,0.13375,USD
2009-11-05,0.13375,USD
2010-02-04,0.135,USD
2010-05-05,0.135,USD
2010-08-05,0.135,USD
2010-11-04,0.135,USD
2011-02-03,0.135,USD
2011-05-04,0.14,USD
2011-08-03,0.15625,USD
2011-11-02,0.15625,USD
2012-02-03,0.15625,USD
2012-05-02,0.15625,USD
2012-08-02,0.15625,USD
2012-11-02,0.15625,USD
2013-02-05,0.15875,USD
2013-05-02,0.16125,USD
2013-08-01,0.16375,USD
2013-10-31,0.168,USD
2014-02-05,0.173,USD
2014-05-01,0.1795,USD
2014-07-31,0.19,USD
2014-10-30,0.2075,USD
2015-02-04,0.225,USD
2015-05-06,0.245,USD
2015-08-04,0.265,USD
2015-11-03,0.285,USD
2016-02-04,0.285,USD
2016-05-04,0.285,USD
2016-08-04,0.285,USD
2016-11-03,0.285,USD
2017-02-03,0.285,USD
2017-05-08,0.285,USD
2017-08-03,0.285,USD
2017-11-06,0.295,USD
2018-02-07,0.305,USD
2018-05-04,0.305,USD
2018-08-03,0.305,USD
2018-11-07,0.305,USD
2019-02-07,0.305,USD
2019-05-06,0.305,USD
2019-08-05,0.305,USD
2019-11-04,0.305,USD
2020-02-06,0.305,USD
2020-05-06,0.305,USD
2020-08-06,0.305,USD
2020-11-05,0.153,USD
2021-02-05,0.153,USD
2021-05-10,0.153,USD
2021-08-05,0.153,USD
2021-11-04,0.153,USD
2022-02-07,0.175,USD
2022-05-06,0.2,USD
2022-08-05,0.23,USD
2022-11-03,0.265,USD
2023-02-06,0.305,USD
2023-05-05,0.308,USD
2023-08-11,0.31,USD
2023-10-27,0.313,USD
2024-02-06,0.315,USD
2024-05-10,0.318,USD
2024-08-09,0.32,USD
2024-11-08,0.323,USD
2025-02-07,0.325,USD
