Date,Amount,Currency
2002-05-07,0.0153,USD
2003-04-29,0.019,USD
2004-05-04,0.0238,USD
2005-05-25,0.0274,USD
2006-05-10,0.0366,USD
2007-05-16,0.0512,USD
2008-04-25,0.0634,USD
2009-06-22,0.0599,USD
2010-06-09,0.081,USD
2011-05-31,0.1113,USD
2012-06-26,0.1225,USD
2013-06-11,0.153,USD
2014-06-03,0.32961,USD
2014-06-26,0.175,USD
2015-06-30,0.187,USD
2016-06-27,0.2115,USD
2017-06-27,0.2565,USD
2018-06-01,0.2865,USD
2019-06-19,0.323,USD
2019-07-31,0.109,USD
2021-06-28,0.263,USD
2021-07-20,0.26199,USD
2022-05-11,0.608,USD
2022-07-19,0.58047,USD
2023-05-12,0.697,USD
2023-08-14,0.69679,USD
2024-08-12,0.69556,USD
