Date,Amount,Currency
2000-05-11,0.0588,USD
2000-05-12,0.00213,USD
2000-11-07,0.00082,USD
2001-05-11,0.00247,USD
2001-10-30,0.00242,USD
2002-05-21,0.00396,USD
2002-05-22,0.1156,USD
2002-10-29,0.00401,USD
2003-05-27,0.00486,USD
2003-10-16,0.00496,USD
2004-05-25,0.03905,USD
2004-10-15,0.00688,USD
2005-06-01,0.00924,USD
2005-10-18,0.00893,USD
2006-05-24,0.05201,USD
2006-10-17,0.01379,USD
2007-06-05,0.01966,USD
2007-10-16,0.01881,USD
2008-05-28,0.07869,USD
2008-10-14,0.02529,USD
2009-06-03,0.03442,USD
2009-10-13,0.02684,USD
2010-05-26,0.03992,USD
2010-10-19,0.11164,USD
2011-05-25,0.05515,USD
2011-10-19,0.03719,USD
2012-05-22,0.07118,USD
2012-05-23,0.1793,USD
2012-10-16,0.03419,USD
2012-10-17,0.2756,USD
2013-05-29,0.0574,USD
2013-10-15,0.04004,USD
2014-06-17,0.088,USD
2014-10-14,0.06023,USD
2014-10-16,0.49,USD
2015-06-11,0.11585,USD
2015-10-15,0.07665,USD
2016-06-07,0.10555,USD
2016-10-19,0.08224,USD
2017-05-31,0.11423,USD
2017-10-31,0.10027,USD
2017-11-01,0.20053,USD
2018-06-14,0.2335,USD
2018-10-25,0.09493,USD
2019-01-24,0.05613,USD
2019-06-13,0.15099,USD
2019-10-22,0.11246,USD
2020-05-29,0.12653,USD
2020-10-23,0.16093,USD
2021-05-28,0.20169,USD
2021-10-26,0.20118,USD
2022-05-31,0.20266,USD
2022-10-27,0.20126,USD
2023-06-01,0.21317,USD
2023-10-24,0.21596,USD
2024-05-31,0.33501,USD
2024-10-29,0.24852,USD
