Date,Amount,Currency
2005-04-28,0.12,USD
2005-08-11,0.12,USD
2005-11-10,0.12,USD
2006-02-13,0.12,USD
2006-05-11,0.12,USD
2006-08-11,0.12,USD
2006-11-13,0.12,USD
2007-02-13,0.12,USD
2007-05-11,0.12,USD
2007-08-16,0.15,USD
2007-11-15,0.15,USD
2008-02-21,0.15,USD
2008-05-15,0.15,USD
2008-08-14,0.15,USD
2008-11-20,0.15,USD
2009-02-26,0.15,USD
2009-05-13,0.15,USD
2009-08-13,0.15,USD
2009-11-12,0.15,USD
2010-02-11,0.15,USD
2010-05-13,0.15,USD
2010-08-12,0.25,USD
2010-11-10,0.25,USD
2011-02-17,0.25,USD
2011-05-12,0.25,USD
2011-08-11,0.35,USD
2011-11-09,0.35,USD
2012-02-16,0.35,USD
2012-05-10,0.35,USD
2012-08-09,0.4,USD
2012-11-15,0.4,USD
2013-02-14,0.4,USD
2013-05-09,0.4,USD
2013-08-14,0.45,USD
2013-11-14,0.45,USD
2014-02-13,0.45,USD
2014-05-15,0.45,USD
2014-08-14,0.5,USD
2014-11-13,0.5,USD
2014-11-26,16.5,USD
2015-02-12,0.5,USD
2015-05-14,0.5,USD
2015-08-13,0.52,USD
2015-11-12,0.52,USD
2016-02-11,0.52,USD
2016-05-12,0.52,USD
2016-08-11,0.52,USD
2016-11-10,0.54,USD
2017-02-13,0.54,USD
2017-05-11,0.54,USD
2017-08-11,0.59,USD
2017-11-14,0.59,USD
2018-02-14,0.59,USD
2018-05-14,0.75,USD
2018-08-14,0.75,USD
2018-11-15,0.75,USD
2019-02-14,0.75,USD
2019-05-14,0.75,USD
2019-08-14,0.75,USD
2019-11-15,0.85,USD
2020-02-20,0.85,USD
2020-05-15,0.85,USD
2020-08-14,0.9,USD
2020-11-13,0.9,USD
2021-02-18,0.9,USD
2021-05-14,0.9,USD
2021-08-13,1.05,USD
2021-11-12,1.05,USD
2022-02-11,1.05,USD
2022-05-13,1.05,USD
2022-08-12,1.3,USD
2022-11-14,1.3,USD
2023-02-10,1.3,USD
2023-05-12,1.3,USD
2023-08-14,1.3,USD
2023-11-14,1.45,USD
2024-02-15,1.45,USD
2024-05-14,1.45,USD
2024-08-15,1.45,USD
2024-11-18,1.7,USD
2025-02-24,1.7,USD
