Date,Amount,Currency
2014-06-09,0.018,USD
2014-09-08,0.018,USD
2014-12-08,0.018,USD
2015-03-09,0.018,USD
2015-06-08,0.03,USD
2015-09-04,0.03,USD
2015-12-07,0.03,USD
2016-03-07,0.03,USD
2016-06-06,0.03,USD
2016-09-12,0.03,USD
2016-12-12,0.045,USD
2017-03-06,0.045,USD
2017-06-05,0.045,USD
2017-09-12,0.045,USD
2017-12-05,0.05,USD
2018-03-06,0.05,USD
2018-06-05,0.11,USD
2018-09-11,0.11,USD
2018-12-04,0.11,USD
2019-03-19,0.11,USD
2019-06-11,0.11,USD
2019-09-30,0.115,USD
2019-12-10,0.115,USD
2020-03-24,0.115,USD
2020-06-16,0.115,USD
2020-09-29,0.13,USD
2020-12-08,0.13,USD
2021-03-16,0.13,USD
2021-06-15,0.13,USD
2021-09-27,0.15,USD
2021-12-14,0.15,USD
2022-03-15,0.15,USD
2022-06-14,0.15,USD
2022-09-13,0.1725,USD
2022-12-13,0.1725,USD
2023-03-14,0.1725,USD
2023-06-13,0.1725,USD
2023-09-12,0.2,USD
2023-12-12,0.2,USD
2024-03-12,0.2,USD
2024-06-18,0.2,USD
2024-09-17,0.23,USD
2024-12-11,0.23,USD
