Date,Amount,Currency
2000-03-16,0.48,USD
2000-06-16,0.48,USD
2000-09-13,0.53,USD
2000-12-13,0.53,USD
2001-03-13,0.53,USD
2001-06-13,0.53,USD
2001-09-13,0.13425,USD
2001-09-17,0.58,USD
2001-12-20,0.58,USD
2002-03-13,0.58,USD
2002-06-26,0.58,USD
2002-09-12,0.64,USD
2002-12-19,0.64,USD
2003-03-12,0.64,USD
2003-06-11,0.64,USD
2003-09-11,0.68,USD
2003-12-18,0.68,USD
2004-03-11,0.68,USD
2004-06-14,0.68,USD
2004-09-13,0.73,USD
2004-12-22,0.73,USD
2005-03-11,0.73,USD
2005-06-13,0.73,USD
2005-09-13,0.8,USD
2005-12-23,0.8,USD
2006-03-13,0.8,USD
2006-06-13,0.8,USD
2006-09-13,0.86,USD
2006-12-22,0.86,USD
2007-03-13,0.86,USD
2007-06-13,0.69,USD
2007-09-12,0.75,USD
2007-12-21,0.75,USD
2008-03-17,0.75,USD
2008-06-11,0.29,USD
2008-09-11,0.32,USD
2008-12-22,0.32,USD
2009-03-12,0.32,USD
2009-06-11,0.32,USD
2009-09-11,0.34,USD
2009-12-28,0.34,USD
2010-03-11,0.35,USD
2010-06-11,0.35,USD
2010-09-13,0.38,USD
2010-12-23,0.38,USD
2011-03-11,0.38,USD
2011-06-13,0.38,USD
2011-09-13,0.41,USD
2011-12-22,0.41,USD
2012-03-13,0.41,USD
2012-06-13,0.41,USD
2012-09-12,0.44,USD
2012-12-21,0.44,USD
2013-03-13,0.44,USD
2013-06-12,0.44,USD
2013-09-12,0.48,USD
2013-12-23,0.48,USD
2014-03-12,0.48,USD
2014-06-12,0.48,USD
2014-09-11,0.52,USD
2014-12-22,0.52,USD
2015-03-12,0.52,USD
2015-06-11,0.52,USD
2015-09-11,0.565,USD
2015-12-22,0.565,USD
2016-03-11,0.565,USD
2016-06-13,0.565,USD
2016-09-13,0.61,USD
2016-12-20,0.61,USD
2017-03-13,0.61,USD
2017-06-13,0.61,USD
2017-09-14,0.66,USD
2017-12-20,0.66,USD
2018-03-14,0.7,USD
2018-06-14,0.7,USD
2018-09-13,0.8,USD
2018-12-24,0.8,USD
2019-03-22,0.8,USD
2019-06-13,0.8,USD
2019-09-13,0.84,USD
2019-12-24,0.84,USD
2020-03-24,0.84,USD
2020-06-12,0.84,USD
2020-09-14,0.86,USD
2020-12-24,0.86,USD
2021-03-24,0.86,USD
2021-06-14,0.86,USD
2021-09-14,0.9,USD
2021-12-22,0.9,USD
2022-03-24,0.9,USD
2022-06-14,0.9,USD
2022-09-14,0.94,USD
2022-12-21,0.94,USD
2023-03-23,0.94,USD
2023-06-14,0.94,USD
2023-09-14,0.98,USD
2023-12-20,0.98,USD
2024-03-22,0.98,USD
2024-06-14,0.98,USD
2024-09-16,1.02,USD
2024-12-26,1.02,USD
