Date,Amount,Currency
2013-01-31,0.177,USD
2013-05-08,0.273,USD
2013-07-31,0.285,USD
2013-10-31,0.297,USD
2014-01-31,0.313,USD
2014-05-01,0.328,USD
2014-07-31,0.343,USD
2014-10-31,0.358,USD
2015-01-30,0.383,USD
2015-05-01,0.41,USD
2015-07-31,0.44,USD
2015-10-30,0.47,USD
2016-02-02,0.5,USD
2016-04-29,0.505,USD
2016-07-29,0.51,USD
2016-11-02,0.515,USD
2017-02-02,0.52,USD
2017-05-04,0.54,USD
2017-08-03,0.563,USD
2017-11-03,0.588,USD
2018-02-02,0.608,USD
2018-05-04,0.618,USD
2018-08-03,0.628,USD
2018-11-02,0.638,USD
2019-02-04,0.648,USD
2019-05-08,0.658,USD
2019-08-02,0.668,USD
2019-11-01,0.678,USD
2020-02-03,0.688,USD
2020-05-07,0.688,USD
2020-08-06,0.688,USD
2020-11-05,0.688,USD
2021-02-05,0.688,USD
2021-05-06,0.688,USD
2021-08-05,0.688,USD
2021-11-10,1.28,USD
2022-02-03,0.705,USD
2022-05-05,0.705,USD
2022-08-04,0.705,USD
2022-11-14,0.775,USD
2023-02-03,0.775,USD
2023-05-04,0.775,USD
2023-08-03,0.775,USD
2023-11-02,0.85,USD
2024-02-02,0.85,USD
2024-05-02,0.85,USD
2024-08-09,0.85,USD
2024-11-08,0.957,USD
2025-02-03,0.957,USD
