Date,Amount,Currency
2000-06-01,0.68447,USD
2000-12-05,0.48562,USD
2001-06-04,0.70388,USD
2001-11-28,0.50743,USD
2002-06-05,0.79998,USD
2002-12-04,0.58379,USD
2003-05-28,0.91582,USD
2003-11-25,0.72973,USD
2004-06-02,1.14532,USD
2004-12-01,0.8579,USD
2005-06-08,1.5128,USD
2005-11-30,0.96175,USD
2006-06-07,1.64891,USD
2006-11-29,1.12135,USD
2007-06-06,1.92415,USD
2007-11-28,1.32578,USD
2008-06-04,2.23604,USD
2008-12-03,1.03375,USD
2009-06-03,1.90222,USD
2009-12-02,1.25236,USD
2010-06-02,1.93495,USD
2010-06-15,4.61782,USD
2010-12-01,1.11698,USD
2011-06-01,2.07327,USD
2011-11-30,1.1964,USD
2012-05-30,2.19993,USD
2012-11-28,1.25422,USD
2013-06-05,2.1696,USD
2013-12-04,1.2648,USD
2014-06-04,2.2907,USD
2014-07-29,2.49895,USD
2014-11-19,1.26742,USD
2015-06-03,2.36356,USD
2015-11-24,1.22433,USD
2016-06-01,2.20855,USD
2016-11-22,1.01749,USD
2017-05-17,5.91534,USD
2017-05-22,5.4074,USD
2017-05-31,1.8724,USD
2017-11-22,1.0069,USD
2018-05-31,2.0406,USD
2018-11-21,1.0516,USD
2019-05-30,2.0056,USD
2019-11-27,1.0673,USD
2020-07-01,1.9926,USD
2020-11-25,1.1285,USD
2021-06-03,2.2612,USD
2021-12-02,1.1473,USD
2022-06-03,2.0729,USD
2022-11-23,1.0207,USD
2023-06-01,2.3458,USD
2023-11-22,1.1899,USD
2024-05-31,3.50602,USD
2024-06-07,2.4939,USD
2024-11-22,1.0196,USD
