Date,Amount,Currency
2000-03-24,0.0117,USD
2000-11-17,0.0094,USD
2001-03-21,0.0159,USD
2002-03-13,0.01845,USD
2003-03-26,0.02615,USD
2004-03-17,0.03725,USD
2005-03-10,0.042,USD
2006-03-09,0.0483,USD
2007-03-08,0.0609,USD
2008-03-13,0.0884,USD
2009-03-19,0.1034,USD
2010-03-25,0.1407,USD
2011-03-24,0.1818,USD
2012-03-22,0.2497,USD
2013-03-21,0.3184,USD
2014-03-21,0.415,USD
2015-03-19,0.38,USD
2016-03-18,0.482,USD
2016-08-11,0.2235,USD
2017-03-23,0.3315,USD
2017-08-17,0.237,USD
2018-03-23,0.335,USD
2018-08-17,0.2335,USD
2019-03-22,0.3945,USD
2019-08-16,0.2245,USD
2020-03-27,0.3913,USD
2020-08-14,0.259,USD
2021-03-26,0.4745,USD
2021-08-16,0.2785,USD
2022-03-25,0.518,USD
2022-08-12,0.292,USD
2023-03-24,0.5945,USD
2023-08-18,0.442,USD
2024-03-22,0.93,USD
2024-08-16,0.513,USD
