Date,Amount,Currency
2000-01-28,0.08721,USD
2000-02-28,0.08721,USD
2000-03-30,0.08769,USD
2000-04-27,0.08769,USD
2000-05-30,0.08769,USD
2000-06-29,0.08866,USD
2000-07-28,0.08866,USD
2000-08-30,0.08866,USD
2000-09-28,0.08915,USD
2000-10-30,0.08915,USD
2000-11-29,0.08866,USD
2000-12-28,0.08963,USD
2001-01-30,0.08963,USD
2001-02-27,0.08963,USD
2001-03-29,0.09012,USD
2001-04-27,0.09012,USD
2001-05-30,0.09012,USD
2001-06-28,0.09109,USD
2001-07-30,0.09109,USD
2001-08-30,0.09109,USD
2001-09-27,0.09157,USD
2001-10-30,0.09157,USD
2001-11-29,0.09157,USD
2001-12-28,0.09205,USD
2002-01-30,0.09205,USD
2002-02-27,0.09205,USD
2002-03-27,0.09254,USD
2002-04-29,0.09254,USD
2002-05-30,0.09254,USD
2002-06-27,0.09351,USD
2002-07-30,0.09351,USD
2002-08-29,0.09351,USD
2002-09-27,0.09351,USD
2002-10-30,0.09351,USD
2002-11-27,0.09351,USD
2002-12-30,0.09448,USD
2003-01-31,0.09448,USD
2003-02-27,0.09448,USD
2003-03-28,0.09496,USD
2003-04-29,0.09496,USD
2003-05-29,0.09496,USD
2003-06-27,0.09545,USD
2003-07-30,0.09545,USD
2003-08-28,0.09545,USD
2003-09-29,0.09593,USD
2003-10-30,0.09593,USD
2003-11-26,0.09593,USD
2003-12-30,0.0969,USD
2004-01-29,0.0969,USD
2004-02-26,0.0969,USD
2004-03-30,0.0969,USD
2004-04-29,0.0969,USD
2004-05-27,0.0969,USD
2004-06-29,0.09835,USD
2004-07-29,0.09835,USD
2004-08-30,0.10514,USD
2004-09-29,0.10562,USD
2004-10-28,0.10562,USD
2004-11-29,0.10562,USD
2004-12-30,0.10659,USD
2005-01-28,0.10659,USD
2005-02-25,0.10659,USD
2005-03-30,0.10756,USD
2005-04-28,0.10756,USD
2005-05-27,0.10756,USD
2005-06-29,0.10756,USD
2005-07-28,0.10756,USD
2005-08-30,0.11143,USD
2005-09-29,0.1124,USD
2005-10-28,0.1124,USD
2005-11-29,0.1124,USD
2005-12-29,0.1124,USD
2006-01-30,0.1124,USD
2006-02-27,0.1124,USD
2006-03-30,0.11337,USD
2006-04-27,0.11337,USD
2006-05-30,0.11337,USD
2006-06-29,0.11434,USD
2006-07-28,0.11434,USD
2006-08-30,0.12112,USD
2006-09-28,0.12209,USD
2006-10-30,0.12209,USD
2006-11-29,0.12209,USD
2006-12-28,0.12209,USD
2007-01-30,0.12209,USD
2007-02-27,0.12209,USD
2007-03-29,0.12306,USD
2007-04-27,0.12306,USD
2007-05-30,0.12306,USD
2007-06-28,0.12403,USD
2007-07-30,0.12403,USD
2007-08-30,0.13178,USD
2007-09-27,0.13178,USD
2007-10-30,0.13178,USD
2007-11-29,0.13178,USD
2007-12-28,0.13275,USD
2008-01-30,0.13275,USD
2008-02-28,0.13275,USD
2008-03-28,0.13275,USD
2008-04-29,0.13275,USD
2008-05-29,0.13275,USD
2008-06-27,0.13372,USD
2008-07-30,0.13372,USD
2008-08-28,0.13663,USD
2008-09-29,0.13663,USD
2008-10-30,0.13663,USD
2008-11-26,0.13663,USD
2008-12-30,0.1376,USD
2009-01-29,0.1376,USD
2009-02-26,0.1376,USD
2009-03-30,0.1376,USD
2009-04-29,0.1376,USD
2009-05-28,0.1376,USD
2009-06-29,0.1376,USD
2009-07-30,0.1376,USD
2009-08-28,0.1376,USD
2009-09-29,0.13857,USD
2009-10-29,0.13857,USD
2009-11-27,0.13857,USD
2009-12-30,0.13857,USD
2010-01-28,0.13857,USD
2010-02-25,0.13857,USD
2010-03-30,0.13857,USD
2010-04-29,0.13857,USD
2010-05-27,0.13857,USD
2010-06-29,0.13954,USD
2010-07-29,0.13954,USD
2010-08-30,0.13954,USD
2010-09-29,0.13954,USD
2010-10-28,0.13954,USD
2010-11-29,0.13954,USD
2010-12-30,0.13954,USD
2011-01-28,0.13954,USD
2011-02-25,0.13954,USD
2011-03-30,0.1405,USD
2011-04-28,0.1405,USD
2011-05-27,0.1405,USD
2011-06-29,0.1405,USD
2011-07-28,0.1405,USD
2011-09-01,0.1405,USD
2011-09-29,0.1405,USD
2011-10-28,0.1405,USD
2011-11-29,0.1405,USD
2011-12-28,0.14147,USD
2012-01-30,0.14147,USD
2012-02-28,0.14147,USD
2012-03-29,0.14147,USD
2012-04-27,0.14147,USD
2012-05-30,0.14147,USD
2012-06-28,0.14147,USD
2012-07-30,0.14147,USD
2012-08-30,0.14632,USD
2012-09-27,0.14632,USD
2012-10-31,0.14632,USD
2012-11-29,0.14632,USD
2012-12-28,0.14729,USD
2013-01-30,0.17539,USD
2013-02-27,0.17539,USD
2013-03-27,0.17539,USD
2013-04-29,0.17539,USD
2013-05-30,0.17539,USD
2013-06-27,0.17636,USD
2013-07-30,0.17636,USD
2013-08-29,0.17636,USD
2013-09-27,0.17636,USD
2013-10-30,0.17636,USD
2013-11-27,0.17636,USD
2013-12-30,0.17636,USD
2014-01-30,0.17636,USD
2014-02-27,0.17636,USD
2014-03-28,0.17636,USD
2014-04-29,0.17636,USD
2014-05-29,0.17636,USD
2014-06-27,0.17733,USD
2014-07-30,0.17733,USD
2014-08-28,0.17733,USD
2014-09-29,0.17733,USD
2014-10-30,0.17733,USD
2014-11-26,0.17733,USD
2014-12-30,0.17733,USD
2015-01-29,0.18314,USD
2015-02-26,0.18314,USD
2015-03-30,0.18411,USD
2015-04-29,0.18411,USD
2015-05-28,0.18411,USD
2015-06-29,0.18411,USD
2015-07-30,0.18411,USD
2015-08-28,0.18411,USD
2015-09-29,0.18508,USD
2015-10-29,0.18508,USD
2015-11-27,0.18508,USD
2015-12-30,0.18508,USD
2016-01-28,0.19283,USD
2016-02-26,0.19283,USD
2016-03-30,0.19283,USD
2016-04-28,0.19283,USD
2016-05-27,0.19283,USD
2016-06-29,0.1938,USD
2016-07-28,0.1938,USD
2016-08-30,0.19574,USD
2016-09-29,0.19574,USD
2016-10-28,0.19574,USD
2016-11-29,0.19574,USD
2016-12-29,0.19671,USD
2017-01-30,0.20446,USD
2017-02-27,0.20446,USD
2017-03-30,0.20446,USD
2017-04-27,0.20446,USD
2017-05-30,0.20446,USD
2017-06-29,0.20543,USD
2017-07-28,0.20543,USD
2017-08-30,0.20543,USD
2017-09-29,0.20543,USD
2017-10-31,0.20543,USD
2017-11-30,0.20543,USD
2017-12-29,0.2064,USD
2018-01-31,0.21221,USD
2018-02-28,0.21221,USD
2018-03-29,0.21318,USD
2018-04-30,0.21318,USD
2018-05-31,0.21318,USD
2018-06-29,0.21318,USD
2018-07-31,0.21318,USD
2018-08-31,0.21318,USD
2018-09-28,0.21415,USD
2018-10-31,0.21415,USD
2018-11-30,0.21415,USD
2018-12-31,0.21415,USD
2019-01-31,0.21899,USD
2019-02-28,0.21899,USD
2019-03-29,0.21899,USD
2019-04-30,0.21899,USD
2019-05-31,0.21899,USD
2019-06-28,0.21996,USD
2019-07-31,0.21996,USD
2019-08-30,0.21996,USD
2019-09-30,0.21996,USD
2019-10-31,0.21996,USD
2019-11-29,0.21996,USD
2019-12-31,0.22093,USD
2020-01-31,0.2325,USD
2020-02-28,0.2325,USD
2020-03-31,0.233,USD
2020-04-30,0.233,USD
2020-05-29,0.233,USD
2020-06-30,0.2335,USD
2020-07-31,0.2335,USD
2020-08-31,0.2335,USD
2020-09-30,0.234,USD
2020-10-30,0.234,USD
2020-11-30,0.234,USD
2020-12-31,0.2345,USD
2021-01-29,0.2345,USD
2021-02-26,0.2345,USD
2021-03-31,0.235,USD
2021-04-30,0.235,USD
2021-05-28,0.235,USD
2021-06-30,0.2355,USD
2021-07-30,0.2355,USD
2021-08-31,0.2355,USD
2021-09-30,0.236,USD
2021-11-01,0.236,USD
2021-11-15,2.13,USD
2021-11-30,0.246,USD
2021-12-31,0.2465,USD
2022-01-31,0.2465,USD
2022-02-28,0.2465,USD
2022-03-31,0.247,USD
2022-04-29,0.247,USD
2022-05-31,0.247,USD
2022-06-30,0.2475,USD
2022-07-29,0.2475,USD
2022-08-31,0.2475,USD
2022-09-30,0.248,USD
2022-10-31,0.248,USD
2022-11-30,0.248,USD
2022-12-30,0.2485,USD
