Date,Amount,Currency
2001-03-21,0.60952,USD
2001-07-06,0.10963,USD
2001-08-10,0.01826,USD
2002-03-20,0.45222,USD
2002-11-07,0.06961,USD
2003-03-25,0.27259,USD
2003-11-21,0.25484,USD
2004-03-25,0.50218,USD
2004-09-28,0.26139,USD
2005-04-01,0.16068,USD
2005-07-01,0.20891,USD
2006-01-03,0.21066,USD
2006-04-04,0.24927,USD
2006-11-01,0.4686,USD
2007-01-03,0.2257,USD
2007-04-03,0.18692,USD
2007-08-20,0.27612,USD
2007-10-05,0.29196,USD
2008-01-14,0.18278,USD
2008-04-07,0.10815,USD
2008-12-29,0.79915,USD
2009-04-09,0.37927,USD
2009-07-06,0.34171,USD
2009-10-01,0.22416,USD
2009-12-23,0.22954,USD
2010-04-23,0.29206,USD
2010-05-24,0.2199,USD
2010-08-02,0.22707,USD
2010-11-03,0.16242,USD
2010-12-22,0.23932,USD
2011-03-22,0.18812,USD
2011-05-04,0.15814,USD
2011-05-12,0.25243,USD
2011-08-04,0.25132,USD
2011-11-14,0.21895,USD
2012-01-03,0.20904,USD
2012-03-20,0.12142,USD
2012-05-14,0.19601,USD
2013-04-30,0.75,USD
2014-04-03,0.88981,USD
2018-05-22,0.02659,USD
2018-08-14,0.0243,USD
2018-11-23,0.05193,USD
2018-12-28,0.34867,USD
2019-04-26,0.00949,USD
2019-05-22,0.05214,USD
2019-08-13,0.09795,USD
2019-11-12,0.0931,USD
2019-12-27,0.19552,USD
2020-04-28,0.00017,USD
2020-07-23,0.00035,USD
2021-04-15,0.29286,USD
2021-08-17,0.613,USD
2021-12-02,1.135,USD
2022-04-14,1.17,USD
2022-05-24,1.4,USD
2022-08-12,2.5966,USD
2022-11-22,1.283,USD
2023-04-28,1.168,USD
2023-06-13,0.7698,USD
2023-08-22,0.47,USD
2023-11-22,0.548,USD
2024-04-26,0.436,USD
2024-05-03,0.674,USD
2024-06-13,0.381,USD
2024-08-23,0.386,USD
