Date,Amount,Currency
2000-01-19,0.16,USD
2000-04-18,0.16,USD
2000-07-19,0.175,USD
2000-10-18,0.175,USD
2001-01-17,0.175,USD
2001-04-18,0.175,USD
2001-07-18,0.19,USD
2001-10-17,0.19,USD
2002-01-16,0.19,USD
2002-04-17,0.19,USD
2002-06-03,0.345,USD
2002-07-17,0.205,USD
2002-10-16,0.205,USD
2003-01-22,0.205,USD
2003-04-15,0.205,USD
2003-07-16,0.2275,USD
2003-10-22,0.2275,USD
2004-01-21,0.2275,USD
2004-04-21,0.25,USD
2004-07-21,0.25,USD
2004-10-20,0.25,USD
2005-01-19,0.25,USD
2005-04-20,0.28,USD
2005-07-20,0.28,USD
2005-10-19,0.28,USD
2006-01-18,0.28,USD
2006-04-19,0.31,USD
2006-07-19,0.31,USD
2006-10-18,0.31,USD
2007-01-17,0.31,USD
2007-04-25,0.35,USD
2007-07-18,0.35,USD
2007-10-17,0.35,USD
2008-01-16,0.35,USD
2008-04-16,0.4,USD
2008-07-16,0.4,USD
2008-10-22,0.4,USD
2009-01-21,0.4,USD
2009-04-22,0.44,USD
2009-07-22,0.44,USD
2009-10-21,0.44,USD
2010-01-20,0.44,USD
2010-04-28,0.482,USD
2010-07-21,0.482,USD
2010-10-20,0.482,USD
2011-01-19,0.482,USD
2011-04-27,0.525,USD
2011-07-20,0.525,USD
2011-10-19,0.525,USD
2012-01-18,0.525,USD
2012-04-25,0.562,USD
2012-07-18,0.562,USD
2012-10-17,0.562,USD
2013-01-16,0.562,USD
2013-04-24,0.602,USD
2013-07-17,0.602,USD
2013-10-16,0.602,USD
2014-01-22,0.602,USD
2014-04-23,0.644,USD
2014-07-16,0.644,USD
2014-10-22,0.644,USD
2015-01-21,0.644,USD
2015-04-23,0.663,USD
2015-07-22,0.663,USD
2015-10-21,0.663,USD
2016-01-20,0.663,USD
2016-04-14,0.67,USD
2016-07-20,0.67,USD
2016-10-19,0.67,USD
2017-01-18,0.67,USD
2017-04-19,0.69,USD
2017-07-19,0.69,USD
2017-10-19,0.69,USD
2018-01-18,0.69,USD
2018-04-19,0.717,USD
2018-07-19,0.717,USD
2018-10-18,0.717,USD
2019-01-17,0.717,USD
2019-04-17,0.746,USD
2019-07-18,0.746,USD
2019-10-17,0.746,USD
2020-01-23,0.746,USD
2020-04-23,0.791,USD
2020-07-23,0.791,USD
2020-10-22,0.791,USD
2021-01-21,0.791,USD
2021-04-22,0.87,USD
2021-07-22,0.87,USD
2021-10-21,0.87,USD
2022-01-20,0.87,USD
2022-04-21,0.913,USD
2022-07-21,0.913,USD
2022-10-20,0.913,USD
2023-01-19,0.913,USD
2023-04-20,0.941,USD
2023-07-20,0.941,USD
2023-10-19,0.941,USD
2024-01-18,0.941,USD
2024-04-18,1.007,USD
2024-07-19,1.007,USD
2024-10-18,1.007,USD
2025-01-24,1.007,USD
