Date,Amount,Currency
2000-02-29,0.11,USD
2000-06-05,0.11,USD
2000-09-14,0.13,USD
2000-12-15,0.13,USD
2001-02-27,0.13,USD
2001-06-05,0.13,USD
2001-09-13,0.13,USD
2001-12-13,0.13,USD
2002-03-14,0.13,USD
2002-06-04,0.13,USD
2002-09-13,0.13,USD
2002-12-11,0.13,USD
2003-02-27,0.13,USD
2003-06-02,0.13,USD
2003-09-24,0.13,USD
2003-12-17,0.13,USD
2004-02-26,0.13,USD
2004-05-29,0.13,USD
2004-09-11,0.13,USD
2004-12-21,0.13,USD
2005-02-25,0.13,USD
2005-06-09,0.13,USD
2005-09-22,0.15,USD
2005-12-14,0.15,USD
2006-02-27,0.15,USD
2006-06-07,0.15,USD
2006-09-27,0.15,USD
2006-12-20,0.15,USD
2007-02-27,0.15,USD
2007-06-15,0.15,USD
2007-09-26,0.15,USD
2007-12-26,0.15,USD
2008-03-13,0.15,USD
2008-06-04,0.15,USD
2008-09-11,0.15,USD
2011-08-10,0.1,USD
2011-12-20,0.1,USD
2012-02-27,0.1,USD
2012-05-18,0.1,USD
2012-09-21,0.12,USD
2012-12-13,0.12,USD
2013-02-19,0.12,USD
2013-05-17,0.12,USD
2013-09-20,0.25,USD
2013-12-12,0.25,USD
2014-02-13,0.25,USD
2014-05-16,0.25,USD
2014-09-18,0.3,USD
2014-12-18,0.3,USD
2015-02-13,0.3,USD
2015-05-15,0.3,USD
2015-09-16,0.375,USD
2015-12-17,0.375,USD
2016-02-18,0.375,USD
2016-05-26,0.375,USD
2016-09-27,0.48,USD
2016-12-19,0.48,USD
2017-03-03,0.48,USD
2017-05-31,0.48,USD
2017-09-21,0.6,USD
2017-12-20,0.6,USD
2018-03-06,0.6,USD
2018-06-01,0.6,USD
2018-09-20,0.7,USD
2018-12-19,0.7,USD
2019-03-06,0.7,USD
2019-06-03,0.7,USD
2019-09-19,0.78,USD
2019-12-19,0.78,USD
2020-03-05,0.78,USD
2024-09-20,0.4,USD
2024-12-27,0.55,USD
2025-03-07,0.75,USD
