Date,Amount,Currency
2000-03-08,0.42775,USD
2000-08-16,0.211,USD
2001-03-07,0.42775,USD
2001-08-15,0.22225,USD
2002-03-06,0.30725,USD
2002-08-14,0.32775,USD
2003-03-05,0.339,USD
2003-08-13,0.45,USD
2004-03-10,0.34,USD
2004-08-11,0.32,USD
2005-02-23,0.45,USD
2005-08-10,0.385,USD
2006-02-22,1.515,USD
2006-08-09,1.6,USD
2007-03-07,0.64,USD
2007-08-08,0.52,USD
2008-02-20,0.84,USD
2008-09-03,0.68,USD
2009-02-18,0.68,USD
2009-07-08,5.708,USD
2010-02-24,0.45,USD
2010-08-11,0.448,USD
2011-03-02,0.633,USD
2011-08-10,0.54,USD
2012-02-29,0.91,USD
2012-08-15,0.726,USD
2013-03-06,0.934,USD
2013-08-14,0.841,USD
2014-03-05,1.096,USD
2014-08-13,0.958,USD
2015-03-04,1.198,USD
2015-08-12,1.069,USD
2016-02-24,1.073,USD
2016-08-10,0.45,USD
2017-02-22,1.258,USD
2017-08-09,1.1,USD
2018-03-01,1.795,USD
2018-08-09,1.271,USD
2019-03-07,4.23,USD
2019-08-08,2.12,USD
2020-03-06,2.31,USD
2020-08-06,1.55,USD
2021-03-04,4.02,USD
2021-08-12,5.61,USD
2022-03-10,4.79,USD
2022-08-11,2.67,USD
2023-03-09,2.25,USD
2023-08-10,1.77,USD
2024-03-07,2.58,USD
2024-08-16,1.77,USD
2025-03-07,2.25,USD
