Date,Amount,Currency
2000-02-16,0.06293,USD
2000-05-17,0.06293,USD
2000-08-23,0.06293,USD
2000-11-15,0.0708,USD
2001-02-14,0.0708,USD
2001-05-16,0.0708,USD
2001-08-22,0.0708,USD
2001-11-14,0.0708,USD
2002-02-13,0.07709,USD
2002-05-15,0.07709,USD
2002-08-21,0.07709,USD
2002-11-13,0.07709,USD
2003-02-12,0.07709,USD
2003-05-14,0.08496,USD
2003-08-20,0.08496,USD
2003-11-12,0.11013,USD
2004-02-18,0.11013,USD
2004-05-19,0.11013,USD
2004-08-18,0.11013,USD
2004-11-17,0.11013,USD
2005-02-16,0.13845,USD
2005-05-18,0.13845,USD
2005-08-17,0.13845,USD
2005-11-16,0.13845,USD
2006-02-15,0.13845,USD
2006-05-17,0.16677,USD
2006-08-16,0.16677,USD
2006-11-15,0.16677,USD
2007-02-14,0.16677,USD
2007-05-16,0.16677,USD
2007-08-15,0.20139,USD
2007-11-14,0.20139,USD
2008-02-13,0.20139,USD
2008-05-14,0.20139,USD
2008-08-13,0.20139,USD
2008-11-12,0.24229,USD
2009-02-18,0.24229,USD
2009-05-13,0.24229,USD
2009-08-19,0.24229,USD
2009-11-18,0.24229,USD
2010-02-17,0.26746,USD
2010-05-12,0.26746,USD
2010-08-18,0.26746,USD
2010-11-17,0.26746,USD
2011-02-16,0.26746,USD
2011-05-18,0.30208,USD
2011-08-17,0.30208,USD
2011-11-16,0.30208,USD
2012-02-15,0.30208,USD
2012-05-16,0.30208,USD
2012-08-15,0.33669,USD
2012-11-14,0.33669,USD
2013-02-13,0.33669,USD
2013-05-15,0.33669,USD
2013-08-14,0.33669,USD
2013-11-13,0.3713,USD
2014-02-12,0.3713,USD
2014-05-14,0.3713,USD
2014-08-13,0.3713,USD
2014-11-12,0.3713,USD
2015-02-11,0.40277,USD
2015-05-13,0.40277,USD
2015-08-12,0.40277,USD
2015-11-10,0.40277,USD
2016-02-17,0.40277,USD
2016-05-18,0.41536,USD
2016-08-17,0.41536,USD
2016-11-16,0.41536,USD
2017-02-15,0.41536,USD
2017-05-17,0.41536,USD
2017-08-16,0.44053,USD
2017-11-16,0.44053,USD
2018-02-15,0.44053,USD
2018-05-17,0.44053,USD
2018-08-16,0.44053,USD
2018-11-15,0.46256,USD
2019-02-14,0.46256,USD
2019-05-16,0.46256,USD
2019-08-15,0.46256,USD
2019-11-14,0.46256,USD
2020-02-13,0.46256,USD
2020-05-14,0.475,USD
2020-08-13,0.475,USD
2020-11-12,0.475,USD
2021-02-25,0.475,USD
2021-05-20,0.51,USD
2021-08-19,0.51,USD
2021-11-18,0.51,USD
2022-02-24,0.51,USD
2022-05-19,0.55,USD
2022-08-18,0.55,USD
2022-11-17,0.55,USD
2023-02-23,0.55,USD
2023-05-18,0.59,USD
2023-08-17,0.59,USD
2023-11-16,0.59,USD
2024-02-22,0.59,USD
2024-05-16,0.63,USD
2024-08-16,0.63,USD
2024-11-15,0.63,USD
2025-02-21,0.63,USD
