Date,Amount,Currency
2000-01-26,0.146,USD
2000-04-26,0.059,USD
2000-08-01,0.061,USD
2000-10-26,0.056,USD
2001-01-26,0.061,USD
2001-04-25,0.146,USD
2001-07-30,0.065,USD
2001-10-26,0.068,USD
2002-01-28,0.066,USD
2002-04-25,0.055,USD
2002-07-29,0.077,USD
2002-10-29,0.074,USD
2003-01-29,0.079,USD
2003-04-28,0.065,USD
2003-07-29,0.086,USD
2003-10-29,0.09,USD
2004-01-28,0.098,USD
2004-04-28,0.088,USD
2004-07-28,0.102,USD
2004-10-27,0.105,USD
2005-01-27,0.11,USD
2005-04-27,0.111,USD
2005-07-27,0.113,USD
2005-10-27,0.111,USD
2006-01-27,0.11,USD
2006-04-26,0.164,USD
2006-07-27,0.135,USD
2006-10-27,0.134,USD
2007-01-29,0.139,USD
2007-04-26,0.263,USD
2007-07-27,0.165,USD
2007-10-29,0.174,USD
2008-01-29,0.181,USD
2008-04-28,0.409,USD
2008-07-29,0.212,USD
2008-10-29,0.185,USD
2008-12-02,0.184,USD
2009-01-28,0.167,USD
2009-04-28,0.328,USD
2009-07-29,0.188,USD
2009-10-13,0.175,USD
2010-01-27,0.178,USD
2010-04-28,0.299,USD
2010-07-28,0.164,USD
2010-10-12,0.165,USD
2011-01-12,0.159,USD
2011-04-27,0.315,USD
2011-07-27,0.195,USD
2011-10-12,0.173,USD
2012-01-11,0.161,USD
2012-04-10,0.293,USD
2012-07-10,0.147,USD
2012-07-11,0.19,USD
2012-10-12,0.195,USD
2013-01-10,0.197,USD
2013-04-09,0.196,USD
2013-07-10,0.196,USD
2013-10-10,0.204,USD
2014-01-10,0.208,USD
2014-04-09,0.207,USD
2014-07-10,0.205,USD
2014-10-15,0.189,USD
2015-01-09,0.18,USD
2015-04-09,0.165,USD
2015-07-29,0.056,USD
2015-10-15,0.057,USD
2016-01-27,0.055,USD
2016-04-28,0.057,USD
2016-07-27,0.061,USD
2016-10-13,0.05,USD
2017-01-25,0.059,USD
2017-04-26,0.059,USD
2017-07-19,0.10331,USD
2017-08-01,0.069,USD
2017-10-16,0.053,USD
2018-01-30,0.072,USD
2018-05-02,0.073,USD
2018-07-30,0.075,USD
2018-10-16,0.04,USD
2019-01-30,0.075,USD
2019-04-29,0.073,USD
2019-10-30,0.109,USD
2020-11-12,0.11476,USD
2021-04-30,0.02901,USD
2021-10-29,0.056,USD
2022-04-28,0.057,USD
2022-10-31,0.056,USD
2023-04-27,0.063,USD
2023-10-31,0.085,USD
2024-04-29,0.103,USD
2024-10-31,0.112,USD
