Date,Amount,Currency
2000-03-13,0.00971,USD
2000-05-24,0.00809,USD
2000-08-11,0.00906,USD
2000-11-30,0.02815,USD
2001-03-14,0.02314,USD
2001-05-24,0.01586,USD
2001-08-13,0.00754,USD
2001-11-30,0.0117,USD
2002-02-13,0.01194,USD
2002-05-16,0.00647,USD
2002-08-09,0.02524,USD
2002-11-07,0.01425,USD
2002-11-15,0.0144,USD
2003-02-14,0.01488,USD
2003-05-23,0.01844,USD
2003-08-11,0.02189,USD
2003-11-07,0.03648,USD
2004-02-19,0.04368,USD
2004-05-17,0.08769,USD
2004-08-11,0.12215,USD
2004-11-08,0.1334,USD
2005-02-15,0.2022,USD
2005-04-27,0.38468,USD
2005-08-03,0.16875,USD
2005-11-08,0.27505,USD
2006-02-13,0.44493,USD
2006-05-12,0.44493,USD
2006-07-31,0.32358,USD
2006-11-14,0.44493,USD
2007-02-09,0.55009,USD
2007-05-14,0.48538,USD
2007-08-10,0.51773,USD
2007-11-05,0.64717,USD
2008-02-08,0.45302,USD
2008-05-12,0.55009,USD
2008-08-18,0.55333,USD
2008-11-14,0.33006,USD
2009-03-09,0.11358,USD
2009-05-11,0.04368,USD
2009-08-04,0.09708,USD
2009-11-03,0.17474,USD
2010-02-17,0.41742,USD
2010-05-10,0.43684,USD
2010-08-10,0.35918,USD
2010-11-12,0.41742,USD
2011-02-11,0.56304,USD
2011-05-02,0.54362,USD
2011-08-15,0.60187,USD
2011-11-14,0.67953,USD
2012-02-13,0.18642,USD
2012-05-09,0.52,USD
2012-08-13,0.23547,USD
2012-11-06,2.69814,USD
2013-02-11,0.23547,USD
2013-05-06,0.19623,USD
2013-08-05,0.11774,USD
2013-11-05,0.11774,USD
2014-02-13,0.11774,USD
2014-05-22,0.09811,USD
2014-08-13,0.11774,USD
2014-11-06,0.11774,USD
2015-02-12,0.09811,USD
2015-05-11,0.09811,USD
2015-08-11,0.09811,USD
2015-11-06,0.03925,USD
2016-02-11,0.02943,USD
2016-05-06,0.04906,USD
2016-08-09,0.04906,USD
2016-11-07,0.04906,USD
2017-02-10,0.07849,USD
2017-05-15,0.11774,USD
2017-08-07,0.13736,USD
2017-11-07,0.24529,USD
2018-02-12,0.29434,USD
2018-05-08,0.29434,USD
2018-08-07,0.39246,USD
2018-11-06,0.39246,USD
2019-02-08,0.4359,USD
2019-02-11,0.39246,USD
2019-05-02,0.39246,USD
2019-08-07,0.39246,USD
2019-11-06,0.39246,USD
2020-03-09,0.39246,USD
2020-05-12,0.19623,USD
2020-08-11,0.39246,USD
2020-11-09,0.49057,USD
2021-02-09,0.58868,USD
2021-05-10,0.6868,USD
2021-08-11,0.88303,USD
2021-11-09,0.98114,USD
2022-02-14,0.98114,USD
2022-05-16,1.22643,USD
2022-08-10,0.73586,USD
2022-11-08,0.49057,USD
2023-02-13,0.98114,USD
2023-05-08,0.98114,USD
2023-08-08,0.98114,USD
2023-11-07,0.98114,USD
2024-02-12,0.78491,USD
2024-08-09,0.59198,USD
2024-11-06,0.69493,USD
2025-02-11,0.7,USD
