Date,Amount,Currency
2000-05-10,0.65929,USD
2000-08-04,0.51466,USD
2001-05-18,0.67839,USD
2001-08-03,0.5211,USD
2002-05-17,0.75097,USD
2002-08-02,0.525,USD
2003-04-24,0.82613,USD
2003-07-25,0.84745,USD
2004-04-26,0.91012,USD
2004-07-30,0.67568,USD
2005-02-04,0.99482,USD
2005-04-29,0.44319,USD
2005-08-03,0.4154,USD
2005-11-02,0.417,USD
2006-02-08,0.4731,USD
2006-05-10,0.5359,USD
2006-08-02,0.5361,USD
2006-11-01,0.5349,USD
2007-02-07,0.5525,USD
2007-05-09,0.612,USD
2007-08-01,0.612,USD
2007-10-31,0.612,USD
2008-02-06,0.612,USD
2008-05-14,0.68,USD
2008-08-06,0.68,USD
2008-11-05,0.68,USD
2009-02-04,0.68,USD
2009-05-06,0.714,USD
2009-08-05,0.714,USD
2009-11-04,0.714,USD
2010-02-10,0.714,USD
2010-05-05,0.714,USD
2010-08-04,0.714,USD
2010-11-03,0.714,USD
2011-02-09,0.714,USD
2011-05-11,0.714,USD
2011-08-03,0.714,USD
2011-11-02,0.714,USD
2012-02-15,0.714,USD
2012-05-09,0.731,USD
2012-08-08,0.731,USD
2012-11-14,0.731,USD
2013-02-13,0.731,USD
2013-05-15,0.765,USD
2013-08-14,0.765,USD
2013-11-13,0.765,USD
2014-02-12,0.765,USD
2014-05-14,0.799,USD
2014-08-13,0.799,USD
2014-11-12,0.799,USD
2015-02-11,0.799,USD
2015-05-13,0.799,USD
2015-08-12,0.799,USD
2015-11-10,0.799,USD
2016-02-17,0.799,USD
2016-05-18,0.799,USD
2016-08-10,0.799,USD
2016-11-08,0.799,USD
2017-02-15,0.799,USD
2017-05-17,0.799,USD
2017-08-09,0.799,USD
2017-11-16,0.799,USD
2018-02-15,0.799,USD
2018-05-10,0.799,USD
2018-08-09,0.799,USD
2018-11-15,0.799,USD
2019-02-14,0.799,USD
2019-05-16,0.94,USD
2019-08-15,0.94,USD
2019-11-14,0.94,USD
2020-02-13,0.94,USD
2020-05-14,0.32,USD
2020-08-13,0.32,USD
2020-11-12,0.333,USD
2021-02-18,0.333,USD
2021-05-13,0.347,USD
2021-08-12,0.48,USD
2021-11-10,0.48,USD
2022-02-17,0.48,USD
2022-05-19,0.5,USD
2022-08-11,0.5,USD
2022-11-09,0.5,USD
2023-02-16,0.575,USD
2023-05-18,0.575,USD
2023-08-10,0.662,USD
2023-11-16,0.662,USD
2024-02-15,0.688,USD
2024-05-16,0.688,USD
2024-08-16,0.688,USD
2024-11-15,0.688,USD
2025-02-14,0.716,USD
