Date,Amount,Currency
2000-02-23,0.1175,USD
2000-05-24,0.1175,USD
2000-08-24,0.1175,USD
2000-11-24,0.1175,USD
2001-02-22,0.1225,USD
2001-05-24,0.1225,USD
2001-08-24,0.1225,USD
2001-11-26,0.1225,USD
2002-02-22,0.1275,USD
2002-05-24,0.1275,USD
2002-08-23,0.1275,USD
2002-11-22,0.1275,USD
2003-02-24,0.135,USD
2003-05-23,0.135,USD
2003-08-22,0.135,USD
2003-11-21,0.135,USD
2004-02-23,0.15,USD
2004-05-24,0.15,USD
2004-08-24,0.15,USD
2004-11-23,0.15,USD
2005-02-22,0.165,USD
2005-05-24,0.083,USD
2005-08-24,0.165,USD
2005-11-23,0.165,USD
2006-02-22,0.182,USD
2006-05-24,0.182,USD
2006-08-24,0.182,USD
2006-11-24,0.182,USD
2007-02-22,0.205,USD
2007-05-24,0.205,USD
2007-08-24,0.205,USD
2007-11-26,0.205,USD
2008-02-25,0.22,USD
2008-05-23,0.22,USD
2008-08-22,0.22,USD
2008-11-21,0.22,USD
2009-02-23,0.225,USD
2009-05-22,0.225,USD
2009-08-24,0.225,USD
2009-11-23,0.225,USD
2010-02-22,0.235,USD
2010-05-24,0.235,USD
2010-08-24,0.235,USD
2010-11-23,0.235,USD
2011-02-22,0.25,USD
2011-05-24,0.25,USD
2011-08-24,0.25,USD
2011-11-23,0.25,USD
2012-02-23,0.255,USD
2012-05-24,0.255,USD
2012-08-24,0.255,USD
2012-11-26,0.255,USD
2012-12-14,2.5,USD
2013-02-22,0.28,USD
2013-05-24,0.28,USD
2013-08-23,0.28,USD
2013-11-22,0.28,USD
2014-02-24,0.3,USD
2014-05-23,0.3,USD
2014-08-22,0.3,USD
2014-11-21,0.3,USD
2015-02-23,0.33,USD
2015-05-22,0.33,USD
2015-08-24,0.33,USD
2015-11-23,0.33,USD
2016-02-23,0.36,USD
2016-05-24,0.36,USD
2016-08-24,0.36,USD
2016-11-23,0.36,USD
2017-02-22,0.41,USD
2017-05-24,0.41,USD
2017-08-24,0.41,USD
2017-11-27,0.41,USD
2018-02-23,0.5,USD
2018-05-25,0.5,USD
2018-08-27,0.5,USD
2018-11-27,0.5,USD
2019-02-25,0.57,USD
2019-05-28,0.57,USD
2019-08-26,0.57,USD
2019-11-25,0.57,USD
2020-02-25,0.67,USD
2020-05-26,0.67,USD
2020-08-25,0.67,USD
2020-11-24,0.67,USD
2021-02-23,0.77,USD
2021-05-25,0.77,USD
2021-08-25,0.77,USD
2021-11-24,0.77,USD
2022-02-09,0.77,USD
2022-05-26,0.85,USD
2022-08-25,0.85,USD
2022-11-25,0.85,USD
2023-02-23,0.9,USD
2023-05-25,0.9,USD
2023-08-25,0.9,USD
2023-11-27,0.9,USD
2024-02-26,0.91,USD
2024-05-29,0.91,USD
2024-08-27,0.91,USD
2024-11-26,0.91,USD
2025-02-26,0.96,USD
