Date,Amount,Currency
2000-12-27,0.04,USD
2001-12-27,0.05,USD
2002-12-27,0.06,USD
2003-12-29,0.07,USD
2004-12-29,0.09,USD
2005-12-28,0.11,USD
2006-12-27,0.22,USD
2007-12-27,0.33,USD
2008-12-29,0.4,USD
2009-11-16,0.1,USD
2009-12-28,0.15,USD
2010-03-26,0.15,USD
2010-06-28,0.15,USD
2010-09-28,0.15,USD
2010-12-29,0.18,USD
2011-03-29,0.18,USD
2011-06-28,0.18,USD
2011-09-28,0.18,USD
2011-12-27,0.213,USD
2012-03-28,0.213,USD
2012-06-27,0.213,USD
2012-09-26,0.213,USD
2012-12-27,0.265,USD
2013-03-26,0.265,USD
2013-06-26,0.265,USD
2013-09-26,0.265,USD
2013-12-27,0.305,USD
2014-03-27,0.305,USD
2014-06-26,0.305,USD
2014-09-26,0.305,USD
2014-12-29,0.345,USD
2015-03-27,0.345,USD
2015-06-26,0.345,USD
2015-09-28,0.345,USD
2015-12-29,0.38,USD
2016-03-29,0.38,USD
2016-06-28,0.38,USD
2016-09-28,0.38,USD
2016-12-28,0.425,USD
2017-03-29,0.425,USD
2017-06-28,0.425,USD
2017-09-28,0.425,USD
2017-12-28,0.47,USD
2018-03-28,0.47,USD
2018-06-28,0.47,USD
2018-09-27,0.47,USD
2018-12-28,0.52,USD
2019-03-28,0.52,USD
2019-06-27,0.52,USD
2019-09-27,0.52,USD
2019-12-30,0.575,USD
2020-03-30,0.575,USD
2020-06-29,0.575,USD
2020-09-29,0.575,USD
2020-12-30,0.63,USD
2021-03-30,0.63,USD
2021-06-29,0.63,USD
2021-09-29,0.63,USD
2021-12-30,0.695,USD
2022-03-30,0.695,USD
2022-06-29,0.695,USD
2022-09-29,0.695,USD
2022-12-29,0.75,USD
2023-03-30,0.75,USD
2023-06-29,0.75,USD
2023-09-28,0.75,USD
2023-12-28,0.8,USD
2024-03-27,0.8,USD
2024-06-28,0.8,USD
2024-09-30,0.8,USD
2024-12-31,0.84,USD
