Date,Amount,Currency
2000-03-14,0.105,USD
2000-06-13,0.125,USD
2000-08-02,0.0625,USD
2000-09-12,0.125,USD
2000-11-08,0.0625,USD
2000-12-12,0.125,USD
2001-01-31,0.065,USD
2001-03-13,0.14,USD
2001-05-02,0.065,USD
2001-06-12,0.14,USD
2001-08-01,0.065,USD
2001-09-18,0.14,USD
2001-10-26,0.0675,USD
2001-12-18,0.14,USD
2002-01-31,0.0675,USD
2002-03-12,0.14,USD
2002-05-01,0.0725,USD
2002-06-18,0.14,USD
2002-07-31,0.075,USD
2002-09-17,0.14,USD
2002-10-30,0.075,USD
2002-12-17,0.14,USD
2003-01-29,0.08,USD
2003-03-18,0.14,USD
2003-04-30,0.08,USD
2003-06-17,0.14,USD
2003-07-30,0.095,USD
2003-09-16,0.16,USD
2003-10-29,0.095,USD
2003-12-16,0.16,USD
2004-02-04,0.0975,USD
2004-03-16,0.17,USD
2004-05-05,0.0975,USD
2004-06-15,0.17,USD
2004-08-04,0.1,USD
2004-09-14,0.18,USD
2004-11-03,0.1,USD
2004-12-14,0.18,USD
2005-02-02,0.1,USD
2005-03-15,0.2,USD
2005-05-11,0.2,USD
2005-06-14,0.16,USD
2005-08-03,0.22,USD
2005-09-13,0.21,USD
2005-11-02,0.22,USD
2005-12-13,0.1815,USD
2006-02-08,0.22,USD
2006-03-14,0.1895,USD
2006-05-03,0.22,USD
2006-06-13,0.199,USD
2006-08-02,0.22,USD
2006-09-12,0.214,USD
2006-11-01,0.22,USD
2007-01-02,0.24,USD
2007-01-03,0.2075,USD
2007-02-01,0.22,USD
2007-04-02,0.2285,USD
2007-07-02,0.2475,USD
2007-07-03,0.265,USD
2007-10-01,0.285,USD
2008-01-02,0.2905,USD
2008-04-01,0.301,USD
2008-07-07,0.2905,USD
2008-10-01,0.2915,USD
2009-01-02,0.249,USD
2009-04-01,0.243,USD
2009-07-01,0.537,USD
2009-10-01,0.2845,USD
2010-01-04,0.29,USD
2010-04-01,0.3005,USD
2010-07-01,0.291,USD
2010-07-02,0.61,USD
2010-10-01,0.2955,USD
2011-01-04,0.307,USD
2011-04-01,0.3405,USD
2011-07-04,0.3439,USD
2011-07-05,0.66,USD
2011-10-03,0.3255,USD
2012-01-03,0.333,USD
2012-04-02,0.362,USD
2012-07-02,0.3505,USD
2012-10-01,0.3915,USD
2013-01-02,0.385,USD
2013-04-01,0.398,USD
2013-07-05,0.3835,USD
2013-10-01,0.4125,USD
2014-01-02,0.404,USD
2014-04-01,0.425,USD
2014-07-07,0.441,USD
2014-10-01,0.42,USD
2015-01-02,0.404,USD
2015-04-02,0.404,USD
2015-07-07,0.403,USD
2015-10-02,0.384,USD
2016-01-06,0.364,USD
2016-04-06,0.419,USD
2016-07-06,0.424,USD
2016-10-05,0.417,USD
2017-01-06,0.416,USD
2017-04-06,0.447,USD
2017-07-06,0.463,USD
2017-10-05,0.481,USD
2018-01-09,0.483,USD
2018-04-09,0.524,USD
2018-07-09,0.512,USD
2018-10-09,0.517,USD
2019-01-09,0.505,USD
2019-04-09,0.556,USD
2019-07-09,0.565,USD
2019-10-09,0.555,USD
2020-01-09,0.568,USD
2020-04-08,0.565,USD
2020-07-09,0.585,USD
2020-10-08,0.596,USD
2021-01-07,0.623,USD
2021-04-08,0.626,USD
2021-07-08,0.633,USD
2021-10-07,0.627,USD
2022-01-07,0.699,USD
2022-04-07,0.71,USD
2022-07-07,0.683,USD
2022-10-06,0.654,USD
2023-01-05,0.712,USD
2023-04-05,0.714,USD
2023-07-07,0.718,USD
2023-10-05,0.699,USD
2024-01-09,0.764,USD
2024-04-08,0.751,USD
2024-07-10,0.748,USD
2024-10-10,0.744,USD
2025-01-10,0.724,USD
