Date,Amount,Currency
2000-01-06,0.18407,USD
2000-04-06,0.19163,USD
2000-07-06,0.19163,USD
2000-10-05,0.19163,USD
2001-01-08,0.19163,USD
2001-04-06,0.19351,USD
2001-07-06,0.19351,USD
2001-10-05,0.19351,USD
2002-01-08,0.19351,USD
2002-04-08,0.2039,USD
2002-07-08,0.2039,USD
2002-10-08,0.2039,USD
2003-01-08,0.2039,USD
2003-04-08,0.2511,USD
2003-07-08,0.28886,USD
2003-10-08,0.28886,USD
2004-01-07,0.23599,USD
2004-04-06,0.23599,USD
2004-07-07,0.23599,USD
2004-10-06,0.23599,USD
2005-01-06,0.24354,USD
2005-04-06,0.24354,USD
2005-07-06,0.24354,USD
2005-10-05,0.24354,USD
2006-01-06,0.2511,USD
2006-04-06,0.2511,USD
2006-07-06,0.2511,USD
2006-10-05,0.2511,USD
2007-01-08,0.26809,USD
2007-04-05,0.26809,USD
2007-07-06,0.26809,USD
2007-10-05,0.26809,USD
2008-01-08,0.30207,USD
2008-04-08,0.30207,USD
2008-07-08,0.30207,USD
2008-10-08,0.30207,USD
2009-01-07,0.30962,USD
2009-04-07,0.30962,USD
2009-07-08,0.30962,USD
2009-10-07,0.30962,USD
2010-01-06,0.31717,USD
2010-04-07,0.31717,USD
2010-07-07,0.31717,USD
2010-10-06,0.31717,USD
2011-01-06,0.32473,USD
2011-04-06,0.32473,USD
2011-07-06,0.32473,USD
2011-10-05,0.32473,USD
2012-01-06,0.33228,USD
2012-04-05,0.33228,USD
2012-07-06,0.33228,USD
2012-10-05,0.33228,USD
2013-01-08,0.33983,USD
2013-04-08,0.33983,USD
2013-07-08,0.33983,USD
2013-10-08,0.33983,USD
2014-01-08,0.34738,USD
2014-04-08,0.34738,USD
2014-07-08,0.34738,USD
2014-10-08,0.34738,USD
2015-01-07,0.35493,USD
2015-04-08,0.35493,USD
2015-07-08,0.35493,USD
2015-10-07,0.35493,USD
2016-01-06,0.36248,USD
2016-04-06,0.36248,USD
2016-07-06,0.36248,USD
2016-10-05,0.36248,USD
2017-01-06,0.37004,USD
2017-04-06,0.37004,USD
2017-07-06,0.37004,USD
2017-10-06,0.37004,USD
2018-01-09,0.37759,USD
2018-04-09,0.37759,USD
2018-07-09,0.37759,USD
2018-10-09,0.37759,USD
2019-01-09,0.38514,USD
2019-04-09,0.38514,USD
2019-07-09,0.38514,USD
2019-10-09,0.38514,USD
2020-01-09,0.39269,USD
2020-04-08,0.39269,USD
2020-07-09,0.39269,USD
2020-10-08,0.39269,USD
2021-01-08,0.39269,USD
2021-04-08,0.39269,USD
2021-07-08,0.39269,USD
2021-10-07,0.39269,USD
2022-01-07,0.39269,USD
2022-04-13,0.2775,USD
2022-07-08,0.2775,USD
2022-10-06,0.2775,USD
2023-01-09,0.2775,USD
2023-04-06,0.2775,USD
2023-07-07,0.2775,USD
2023-10-06,0.2775,USD
2024-01-09,0.2775,USD
2024-04-09,0.2775,USD
2024-07-10,0.2775,USD
2024-10-10,0.2775,USD
2025-01-10,0.2775,USD
