Date,Amount,Currency
2000-04-20,0.28056,USD
2000-11-15,0.14294,USD
2001-04-25,0.27656,USD
2001-11-14,0.15011,USD
2002-05-15,0.32067,USD
2002-11-06,0.18038,USD
2003-05-14,0.38661,USD
2003-11-05,0.2315,USD
2004-05-19,0.46939,USD
2004-11-03,0.25856,USD
2005-05-18,0.53656,USD
2005-11-16,0.2655,USD
2006-05-17,0.55833,USD
2006-11-08,0.6355,USD
2007-05-23,0.6357,USD
2007-11-07,0.3525,USD
2008-05-21,0.6615,USD
2008-11-05,0.3301,USD
2009-05-20,0.6097,USD
2009-11-18,0.395,USD
2010-02-10,0.2718,USD
2010-05-12,0.2764,USD
2010-08-11,0.275,USD
2010-11-09,0.2916,USD
2011-02-09,0.2861,USD
2011-05-11,0.3289,USD
2011-08-10,0.3188,USD
2011-11-08,0.3066,USD
2012-02-15,0.2965,USD
2012-05-09,0.3198,USD
2012-08-08,0.2938,USD
2012-11-07,0.316,USD
2013-02-06,0.3237,USD
2013-05-08,0.3494,USD
2013-08-07,0.3545,USD
2013-11-06,0.3678,USD
2014-02-05,0.3654,USD
2014-05-07,0.3888,USD
2014-08-06,0.3792,USD
2014-11-05,0.3587,USD
2015-02-04,0.3253,USD
2015-04-22,0.314,USD
2015-08-05,0.3232,USD
2015-10-28,0.3385,USD
2016-02-03,0.3246,USD
2016-04-27,0.3598,USD
2016-08-03,0.3481,USD
2016-10-26,0.3496,USD
2017-02-08,0.3389,USD
2017-05-03,0.3778,USD
2017-08-02,0.409,USD
2017-11-02,0.4167,USD
2018-02-15,0.4402,USD
2018-05-03,0.4739,USD
2018-08-02,0.4481,USD
2018-11-01,0.4437,USD
2019-02-14,0.4372,USD
2019-05-02,0.4641,USD
2019-08-08,0.4585,USD
2019-10-31,0.4516,USD
2020-02-20,0.4517,USD
2020-05-14,0.4445,USD
2020-08-06,0.4694,USD
2020-10-29,0.4845,USD
2021-02-25,0.5139,USD
2021-05-20,0.5159,USD
2021-08-05,0.5031,USD
2021-11-04,0.4975,USD
2022-02-24,0.4873,USD
2022-05-19,0.4555,USD
2022-08-04,0.4555,USD
2022-11-17,0.4211,USD
2023-02-23,0.4569,USD
2023-05-18,0.4702,USD
2023-08-03,0.4746,USD
2023-11-16,0.4539,USD
2024-02-22,0.4582,USD
2024-05-16,0.4556,USD
2024-08-09,0.4773,USD
2024-11-08,0.4755,USD
2025-02-28,0.4674,USD
