Date,Amount,Currency
2019-03-14,0.25,USD
2019-06-13,0.25,USD
2019-09-12,0.25,USD
2019-12-12,0.25,USD
2020-03-12,0.27,USD
2020-06-12,0.27,USD
2020-09-14,0.27,USD
2020-12-14,0.27,USD
2021-03-12,0.29,USD
2021-06-14,0.29,USD
2021-09-14,0.29,USD
2021-12-14,0.29,USD
2022-03-14,0.31,USD
2022-06-14,0.31,USD
2022-09-14,0.31,USD
2022-12-14,0.31,USD
2023-03-14,0.34,USD
2023-06-14,0.34,USD
2023-09-14,0.34,USD
2023-12-14,0.34,USD
2024-03-14,0.39,USD
2024-06-14,0.39,USD
2024-09-13,0.39,USD
2024-12-13,0.39,USD
