Date,Amount,Currency
2000-01-06,0.34624,USD
2000-04-06,0.34624,USD
2000-07-03,0.34624,USD
2000-07-06,0.04227,USD
2000-10-05,0.34624,USD
2001-01-08,0.34624,USD
2001-04-06,0.34624,USD
2001-07-06,0.34624,USD
2001-10-05,0.34624,USD
2002-01-08,0.34624,USD
2002-04-08,0.34624,USD
2002-07-08,0.34624,USD
2002-10-08,0.34624,USD
2003-01-08,0.34624,USD
2003-04-08,0.34624,USD
2003-07-08,0.34624,USD
2003-10-08,0.34624,USD
2004-01-07,0.34624,USD
2004-04-06,0.34624,USD
2004-07-07,0.34624,USD
2004-10-06,0.34624,USD
2005-01-06,0.34624,USD
2005-04-06,0.36423,USD
2005-07-06,0.36423,USD
2005-10-05,0.36423,USD
2006-01-06,0.36423,USD
2006-04-06,0.36423,USD
2006-07-06,0.36423,USD
2006-10-05,0.36423,USD
2007-01-08,0.37809,USD
2007-04-05,0.37809,USD
2007-07-06,0.37809,USD
2007-10-05,0.40143,USD
2008-01-08,0.40143,USD
2008-04-08,0.40329,USD
2008-07-08,0.40329,USD
2008-10-08,0.43143,USD
2009-01-07,0.43143,USD
2009-04-07,0.43143,USD
2009-07-08,0.43143,USD
2009-10-07,0.4455,USD
2010-01-06,0.4455,USD
2010-04-07,0.4455,USD
2010-07-07,0.475,USD
2010-10-06,0.488,USD
2011-01-06,0.488,USD
2011-04-06,0.488,USD
2011-07-06,0.488,USD
2011-10-05,0.5,USD
2012-01-06,0.5,USD
2012-04-05,0.5,USD
2012-07-06,0.5,USD
2012-10-05,0.515,USD
2013-01-08,0.515,USD
2013-04-08,0.515,USD
2013-07-08,0.515,USD
2013-10-08,0.53,USD
2014-01-08,0.53,USD
2014-04-08,0.53,USD
2014-07-08,0.53,USD
2014-10-08,0.55,USD
2015-01-07,0.55,USD
2015-04-08,0.55,USD
2015-07-08,0.55,USD
2015-10-07,0.565,USD
2016-01-06,0.565,USD
2016-04-06,0.565,USD
2016-07-06,0.565,USD
2016-10-05,0.578,USD
2017-01-06,0.578,USD
2017-04-06,0.578,USD
2017-07-06,0.578,USD
2017-10-06,0.59,USD
2018-01-09,0.59,USD
2018-04-09,0.59,USD
2018-07-09,0.59,USD
2018-10-09,0.603,USD
2019-01-09,0.603,USD
2019-04-09,0.603,USD
2019-07-09,0.603,USD
2019-10-09,0.615,USD
2020-01-09,0.615,USD
2020-04-09,0.615,USD
2020-07-09,0.615,USD
2020-10-08,0.628,USD
2021-01-07,0.628,USD
2021-04-08,0.628,USD
2021-07-08,0.628,USD
2021-10-07,0.64,USD
2022-01-07,0.64,USD
2022-04-07,0.64,USD
2022-07-07,0.64,USD
2022-10-06,0.653,USD
2023-01-09,0.653,USD
2023-04-06,0.653,USD
2023-07-07,0.653,USD
2023-10-06,0.665,USD
2024-01-09,0.665,USD
2024-04-09,0.665,USD
2024-07-10,0.665,USD
2024-10-10,0.678,USD
2025-01-10,0.678,USD
