Date,Amount,Currency
2000-04-11,0.363,USD
2000-07-11,0.368,USD
2000-08-21,0.159,USD
2000-10-04,0.218,USD
2000-12-28,0.375,USD
2001-03-29,0.375,USD
2001-07-05,0.375,USD
2001-09-28,0.375,USD
2001-12-28,0.375,USD
2002-04-04,0.375,USD
2002-07-03,0.375,USD
2002-10-03,0.188,USD
2002-12-31,0.188,USD
2003-06-05,0.188,USD
2003-07-02,0.188,USD
2003-12-11,0.188,USD
2003-12-30,0.188,USD
2004-03-31,0.188,USD
2004-06-30,0.208,USD
2004-09-29,0.208,USD
2004-12-30,0.208,USD
2005-03-29,0.208,USD
2005-06-28,0.215,USD
2005-09-27,0.215,USD
2005-12-29,0.215,USD
2006-03-28,0.215,USD
2006-06-27,0.223,USD
2006-09-26,0.223,USD
2006-12-26,0.223,USD
2007-03-27,0.223,USD
2007-06-26,0.23,USD
2007-09-25,0.23,USD
2007-12-24,0.23,USD
2008-03-25,0.23,USD
2008-06-24,0.238,USD
2008-09-23,0.238,USD
2008-12-24,0.238,USD
2009-03-24,0.238,USD
2009-06-23,0.245,USD
2009-09-22,0.245,USD
2009-12-22,0.245,USD
2010-03-23,0.245,USD
2010-06-22,0.253,USD
2010-09-21,0.253,USD
2010-12-21,0.253,USD
2011-03-22,0.253,USD
2011-06-21,0.26,USD
2011-09-20,0.26,USD
2011-12-22,0.26,USD
2012-03-20,0.26,USD
2012-06-19,0.27,USD
2012-09-18,0.27,USD
2012-12-24,0.27,USD
2013-03-19,0.27,USD
2013-06-18,0.28,USD
2013-09-17,0.28,USD
2013-12-24,0.28,USD
2014-03-18,0.3,USD
2014-06-17,0.3,USD
2014-09-16,0.3,USD
2014-12-23,0.3,USD
2015-03-13,0.32,USD
2015-06-16,0.32,USD
2015-09-15,0.32,USD
2015-12-22,0.32,USD
2016-03-11,0.34,USD
2016-06-14,0.34,USD
2016-09-13,0.34,USD
2016-12-22,0.34,USD
2017-03-13,0.36,USD
2017-06-13,0.36,USD
2017-09-14,0.36,USD
2017-12-27,0.36,USD
2018-03-14,0.38,USD
2018-06-14,0.38,USD
2018-09-13,0.38,USD
2018-12-27,0.38,USD
2019-03-14,0.405,USD
2019-06-13,0.405,USD
2019-09-12,0.405,USD
2019-12-24,0.405,USD
2020-03-12,0.43,USD
2020-06-12,0.43,USD
2020-09-14,0.43,USD
2020-12-22,0.43,USD
2021-03-12,0.458,USD
2021-06-14,0.458,USD
2021-09-14,0.458,USD
2021-12-21,0.458,USD
2022-03-14,0.488,USD
2022-06-14,0.488,USD
2022-09-14,0.488,USD
2022-12-28,0.488,USD
2023-03-14,0.52,USD
2023-06-14,0.52,USD
2023-09-14,0.52,USD
2023-12-27,0.52,USD
2024-03-14,0.548,USD
2024-06-14,0.548,USD
2024-09-13,0.548,USD
2025-01-06,0.548,USD
2025-03-14,0.57,USD
