Date,Open,High,Low,Close,Volume
2006-02-03,23,23.29,22.43,22.65,42988400
2006-02-06,22.74,22.89,22.6,22.76,4602400
2006-02-07,22.62,22.65,22.3,22.44,2974400
2006-02-08,22.48,22.48,21.71,21.9,3296400
2006-02-09,21.93,22.1,21.75,21.95,1966400
2006-02-10,21.95,22.18,21.85,22.05,1546400
2006-02-13,21.95,22,21.58,21.75,1031200
2006-02-14,21.85,21.9,21.61,21.65,1130000
2006-02-15,21.7,21.91,21.5,21.85,1126000
2006-02-16,21.95,22.1,21.86,21.91,1001600
2006-02-17,22.06,22.06,21.85,21.86,1125200
2006-02-21,21.83,22.05,21.81,21.89,759200
2006-02-22,21.98,21.99,21.85,21.9,1069200
2006-02-23,21.9,21.96,21.85,21.95,913200
2006-02-24,21.95,22.07,21.86,22.05,1021200
2006-02-27,22,22.17,21.99,22.04,482000
2006-02-28,22.05,22.05,21.92,21.99,701600
2006-03-01,21.92,22.09,21.86,21.87,932400
2006-03-02,21.85,22,21.85,21.95,744400
2006-03-03,21.87,22,21.85,21.98,793200
2006-03-06,21.8,21.9,21.6,21.79,1523200
2006-03-07,21.6,21.7,21.41,21.6,1000400
2006-03-08,21.54,21.85,21.45,21.82,912800
2006-03-09,21.87,22.3,21.75,22.15,1309600
2006-03-10,22.35,22.6,22.04,22.59,1282400
2006-03-13,22.51,22.88,22.5,22.83,1007200
2006-03-14,23,23,22.79,22.84,1432000
2006-03-15,22.96,22.98,22.6,22.71,1046000
2006-03-16,22.7,23.09,22.6,23.09,1038000
2006-03-17,23.1,23.12,22.9,23.12,731600
2006-03-20,23.15,23.3,23,23.13,730000
2006-03-21,23.02,23.25,23,23.24,926400
2006-03-22,23.25,23.44,23.2,23.38,1028400
2006-03-23,23.45,23.65,23.4,23.6,1028800
2006-03-24,23.6,23.95,23.4,23.6,427200
2006-03-27,23.73,24.39,23.6,24.3,1115600
2006-03-28,24.3,24.35,24,24.12,676000
2006-03-29,23.95,24.1,23.8,23.9,790400
2006-03-30,23.89,24.08,23.28,23.5,1368400
2006-03-31,23.4,23.95,23.01,23.95,697600
2006-04-03,23.9,23.9,23.4,23.65,351200
2006-04-04,23.61,23.61,23.02,23.37,780800
2006-04-05,23.37,23.6,23.35,23.46,514400
2006-04-06,23.5,23.5,23.22,23.49,558800
2006-04-07,23.25,23.5,23.03,23.42,543200
2006-04-10,23.65,24.229,23.65,23.95,1334400
2006-04-11,23.85,24.31,23.65,24.2,1149200
2006-04-12,24.1,24.19,23.9,23.95,1927600
2006-04-13,24.15,24.2,23.9,23.96,443600
2006-04-17,24,24.05,23.8,23.91,237200
2006-04-18,24,24.65,24,24.6,914000
2006-04-19,24.64,24.819,24.45,24.8,1054800
2006-04-20,25.16,25.2,24.88,25.05,984800
2006-04-21,25.24,25.49,25.21,25.45,757200
2006-04-24,25.7,25.7,25.05,25.3,428000
2006-04-25,25.25,25.26,25.02,25.17,454000
2006-04-26,25.01,25.09,24.62,24.83,410000
