Date,Open,High,Low,Close,Volume
2001-11-27,40.2439,41.0732,40.2439,40.9951,81487
2001-11-28,40.5854,40.8293,40.5854,40.7317,53607
2001-11-29,40.9756,40.9756,40.8293,40.9756,133967
2001-11-30,40.9268,40.9756,40.7805,40.9268,128535
2001-12-03,40.5756,40.5756,40.1756,40.5366,233392
2001-12-04,39.7561,40.3415,39.7561,40.3415,209305
2001-12-05,40,40.3903,40,40.2927,48790
2001-12-06,41.0732,41.6098,41.0732,41.5122,234520
2001-12-07,41.1707,41.4634,40.9756,41.4634,286897
2001-12-10,40,41.0732,40,41.0732,333227
2001-12-11,40.8293,41.0732,40.6927,40.7805,65497
2001-12-12,40.7805,41.122,40.4878,41.0829,256455
2001-12-13,40.0976,40.4781,40,40.3707,108547
2001-12-14,40.8293,40.8878,40.6829,40.8781,87945
2001-12-17,41.9512,42,41.6098,41.9317,46330
2001-12-18,42.0488,42.1756,41.561,41.8829,44997
2001-12-19,41.0732,41.7073,41.0732,41.6585,13530
2001-12-20,41.1707,41.7073,41.1707,41.7073,33722
2001-12-21,41.561,42.0488,41.561,41.9317,16605
2001-12-24,42.3415,42.5366,42.2927,42.4878,17630
2001-12-26,42.5366,42.8781,42.5366,42.6829,31980
2001-12-27,42.6829,43.4146,42.6829,43.3171,11070
2001-12-28,43.0732,43.4634,42.7805,43.3171,56580
2001-12-31,43.4146,43.9025,43.4146,43.8927,19782
2002-01-02,42.1951,42.6829,42.1951,42.6342,25010
2002-01-03,42.439,43.0244,42.439,42.9756,28802
2002-01-04,42.9268,42.9268,42.5538,42.8781,98400
2002-01-07,42.9268,43.0049,42.6829,42.6927,211867
2002-01-08,42.1951,42.5464,42.0976,42.5366,61705
2002-01-09,42.1464,42.1464,41.6098,41.8049,166460
2002-01-10,42.0488,42.2732,41.8537,42.2732,109367
2002-01-11,41.7561,41.9025,41.561,41.9025,81692
2002-01-14,41.2683,41.7561,40.8781,41.6781,89277
2002-01-15,40.8488,41.122,40.7805,41.0732,391857
2002-01-16,40.4878,40.7317,40.4878,40.6829,166972
