Date,Open,High,Low,Close,Volume
2000-01-03,23.5625,23.9375,23.1875,23.4375,31913117
2000-01-04,23.25,24.25,23.25,23.625,45529312
2000-01-05,23.8125,24.0625,23.4375,23.5,50537095
2000-01-06,23.5,23.6875,23,23.0625,30905598
2000-01-07,23.25,23.8125,23.125,23.6875,34442715
2000-01-10,23.75,24.0625,23.75,24,33315953
2000-01-11,24.125,24.625,24.0625,24.125,32197400
2000-01-12,24.25,24.5625,24,24.25,41516518
2000-01-13,24.5,24.5625,24.25,24.5,27062596
2000-01-14,24.5625,24.625,23.75,24.25,33756635
2000-01-18,24.0625,24.1875,23,23,34557206
2000-01-19,23.125,23.5,23,23.375,37721904
2000-01-20,23.375,23.375,22.0625,22.5742,43107724
2000-01-21,22.1875,22.5,21.8125,22,60383303
2000-01-24,22.75,23,21.875,22,66293187
2000-01-25,22,22.875,21.375,21.9375,47726671
2000-01-26,21.75,21.8125,20.875,21.0625,81954662
2000-01-27,21.5,21.875,20.8125,21,63659899
2000-01-28,21.125,21.3125,20.75,20.75,51936907
2000-01-31,20.9375,21.125,20.8438,20.875,50094686
2000-02-01,21.125,21.125,20.75,21,57469188
2000-02-02,20.9375,21.1016,20.5625,20.625,60197093
2000-02-03,20.9375,21.4375,20.875,21,86486769
2000-02-04,21.125,21.125,20.375,20.625,72044945
2000-02-07,20.875,20.9375,20.375,20.5625,55095557
2000-02-08,20.25,20.3125,19.125,19.5,115547122
2000-02-09,19.4375,20,19.4375,19.625,79384020
2000-02-10,20,20.3125,19.8125,19.875,65900030
2000-02-11,19.9375,20.125,19.0625,19.0625,66385212
2000-02-14,19.3125,19.4375,18.75,18.9375,91262979
2000-02-15,19.0625,19.125,18.6875,19.125,65747952
2000-02-16,19.0625,19.25,18.8125,19,59621183
2000-02-17,19.875,20,19.3125,19.5,69387031
2000-02-18,19.5,19.875,19.375,19.625,48049405
2000-02-22,19.9375,21.1875,19.875,20.875,73484937
2000-02-23,21.25,21.6875,20.1875,20.3125,63929061
2000-02-24,20.5,20.5625,19.75,20.0625,52266986
2000-02-25,20.125,20.1875,19.625,19.625,49600431
2000-02-28,19.8125,20.3125,19.8125,20.0625,47025901
2000-02-29,20.0625,20.4375,20.0625,20.1875,58432639
2000-03-01,20.1875,21.5,19.625,20.4375,93783504
2000-03-02,20.4375,20.8125,20,20.125,48238207
2000-03-03,20,20.625,19.75,20.3125,57715451
2000-03-06,20.75,20.875,19.5625,19.875,56368780
2000-03-07,19.875,20,19.5,19.5625,51887654
2000-03-08,19.625,19.75,19.1875,19.25,51024437
2000-03-09,19.25,19.5,19.125,19.5,37756900
2000-03-10,19.375,19.4375,19.0625,19.0625,46868206
2000-03-13,19.25,20,19.125,19.875,47152921
2000-03-14,19.8125,19.8125,19.25,19.4609,51774028
2000-03-15,19.3125,20.375,19.25,20.125,56473334
2000-03-16,20.125,20.5,20.0625,20.25,57258352
2000-03-17,20.375,20.375,19.5,20.25,70078728
2000-03-20,19.875,20.25,19.8125,19.9375,60654192
2000-03-21,19.5,22.125,19,20.3125,149013858
2000-03-22,20.3125,20.5625,19.3125,19.4375,69463934
2000-03-23,19.5,19.6875,19.3125,19.5,59793567
2000-03-24,19.5625,19.875,19.5,19.8125,44536914
2000-03-27,19.8125,19.875,19.5,19.6055,38557903
2000-03-28,19.5,19.75,19.3125,19.5625,53803755
2000-03-29,19.5625,19.625,19.125,19.125,50493891
2000-03-30,20,21.5625,19.7305,21.5,118641398
2000-03-31,21.9375,22.0625,20.75,20.75,65817078
2000-04-03,21.75,23,21.5,22.8125,73188557
2000-04-04,23,23.75,21.1875,22.1875,76125569
2000-04-05,22.0625,22.5625,22,22.375,42114030
2000-04-06,22.8125,23.5625,22.5,22.9375,70739750
2000-04-07,23.25,23.625,21.9375,22.5,105936809
2000-04-10,22,22.25,21,22,63156572
2000-04-11,21.75,21.9375,21.5,21.75,32769854
2000-04-12,21.875,22.625,21.6875,21.875,39032284
2000-04-13,22,22.5625,21.8125,22.3125,32505877
2000-04-14,21.875,22.5625,20.9375,21.125,53462011
2000-04-17,21,21.3125,20.375,21.25,52726245
2000-04-18,21.1875,21.375,20.4375,20.6875,35744022
2000-04-19,21.125,21.4375,20.5625,20.8125,29598675
2000-04-20,20.8125,21.5625,20.8125,21.375,27673934
2000-04-24,21.25,22,21.125,21.5625,43809358
2000-04-25,21.1875,22.3125,21.0625,22,66516552
2000-04-26,22,22.4375,21.8125,22.3125,41848757
2000-04-27,22.0625,22.3125,21.875,22,54656603
2000-04-28,22,22.0625,21.1875,21.875,49352008
2000-05-01,22,23.625,22,23.5625,56429266
2000-05-02,23.5625,24.5625,23.5,23.8125,63211441
2000-05-03,23.9375,24.5625,23.25,23.25,53652109
2000-05-04,23.5,23.75,23.125,23.3125,28093877
2000-05-05,23.3125,23.875,23,23.5,35427336
2000-05-08,23.6875,24.3125,23.5625,24.1875,51302239
2000-05-09,24.3125,24.375,23.5,23.625,29161450
2000-05-10,23.6875,24.25,23.625,23.75,45342670
2000-05-11,24,24.0625,22.8125,23.5,61464268
2000-05-12,23,24.5,23,24.3125,42089404
2000-05-15,25.1875,27.375,25.1875,27.375,118981846
2000-05-16,27.1875,27.875,26.8125,27.4375,83565742
2000-05-17,27.125,28.1875,27.125,27.25,70903061
2000-05-18,27,27.5625,26.25,26.3125,44910629
2000-05-19,26,27.8125,26,27.5,51103069
2000-05-22,27.625,27.625,27,27.375,42411706
2000-05-23,27.125,27.6875,27.125,27.25,37793623
2000-05-24,27.25,28.625,27.25,28.5625,60757018
2000-05-25,28.75,28.75,27.75,28,43542789
2000-05-26,27.8125,28,27.375,27.4375,19956823
2000-05-30,27.3125,27.4375,26.375,26.4375,29642743
2000-05-31,26.4375,26.8125,26,26.125,34926169
2000-06-01,26.125,26.8125,26,26.4375,26786522
2000-06-02,26.4375,26.5,24.875,25.25,53908741
