Date,Open,High,Low,Close,Volume
2000-01-03,68.625,68.625,66.5,67.625,6265782
2000-01-04,67,67.8125,64.7501,65.2501,7894689
2000-01-05,65.0625,68.875,65.0625,67.8125,7963018
2000-01-06,67.8125,69.1875,67.6875,68.375,4989004
2000-01-07,69.8125,75.25,69.625,74.9374,10871218
2000-01-10,74.75,74.8125,72.125,72.75,6001686
2000-01-11,72.0625,73.6875,71.375,73,5264418
2000-01-12,73.625,75.1875,73.4376,74.4376,5229939
2000-01-13,74.8125,76.125,73.8125,74.75,5610468
2000-01-14,75.25,75.9375,72.6875,74.125,5806130
2000-01-18,73.125,73.5625,70.5625,70.8125,5554086
2000-01-19,71.75,72.6875,71.25,71.5,4990157
2000-01-20,71.9375,73.1875,71.4375,72.9374,5225642
2000-01-21,74.5,74.5,71.5625,72.4376,8309487
2000-01-24,73,73,69.0625,70.25,5438177
2000-01-25,71.125,72,70.625,70.875,5707513
2000-01-26,71,73,70.625,72.8125,5614660
2000-01-27,73.125,75.4375,73,74.125,8119066
2000-01-28,75.5,78.4375,75.25,76.375,10294504
2000-01-31,75.6875,79,74.5625,78.625,8390602
2000-02-01,77.375,77.9375,75.5,76.8125,5267667
2000-02-02,77.3125,78.375,75.9375,76.875,4865550
2000-02-03,76.3125,76.6875,75.375,76.25,4059952
2000-02-04,76.875,76.875,74.9374,75.0625,4466681
2000-02-07,74.25,75.4375,73.75,75.25,4370370
2000-02-08,75.5,75.875,75.0625,75.4375,4128282
2000-02-09,74.125,74.1875,70.875,71.375,7259810
2000-02-10,70,70.25,68,69,7356436
2000-02-11,67.625,68.125,64.3125,65.2501,9655643
2000-02-14,65.5,66.4375,64,66.0625,9361889
2000-02-15,65.7499,66.625,65.125,65.625,6683201
2000-02-16,65.5,67.1875,65.2501,65.5,5383995
2000-02-17,66.375,66.6875,63.125,63.25,7269871
2000-02-18,63.4375,64.375,61.5625,62,6934721
2000-02-22,62.5,65.5,61.8125,65.5,9640971
2000-02-23,66,66,63.125,63.125,8099468
2000-02-24,63.3125,63.3125,60.6875,62,9502006
2000-02-25,61.0625,61.5,59.1875,60.1875,8070962
2000-02-28,60.1875,61.9375,60,61.5625,8895634
2000-02-29,62.4375,63.125,61.375,61.5625,8243778
2000-03-01,61.5,61.75,59.75,60,7289574
2000-03-02,60.0625,60.75,59.25,59.25,6167061
2000-03-03,60.0625,60.125,57.0626,57.5,10706892
2000-03-06,57.4375,57.75,56.25,56.5,9103138
2000-03-07,56,56,52,53.9375,13544142
2000-03-08,53.9375,57.4375,53.9375,56.8125,12569712
2000-03-09,58.5,61.625,57.6875,61.125,12869650
2000-03-10,61.75,61.875,59,59.5625,8712967
2000-03-13,56.375,57.6875,56.125,57,9302991
2000-03-14,55.875,56.75,55.375,56.5,7484082
2000-03-15,56.25,60,56.0626,59.8125,9626509
2000-03-16,60.4375,65.6875,60.1875,65,15846598
2000-03-17,64.9375,65,62.6875,62.75,8924139
2000-03-20,61.625,62.1875,60.3125,61.625,6412398
2000-03-21,61.625,64,61.5625,63.9375,5390283
2000-03-22,63.0625,64.9375,63,64.4375,5527362
2000-03-23,63.5625,64.7501,62.5625,62.875,5059849
2000-03-24,62.875,63,60.375,61.75,7016989
2000-03-27,60.875,61.5625,59.875,61.125,5846268
2000-03-28,59.75,62.5,59.75,61.5625,7956416
2000-03-29,62.9375,65,62.5,64,7385466
2000-03-30,64,65.9375,63.8125,64.0625,6606173
2000-03-31,63.8125,64.9375,62.125,62.125,5934405
2000-04-03,62.375,67,62.375,66.7499,8014266
2000-04-04,68.3125,69.75,65.2501,67.6875,12605134
2000-04-05,67.9375,68.5,66.9375,68.25,6547485
2000-04-06,67,67.0625,64.625,65.5625,6526944
2000-04-07,65.375,66.6875,65,65.5,3481875
2000-04-10,65.0625,68.25,65.0625,66.375,4936918
2000-04-11,66.4375,68,66.375,67.3125,5979783
2000-04-12,67.5625,67.75,64.875,64.875,6120425
2000-04-13,65.375,67,65.125,65.8125,5105542
2000-04-14,64.9375,65.625,62.5625,63.5625,6451069
2000-04-17,63.75,64.7501,61.875,64.4375,6561633
2000-04-18,64.2501,66.375,64,66.2499,4821534
2000-04-19,66,69.75,65.5625,69,8569182
2000-04-20,69,70.25,68.9375,69.75,6856016
2000-04-24,69.875,72.1875,69.75,71.9375,7771758
2000-04-25,71.9375,72.8125,69.875,72.5,7010177
2000-04-26,72,72.1875,70.25,71.9375,4841131
2000-04-27,71.25,72.625,70.8125,71.5,5916274
2000-04-28,69.625,70.3125,67.5625,69.5,8456312
2000-05-01,69.5,69.5625,67.5625,67.5625,5406632
2000-05-02,67.0625,70.0625,66.9375,69.25,4705730
2000-05-03,69,69.875,68,68.3125,4195982
2000-05-04,68.5625,68.625,67,67.1875,3570012
2000-05-05,66.875,69.9375,66.7499,69.25,3832850
2000-05-08,69.9375,70.5,69,69.875,4484706
2000-05-09,70,70.0625,68.6875,68.9375,3860203
2000-05-10,68.6875,68.75,66.7499,68,4449913
2000-05-11,68.25,68.6875,67.0625,68.25,4217886
2000-05-12,68.3125,68.9375,67.3125,68.125,3186863
2000-05-15,68.25,69.9375,67.5,69.625,3349722
2000-05-16,69.625,71.5,69,71,5361149
2000-05-17,70.5,71.375,69.625,69.8125,3518450
2000-05-18,69.75,70.6875,69.75,69.9375,2987324
2000-05-19,69.1875,72.9374,69.1875,72.4376,7394059
2000-05-22,72,73.625,71.6875,72.3125,6583117
2000-05-23,73.5,73.8125,72.625,73.8125,5079970
2000-05-24,74,75,73.3125,74.625,7496239
2000-05-25,74.1875,75.0625,73.375,74.6875,4710026
2000-05-26,74.625,75.375,74,74.5625,3582798
2000-05-30,74.125,75.125,73.6875,75,4554922
2000-05-31,74.1875,74.9374,73.8125,74.625,2964268
2000-06-01,74.0625,75.1875,72.25,72.4376,4032390
2000-06-02,72.3125,72.3125,68.8125,68.9375,6516359
2000-06-05,69,70.4375,68.6875,69.1875,4650186
2000-06-06,69.375,70.1875,68.75,69.5938,3428951
2000-06-07,69.9375,71.5,69.875,70.5,2805286
2000-06-08,70.5,70.5625,69.125,69.3125,2538256
2000-06-09,69.3125,70.25,68.875,69.875,2844377
2000-06-12,70.125,71.75,69.8125,69.9375,2731926
2000-06-13,70.625,73.875,70.5,73.4376,4420988
2000-06-14,73.6875,74.3125,72,72.9374,5910196
2000-06-15,73,73.75,72.5,72.8125,3930838
2000-06-16,72.5625,73.3125,71,71,11078722
2000-06-19,71.5,72.75,70.875,72.0625,3452741
2000-06-20,72.0625,72.0625,70.3125,70.875,3641486
2000-06-21,70.75,72.4376,70.3125,72.4376,4136351
2000-06-22,71.625,72.3125,71,71.25,3812414
2000-06-23,72.375,72.625,71.5,72.625,4701642
2000-06-26,73.25,74.25,72.9374,74.25,5490262
2000-06-27,74.625,74.875,73.4376,74.25,6272699
2000-06-28,73.9374,74.375,73.5625,74,3317339
2000-06-29,74.8125,75.25,74,74.1093,5350145
2000-06-30,74.125,76.7344,73.25,76.625,7554822
