Date,Open,High,Low,Close,Volume
2000-01-03,13.9375,14.25,13.75,13.8125,192800
2000-01-04,13.625,13.625,12.9375,12.9375,776000
2000-01-05,13,13.25,13,13.0625,301200
2000-01-06,13.5,13.5,13.25,13.375,298900
2000-01-07,13.375,13.6875,13.3125,13.5,370200
2000-01-10,13.4375,13.8125,13.1875,13.8125,299200
2000-01-11,13.5,13.5625,13.25,13.25,281800
2000-01-12,13.0625,13.3125,13.0625,13.25,214800
2000-01-13,13.1875,13.375,13.1875,13.3125,182200
2000-01-14,13.375,13.5,13.125,13.4375,282500
2000-01-18,13.4375,13.5625,13.375,13.375,245800
2000-01-19,13.375,13.5,13.25,13.5,190300
2000-01-20,13.375,13.5625,13.3125,13.3125,498900
2000-01-21,13.3125,13.4375,13.25,13.4375,1822800
2000-01-24,13.125,13.25,12.8125,12.875,680400
2000-01-25,12.8125,12.875,12.5,12.75,223600
2000-01-26,13,13.1875,12.9375,12.9375,293000
2000-01-27,13.3125,13.5,13.3125,13.375,189600
2000-01-28,13.375,13.375,12.5625,12.6875,290400
2000-01-31,12.6875,13.0625,12.6875,13,461600
2000-02-01,12.9375,12.9375,12.625,12.75,239000
2000-02-02,13,13.25,13,13.125,645600
2000-02-03,13.1875,13.4375,13.125,13.3125,609700
2000-02-04,13.3125,13.5,13.25,13.4375,363200
2000-02-07,13.125,13.1875,12.9375,13.0625,226300
2000-02-08,12.6875,12.875,12.6875,12.6875,368300
2000-02-09,12.6875,12.75,12.4375,12.5,239400
2000-02-10,12.4375,12.5,12.3125,12.4375,283600
2000-02-11,12.3125,12.4375,12.1875,12.1875,195600
2000-02-14,12.125,12.25,11.9375,12.0625,533000
2000-02-15,11.6875,11.875,11.4375,11.75,825600
2000-02-16,12,12,11.75,11.875,1680100
2000-02-17,11.75,11.8125,11.5625,11.75,408100
2000-02-18,11.6875,11.9375,11.6875,11.6875,449100
2000-02-22,11.6875,11.9375,11.5625,11.875,311800
2000-02-23,11.8125,12.0625,11.8125,12,202200
2000-02-24,12,12,11.625,11.6875,541500
2000-02-25,12.3125,12.625,12.3125,12.5,467300
2000-02-28,12.1875,12.5,12.1875,12.375,254100
2000-02-29,12.3125,12.4375,12.25,12.375,303700
2000-03-01,12.375,12.75,12.375,12.625,335800
2000-03-02,12.75,12.75,12.5,12.6875,181800
2000-03-03,12.5625,12.5625,12.25,12.3125,211300
2000-03-06,12.3125,12.4375,12.25,12.25,348100
2000-03-07,12.375,12.5,12.25,12.3125,434400
2000-03-08,12.5625,12.75,12.5,12.625,627900
2000-03-09,13.4375,13.4375,13.3125,13.375,556200
2000-03-10,13.5,13.625,13.375,13.5625,320800
2000-03-13,13.625,13.9375,13.625,13.875,484300
2000-03-14,13.6875,13.6875,13.375,13.5,220300
2000-03-15,13.1875,13.25,13.0625,13.1875,394800
2000-03-16,13.25,13.5625,13.25,13.5,452400
2000-03-17,13.3125,13.5,13.3125,13.4375,195800
2000-03-20,13.4375,13.4375,13.1875,13.3125,199100
2000-03-21,13.3125,13.5625,13.25,13.5625,610700
2000-03-22,13.4375,13.5625,13.375,13.4375,164200
2000-03-23,13.1875,13.25,13,13.1875,178400
2000-03-24,13.25,13.5,13.25,13.4375,177800
2000-03-27,13.5625,13.5625,13.3125,13.5,254500
2000-03-28,13.75,14,13.75,14,254000
2000-03-29,14.1875,14.3125,14.125,14.1875,308700
2000-03-30,13.875,13.9375,13.375,13.5,228000
2000-03-31,14,14.25,13.9375,14.1875,371800
2000-04-03,14.5625,14.6875,14.5,14.6875,394300
2000-04-04,14.6875,14.6875,14.3125,14.4375,513600
2000-04-05,14.5625,14.875,14.5625,14.875,256500
2000-04-06,14.6875,14.75,14.5,14.6875,217400
2000-04-07,14.625,14.625,14.375,14.375,135800
2000-04-10,14.4375,14.5,14.25,14.375,172500
2000-04-11,14.25,14.25,14.0625,14.1875,138600
2000-04-12,14.3125,14.4375,14.25,14.25,188500
2000-04-13,14.3125,14.4375,14.25,14.375,253300
2000-04-14,14.25,14.5,13.875,14,1174900
2000-04-17,13.375,14.4375,13.375,14.4375,682000
2000-04-18,14.125,14.8125,14.125,14.8125,382400
2000-04-19,14.375,14.375,14,14.0625,242200
2000-04-20,14.1875,14.25,13.8125,14.0625,346300
2000-04-24,13.75,13.75,13.625,13.75,122400
2000-04-25,13.6875,14.125,13.6875,14.0625,157100
2000-04-26,13.9375,13.9375,13.5,13.75,229000
2000-04-27,13.3125,13.3125,13.0625,13.3125,471300
