Date,Open,High,Low,Close,Volume
2000-01-05,33.7817,33.8915,33.7817,33.8915,644
2000-01-06,33.4527,33.4527,33.4527,33.4527,965
2000-01-07,33.5624,33.7817,33.5624,33.7817,965
2000-01-10,33.1237,33.1237,33.1237,33.1237,241
2000-01-11,32.9043,32.9043,32.9043,32.9043,241
2000-01-14,32.4108,32.4108,32.4108,32.4108,161
2000-01-19,32.2462,32.2462,32.1365,32.1365,322
2000-01-21,31.1494,31.2591,31.1494,31.2591,965
2000-01-24,30.8204,30.8204,30.8204,30.8204,80
2000-01-26,32.4656,32.9043,32.4656,32.9043,10940
2000-01-27,30.9301,31.5882,30.9301,31.5882,1689
2000-01-31,31.5882,31.5882,31.5882,31.5882,161
2000-02-01,30.0526,30.0526,30.0526,30.0526,80
2000-02-02,29.8333,30.4914,29.8333,30.4914,322
2000-02-03,31.4784,31.4784,31.4784,31.4784,402
2000-02-07,31.8075,31.8075,31.8075,31.8075,402
2000-02-08,34.4398,35.2076,34.2205,35.098,3620
2000-02-09,33.5624,34.4398,33.5624,34.4398,161
2000-02-10,33.7817,33.7817,33.7817,33.7817,402
2000-02-11,35.098,35.098,34.6592,34.9883,644
2000-02-14,32.4656,33.0688,32.4656,33.0688,3700
2000-02-15,32.2462,32.4656,32.2462,32.4656,644
2000-02-16,33.5624,33.5624,33.343,33.343,885
2000-02-17,33.7817,33.7817,33.7817,33.7817,724
2000-02-18,33.343,33.343,33.343,33.343,402
2000-02-22,34.0011,34.2205,34.0011,34.0011,1287
2000-02-23,33.343,33.5624,33.343,33.5624,885
2000-02-28,34.4947,34.4947,34.4398,34.4398,161
2000-02-29,34.2205,34.2205,33.5624,33.5624,885
2000-03-01,34.4398,34.4398,34.4398,34.4398,402
2000-03-02,34.6592,34.7689,34.3302,34.3302,965
2000-03-03,35.9754,35.9754,35.9754,35.9754,80
2000-03-06,35.8657,35.8657,35.5367,35.7561,2655
2000-03-07,38.169,38.169,37.7303,37.7303,804
2000-03-08,38.8271,38.8271,38.8271,38.8271,402
2000-03-09,39.9239,39.9239,39.9239,39.9239,241
2000-03-10,39.9239,39.9239,39.9239,39.9239,483
2000-03-13,38.6077,38.6077,38.6077,38.6077,402
2000-03-14,38.8271,38.8271,38.8271,38.8271,80
2000-03-15,39.0464,39.0464,39.0464,39.0464,483
