Date,Open,High,Low,Close,Volume
2000-01-03,43.7502,44.5001,42.2504,43.5002,4920739
2000-01-04,43.3128,44.0627,41.2505,41.5004,2552253
2000-01-05,41.3756,44.3129,41.3127,43.1879,3158232
2000-01-06,43.0628,43.7502,41.8751,42.6254,5295868
2000-01-07,42.5627,44.2503,41.5004,44.2503,4016325
2000-01-10,44.4378,46.0628,44.0004,46.0628,2676031
2000-01-11,45.5625,45.5625,41.813,42.6254,2931181
2000-01-12,43.25,43.3754,41.5004,42.1253,3131654
2000-01-13,42.0003,44.0004,41.8751,43.6253,2010061
2000-01-14,44.2503,45.063,42.8126,43.7502,2089036
2000-01-18,43.5002,44.7503,43.0001,44.3757,2206738
2000-01-19,45.063,45.063,42.8126,44.0627,3023065
2000-01-20,44.469,44.5001,42.0003,43.0001,1883246
2000-01-21,44.7503,44.7503,42.0003,43.0001,2895489
2000-01-24,43.1252,43.25,40.8753,41.3127,3926719
2000-01-25,41.1876,42.0003,40.2501,41.7501,4102893
2000-01-26,42.3752,42.5006,40.6881,41.0003,1772377
2000-01-27,40.9068,42.5006,40.6254,41.8751,2916752
2000-01-28,40.5,41.1255,39.7506,40.1252,3236449
2000-01-31,40.6254,41.8751,40.4379,41.4377,3531845
2000-02-01,42.7505,43.1252,41.7501,42.3752,3476410
2000-02-02,42.5006,42.5006,41.0003,41.625,2563644
2000-02-03,42.0632,42.8126,41.4377,42.5006,3098242
2000-02-04,42.8754,43.1252,41.8751,42.0003,2862838
2000-02-07,41.8751,42.6254,41.8751,42.3125,5082484
2000-02-08,42.7505,43.1252,42.5006,43.0628,3269102
2000-02-09,43.0001,43.1252,42.4377,42.5627,3799903
2000-02-10,42.7505,43.0001,42.188,42.8754,3367061
2000-02-11,42.8754,43.0628,42.3752,42.3912,2550734
2000-02-14,42.3125,43.5002,41.5004,43.3754,2645656
2000-02-15,43.3754,44.0004,42.0632,43.4381,2483150
2000-02-16,43.7502,45.0003,43.3754,44.8131,3935831
2000-02-17,44.8131,45.1877,43.6253,44.9379,2885618
2000-02-18,44.625,44.9379,44.0004,44.7503,5579115
2000-02-22,44.625,46.313,44.2503,45.2505,5595062
2000-02-23,45.1251,46.1253,43.9376,44.5629,4460558
2000-02-24,44.4378,44.5001,42.2504,43.8755,5776552
2000-02-25,43.8755,44.3757,42.5627,42.8754,5136401
2000-02-28,42.5006,42.7505,41.3756,42.4377,4554720
2000-02-29,42.4067,43.1252,41.7501,43.0628,5258659
2000-03-01,42.6254,43.6253,42.3752,43.0628,2749690
2000-03-02,42.5627,43.25,41.625,42.8754,3818128
2000-03-03,43.4381,48.2504,43.1252,48.0005,6090172
2000-03-06,47.813,47.813,42.938,43.0628,3643473
2000-03-07,43.3439,43.7502,39.9378,40.9374,9567343
2000-03-08,41.0003,42.938,40.0005,42.7505,7993162
2000-03-09,42.5318,43.0628,41.1255,43.0628,2602372
2000-03-10,43.0628,44.0004,42.5006,42.5627,2873469
2000-03-13,42.6878,44.3442,41.6879,42.0632,3778641
2000-03-14,42.219,43.9221,42.0632,42.3125,3865969
2000-03-15,42.4377,45.2505,42.188,44.9379,3964687
2000-03-16,44.9064,49.3754,44.5629,49.1252,5361933
2000-03-17,48.3753,50.0004,47.1257,47.6252,5725675
2000-03-20,47.375,48.5006,46.313,46.4381,3007877
2000-03-21,46.5002,49.0001,46.4381,48.4379,3925959
2000-03-22,48.4379,48.6255,46.3752,46.8755,3160511
2000-03-23,46.0628,49.0629,45.9999,48.938,2660084
2000-03-24,48.8753,49.0001,46.9376,48.4379,2647934
2000-03-27,48.5472,48.5472,47.0003,47.9379,2387469
2000-03-28,47.4377,48.0005,46.3752,46.4381,2383672
2000-03-29,46.3752,48.2504,45.4377,47.5002,2480872
2000-03-30,46.4067,48.938,46.3752,47.9379,4231227
2000-03-31,48.4379,50.0004,46.9376,50.0004,4978451
2000-04-03,49.8596,51.5006,49.2501,49.8756,3524251
2000-04-04,50.2502,54.2505,49.5003,52.7504,5672517
2000-04-05,51.5786,52.313,50.4378,50.7504,3980634
2000-04-06,50.8752,50.8752,49.0629,50.0628,4360320
2000-04-07,50.7504,50.7504,46.1253,46.8909,3340483
2000-04-10,47.2505,49.1252,45.9999,47.5002,3462742
2000-04-11,47.0628,50.1255,46.5002,49.6875,3225817
2000-04-12,49.7502,50.625,48.9536,49.188,4427905
2000-04-13,49.6254,50.1255,47.0003,47.5002,4913905
2000-04-14,47.5002,48.6255,44.7503,44.7503,3648788
2000-04-17,44.5001,48.6878,44.5001,46.8126,4298811
2000-04-18,46.4688,46.9376,44.7503,46.8755,2264451
2000-04-19,46.188,46.4381,43.8755,44.625,2534788
