Date,Open,High,Low,Close,Volume
2000-01-03,32.013,32.325,31.5761,31.8257,12212500
2000-01-04,31.2017,31.4513,29.9536,30.6401,13480500
2000-01-05,30.8273,31.8257,30.7649,31.1393,12316500
2000-01-06,31.2017,32.6994,31.1393,32.2626,10546500
2000-01-07,33.9475,34.8211,33.3234,34.5715,17041600
2000-01-10,34.9459,34.9459,34.0099,34.3843,9881400
2000-01-11,34.1971,34.9459,34.0723,34.3219,9246700
2000-01-12,34.4467,35.2579,34.3843,35.0707,10838000
2000-01-13,34.8835,37.0676,34.5715,36.7556,26286100
2000-01-14,37.3796,37.5669,36.9428,37.0676,16181900
2000-01-18,37.0676,37.1924,35.7572,36.4436,10872500
2000-01-19,36.6932,37.0052,36.2564,36.9428,10053500
2000-01-20,36.6932,36.818,35.7572,35.7572,7980000
2000-01-21,36.506,36.506,34.9459,35.0083,12355100
2000-01-24,34.9459,35.1955,33.3234,34.3219,13030800
2000-01-25,34.4467,35.3827,34.2595,34.8211,9396200
2000-01-26,34.7587,34.9459,34.3219,34.8835,7274900
2000-01-27,34.5091,35.3827,34.4467,34.4467,8594600
2000-01-28,34.4467,35.6324,33.8227,35.1331,11228300
2000-01-31,33.9475,36.4436,33.9475,36.1316,10089700
2000-02-01,35.5075,37.13,35.4451,36.9428,11713200
2000-02-02,36.8804,36.9428,35.6948,35.8196,7140100
2000-02-03,36.0068,36.5684,35.2579,35.5699,8803300
2000-02-04,36.0692,36.0692,35.2579,35.6948,6609100
2000-02-07,35.8196,36.7556,35.5075,36.6932,12713400
2000-02-08,37.0052,37.8789,36.818,37.7541,15360700
2000-02-09,37.5669,37.6293,36.0692,36.0692,11207200
2000-02-10,36.4436,36.4436,34.9459,35.3203,10577400
2000-02-11,35.5075,35.5075,33.9475,34.1347,10171700
2000-02-14,33.5106,35.2579,33.5106,34.9459,8393400
2000-02-15,35.0083,35.8196,34.6963,35.5075,7832700
2000-02-16,34.9459,35.0083,33.6978,33.6978,9873900
2000-02-17,34.0723,34.3219,33.573,33.7602,8494900
2000-02-18,33.9475,33.9475,32.8242,33.9475,10314000
2000-02-22,33.3858,33.7602,33.0738,33.261,8735100
2000-02-23,33.7602,33.9475,32.8866,33.9475,9090200
2000-02-24,32.8242,33.261,32.5122,33.0114,9286600
2000-02-25,32.949,33.1986,31.9506,32.325,8255000
2000-02-28,32.0754,32.3874,31.8881,32.1378,8108300
2000-02-29,32.8242,32.8242,31.5761,32.0754,11809600
2000-03-01,32.0754,32.3874,31.4513,31.8257,10993200
2000-03-02,31.9506,31.9506,31.4513,31.9506,8352200
2000-03-03,33.4482,33.4482,31.4513,32.5746,10046100
2000-03-06,32.013,32.5122,31.4513,31.6385,10581200
2000-03-07,31.3265,31.4513,29.9536,30.4529,14534800
2000-03-08,30.9521,33.0738,30.1409,32.3874,18806199
2000-03-09,32.5746,34.3219,32.2002,34.1347,18199100
2000-03-10,35.0707,35.1955,33.9475,34.9459,19474801
2000-03-13,35.0707,35.0707,33.4482,34.2595,11671200
2000-03-14,34.1347,34.1347,32.949,33.1986,8641400
2000-03-15,33.8227,35.5699,33.6978,35.1955,15513800
2000-03-16,36.1316,36.506,35.5699,36.4436,18352100
2000-03-17,36.0068,36.2564,35.4451,35.7572,12775500
2000-03-20,35.9444,36.0068,35.2579,35.882,7863200
2000-03-21,36.0068,36.9428,35.7572,36.6308,13597400
2000-03-22,35.6948,35.9444,34.5715,35.5699,17386301
2000-03-23,34.7587,35.882,34.7587,35.1955,10118600
2000-03-24,35.1955,35.8196,34.7587,34.8211,8998600
2000-03-27,34.8211,35.4451,34.6339,34.6963,9259500
2000-03-28,34.1971,35.5075,34.1971,35.0083,8812800
2000-03-29,35.1955,36.6932,35.0473,36.5684,13894900
2000-03-30,36.3812,36.7556,36.0068,36.4436,9920100
2000-03-31,36.506,36.818,35.6324,36.506,8655100
2000-04-03,36.9428,38.5653,36.6932,38.3157,19045900
2000-04-04,38.6277,39.9382,37.9413,39.9382,33557898
2000-04-05,38.4405,39.1269,38.3157,38.5653,9554700
2000-04-06,38.0661,38.5653,37.6917,38.3157,9527600
2000-04-07,38.4405,39.3766,38.3781,38.7525,9316200
2000-04-10,38.8773,40.2502,38.6901,39.751,15380800
2000-04-11,39.6886,40.4374,39.5014,39.751,13082600
2000-04-12,39.439,40.9366,39.1893,40.3126,16946801
2000-04-13,40.1254,40.3126,38.8773,39.5638,12536000
2000-04-14,38.8773,39.0021,36.818,37.8789,13730900
2000-04-17,37.1924,38.8149,36.9428,37.9413,13853300
2000-04-18,37.9413,39.5638,37.9413,39.5014,13666400
2000-04-19,39.6262,42.4343,39.3142,41.9351,20077699
2000-04-20,42.0599,42.0599,40.687,41.8727,10864600
2000-04-24,41.4359,44.1816,41.1863,43.4328,14900400
2000-04-25,43.0584,43.6824,42.1223,43.3704,10370700
2000-04-26,42.6839,43.4328,42.4343,43.4328,10414700
2000-04-27,41.9351,43.4952,41.9351,42.6839,10116500
2000-04-28,42.6839,42.8087,41.6855,42.0599,8958800
2000-05-01,42.1847,43.4328,41.2487,41.7479,8255400
2000-05-02,41.9351,43.1832,41.8103,42.8087,10174600
2000-05-03,42.8711,43.3704,42.1847,42.6215,11521700
2000-05-04,42.4343,43.2456,42.1847,42.9336,6383900
2000-05-05,42.3095,44.8681,41.9975,44.556,12594200
2000-05-08,44.9305,46.3033,44.8681,46.1161,18220301
2000-05-09,45.4921,45.6169,44.3064,45.1177,11108100
2000-05-10,43.9944,45.1177,41.9351,43.8696,10182000
2000-05-11,43.4952,43.5576,42.2471,42.4967,9402200
2000-05-12,42.3095,43.308,41.6231,43.0194,7795100
2000-05-15,42.7463,44.1816,42.6215,43.932,8129100
2000-05-16,44.3688,44.8057,43.1832,44.4312,12321600
2000-05-17,44.4312,45.2425,44.1192,44.8681,13713000
2000-05-18,45.0553,45.4921,44.6808,45.1177,7234800
2000-05-19,44.6184,44.6808,43.7448,44.3688,7275900
2000-05-22,44.3688,45.1177,43.1832,43.8696,9069600
2000-05-23,43.7448,44.4312,43.1208,44.1192,6578200
2000-05-24,43.308,44.8681,43.308,44.1816,8318200
2000-05-25,44.4936,45.6793,44.3688,45.6169,10205800
2000-05-26,44.8057,45.3673,44.6184,45.0553,5971500
2000-05-30,43.9944,44.3688,43.62,44.1192,8301200
2000-05-31,43.6824,44.9305,43.62,44.4936,6997200
2000-06-01,45.6169,46.0537,44.8057,45.4297,9953600
2000-06-02,45.8665,45.8665,43.1832,43.7448,10402300
2000-06-05,43.7448,43.8696,42.1847,42.6839,9707400
2000-06-06,42.9336,43.7448,42.3719,43.3704,9478800
2000-06-07,43.3704,44.1192,43.1832,43.4328,5563800
2000-06-08,43.6824,44.3688,43.4952,44.1816,6412700
2000-06-09,44.3064,45.9289,44.0568,44.9617,6633400
2000-06-12,44.9929,45.6793,44.3064,44.8057,5660700
2000-06-13,45.3049,46.3033,44.9929,45.8041,11242300
2000-06-14,45.8665,46.865,45.8041,46.553,11036100
2000-06-15,46.3033,46.9274,46.0537,46.9274,8124900
2000-06-16,46.3657,48.0506,46.3657,47.8634,14267000
2000-06-19,47.7386,47.7386,46.7402,46.9274,8277900
2000-06-20,46.553,46.8026,45.1801,45.9289,11002000
2000-06-21,46.9274,47.1146,46.3033,46.8026,16336100
2000-06-22,46.7402,46.7402,44.8057,45.6793,16622000
2000-06-23,45.9289,45.9289,45.1801,45.8665,14225800
2000-06-26,45.9289,46.2409,45.4297,46.1785,15760800
2000-06-27,46.4281,47.0366,45.8665,46.9274,11573600
2000-06-28,46.553,46.865,46.1785,46.3657,12616900
2000-06-29,46.6154,46.6154,45.5545,46.1785,16139200
2000-06-30,45.6793,47.9258,45.6793,47.9258,15014800
2000-07-03,47.7386,47.7386,46.9898,47.6138,5760600
2000-07-05,47.9258,47.9258,46.9274,47.3642,11208700
2000-07-06,47.5514,47.5514,46.1161,46.4905,9811800
2000-07-07,46.6154,46.9274,45.7417,45.7417,12715900
