Date,Open,High,Low,Close,Volume
2000-01-03,199.25,200,175,179.3125,91338398
2000-01-04,172.5625,175.3125,160,162.0625,63438398
2000-01-05,159.875,163.25,139,156.4375,93770000
2000-01-06,148.5,156,139.75,140.0625,58609398
2000-01-07,134,150.5,132.9219,150,68154204
2000-01-10,162,163,152.5,159.375,35352000
2000-01-11,156,157.875,141.5,144.4375,30500600
2000-01-12,145,147.5,136.0625,138.25,34444602
2000-01-13,144.375,145.625,137.625,143.125,25135400
2000-01-14,147.625,148.9375,139.5,140.4375,26202000
2000-01-18,137.4375,141.25,135,139.0625,28476200
2000-01-19,137.125,147,137,146.625,30711600
2000-01-20,149.25,156,147.125,155.625,39212398
2000-01-21,158.25,160.4375,151,154.9375,34943000
2000-01-24,155.8125,157,139.625,140.0625,32152200
2000-01-25,143.625,149.9375,140,149,39442800
2000-01-26,129,130,120,124.625,136918204
2000-01-27,126.6875,128,117.375,120,62544398
2000-01-28,121.0625,121.375,105.625,110.5625,85694398
2000-01-31,112.625,127.5,112.1875,127,80332000
2000-02-01,131.5,140,130.9219,136.0625,69573602
2000-02-02,136.875,145.5,136,142.0625,57323398
2000-02-03,145.125,148,132,139.1875,52543398
2000-02-04,141.875,141.875,135,137.4375,30023600
2000-02-07,134.4375,135.25,130.25,133.4375,20864000
2000-02-08,133.5,139.625,133.4375,139.0625,21419600
2000-02-09,139.5,140,133,133.3125,20136400
2000-02-10,134.5625,137.125,133,136.9375,15071800
2000-02-11,135.0781,136.5,131.5,132,12413600
2000-02-14,129.375,130,125,127.125,23349200
2000-02-15,124.3594,127.6875,120.0625,126.625,30033800
2000-02-16,125.375,131.5,121,121.875,30040000
2000-02-17,125.125,131,122,130,34959602
2000-02-18,132.0156,138.75,131.75,134.5,42985800
2000-02-22,132.5,135.75,126.25,130.5625,24449800
2000-02-23,133.375,147.5,130.75,146.875,52267602
2000-02-24,136.875,142.25,134.75,139.6875,51709800
2000-02-25,136.25,142,133.375,133.5625,23402200
2000-02-28,137.5,147.5,135,143.25,36394200
2000-02-29,146,148,138.25,142.4375,31307600
2000-03-01,140.5,141.3125,136.5312,139,20862000
2000-03-02,138.875,139.125,132,132.1875,20548400
2000-03-03,131,134.1875,126,131.875,33927800
2000-03-06,129.5,138,128,133.25,23573200
2000-03-07,134.5,134.75,127.5,128,21436800
2000-03-08,130.625,131.625,124.9844,129.125,22701200
2000-03-09,127.1875,129.25,124.75,127,17420200
2000-03-10,125.1875,145.5,122,136.125,82990602
2000-03-13,128.375,136,127.125,130.1875,35132800
2000-03-14,132.125,134,125,125.125,24228000
2000-03-15,126,133,125.5,128,31387200
2000-03-16,130.4375,134,126.5,132.875,23702800
2000-03-17,132.75,137.5,132.625,136.25,31112800
2000-03-20,134.3125,135.9375,128,129.625,18182600
2000-03-21,127.75,135,125.75,134.625,18477000
2000-03-22,133.6875,135.75,130.5,134.875,19331400
2000-03-23,132.5625,144.625,132.25,144.125,42417800
2000-03-24,143.5,152.4219,142.375,146,50163602
2000-03-27,147.6875,156,146.5,148.9375,37868398
2000-03-28,149.75,157,147,154.8125,41155602
2000-03-29,158.25,162.5625,152.1875,157.5,50221800
2000-03-30,151.875,157.25,139.25,145.2344,41368800
2000-03-31,149.8125,153.5,145,149.3125,34404398
2000-04-03,148.6875,152,138.0625,140.75,26956000
2000-04-04,141.875,147.5,124,146.625,42754398
2000-04-05,140.75,145,137.125,141.25,23548200
2000-04-06,141.375,143,137,139.125,16182400
2000-04-07,141.875,152.75,140,152.25,31457600
2000-04-10,151.375,151.8125,140.25,141.1875,20139000
2000-04-11,135.5,147.5,133.9375,137.4375,22861200
2000-04-12,137.9375,141,125,125.125,31829400
2000-04-13,128,135.625,123,126.5,30220000
2000-04-14,123,130.75,103,105.1875,65973602
2000-04-17,98.4375,117.4375,98.125,116.875,64747200
2000-04-18,115.5156,121.25,107,112.1875,44382200
2000-04-19,119.25,125.875,113,114.75,59812200
2000-04-20,115.9375,118.5,106.5,109.5,38965398
2000-04-24,103,104,92.25,99.625,64227398
2000-04-25,104.5,108.3125,101.5,104.9375,47784200
2000-04-26,104.9375,105.25,97,97.25,31015400
2000-04-27,94.875,104,94.5,103.5,41738800
2000-04-28,105.875,110,104.5,108.4375,31254400
2000-05-01,109.625,111.9375,107.25,109.75,22534400
2000-05-02,110.8125,120,110.125,113.6875,52943000
2000-05-03,111.625,114,108.125,110.9375,32006400
2000-05-04,110.8594,112.25,105.6875,106.6875,20096600
2000-05-05,105.3125,111.375,105,109.75,15969600
2000-05-08,106.5,107.7188,102.8125,103,16025200
2000-05-09,104.5,107.875,102,105,23061600
2000-05-10,102.25,104,97,97.3125,34479200
2000-05-11,100.75,101.25,95,99.3125,32316400
2000-05-12,101.75,102.5,97.5,98,17077200
2000-05-15,98.3125,104.5,96.625,104.3125,21595200
2000-05-16,105.3594,109,105,108.6875,23120400
2000-05-17,104.5,106.25,102.4375,103.1562,18165200
2000-05-18,103.125,103.1875,96,96.9375,27253200
2000-05-19,95,96.625,89.0313,89.1875,50810398
2000-05-22,90,90.125,77.75,88.4375,51780000
2000-05-23,86.75,87.375,79.25,79.375,37241200
2000-05-24,76.3125,78.5,69.7813,76.75,81676000
2000-05-25,79.5625,82.25,68.625,69,60351000
2000-05-26,69.8125,70,62.375,66.0625,76428000
2000-05-30,63.3281,76.625,60,76.375,114317796
2000-05-31,70.75,72,66,66.375,109656204
2000-06-01,71.25,72,68.25,69,64587200
2000-06-02,74.1875,74.75,68.3125,72.6875,75589796
2000-06-05,65.0625,69.875,64.875,67.25,59443000
2000-06-06,67.75,72.875,67.625,68.875,47751000
2000-06-07,71.625,74.8125,70.5,74.6875,45217000
2000-06-08,78.125,80,75.5,77.4375,43074200
2000-06-09,80.5,81,78.5,79.0625,29501600
2000-06-12,83.25,84.3125,80,81.6875,30543600
2000-06-13,80.9375,82.8125,76.8125,81.375,38285800
2000-06-14,81.6875,82,69,70.5,83775398
2000-06-15,62.875,63.25,59.9844,61.4375,122159398
2000-06-16,64.375,67.5,64,65.75,55362200
2000-06-19,65.8125,66.25,63.25,65.1875,26370600
2000-06-20,65.4375,65.6875,62.5,62.9375,28986800
2000-06-21,62.25,67.5,61.875,64.5,38129398
2000-06-22,65.25,73.875,64.375,68.25,84523398
2000-06-23,71.5625,74.75,65.5,66.375,58831800
2000-06-26,68.1875,68.3594,62.9063,64.75,34280398
2000-06-27,64.375,67.5,62.875,63.6875,29799200
2000-06-28,60.125,66,59.375,63.5625,77075398
2000-06-29,61.875,63.2188,61,61.5,23905400
2000-06-30,62,62.125,58,60,36817398
2000-07-03,59.9375,61.875,59.5,60.25,8696800
2000-07-05,61,63,58.25,58.4375,20378000
2000-07-06,59.375,62.625,57.5625,61.6875,24739600
2000-07-07,57.375,59.2656,56.0625,56.625,56731200
2000-07-10,55.9375,57.5,54,54.875,35348602
2000-07-11,53.5625,55.875,51.5,53,35948398
2000-07-12,55.3125,61.5,53.9375,61,48271398
2000-07-13,61.625,63,59.375,62,32293600
2000-07-14,63.4375,64.875,61,63.0625,22630400
2000-07-17,64.875,70.9375,64.625,69.8125,50475000
2000-07-18,68.4375,68.875,65,65.125,27695000
2000-07-19,64.6875,64.9375,62.125,63,24763800
2000-07-20,59.375,63.6875,57.0625,63.0625,48025602
2000-07-21,61.3125,65,61.25,62.8125,19395800
2000-07-24,62.75,64.9375,62.125,63.625,22129600
2000-07-25,65.8125,69.5,65.6875,68.375,47730398
2000-07-26,67.5,70.5,66.0625,68.6875,32622200
2000-07-27,66.0625,67.125,63.5625,65.5625,26501600
2000-07-28,64.375,66.25,61,62.4375,17749200
2000-07-31,65,66.375,63.625,64.9375,23017200
2000-08-01,64.9375,65,62.8125,62.9375,11861600
2000-08-02,63.25,64.625,61.5,61.9375,10717400
2000-08-03,60,64.5,58.375,64.25,32181800
2000-08-04,66.5,67.875,63.125,64,22559800
2000-08-07,63.1875,65.8125,62.3125,63.5625,14544800
2000-08-08,63,63.75,60.5,61.0625,16619000
2000-08-09,62.625,63.1094,61.25,61.4375,14093800
2000-08-10,62.375,63.625,61.25,61.4375,11353200
2000-08-11,61.1875,62.375,58.875,61.625,15458800
2000-08-14,61.6875,63,61,62.625,11488200
2000-08-15,62.375,62.375,61,61.375,9654200
2000-08-16,62.125,62.9375,60.0625,60.5,10479400
2000-08-17,60.25,62.375,60.0625,60.5625,11360800
2000-08-18,60.9375,61.375,59.6875,59.75,13822400
2000-08-21,58.75,60,57.3125,59,15214800
2000-08-22,58.0625,58.75,56.5,56.625,22422000
2000-08-23,55.4375,56.75,54.8125,56.4375,28410200
2000-08-24,57.0625,60.75,56.875,60.625,27251600
2000-08-25,60.3125,61.3125,58.25,58.875,15584000
2000-08-28,58.5,61.0625,58.4688,59.375,18176800
2000-08-29,59.5,61.0625,58.625,60.25,15617800
2000-08-30,60.125,60.375,58,58.3125,19118600
2000-08-31,58.75,62.0625,58,59.875,38020602
2000-09-01,60.8125,62,58.5,59.25,20430600
2000-09-05,61.0625,61.625,59.375,59.375,19832200
2000-09-06,60.125,63.9375,59.875,61.8125,57642200
2000-09-07,62.375,64.625,60.625,64.125,39517602
2000-09-08,63.6875,65,61.4375,61.5625,32570200
2000-09-11,60.5469,61.125,58,58.125,29728000
2000-09-12,61.0625,63.625,60.5,61.4375,44915200
2000-09-13,61.5,64.375,61.4375,64,24535600
2000-09-14,65,65.125,62,62.625,20929200
2000-09-15,62.625,66.625,61.625,66.25,55469000
2000-09-18,67.75,71.25,67.125,69.8125,75749796
2000-09-19,71.6875,78.75,70.625,77.5,85210398
2000-09-20,78.1875,78.5,72.625,75.0469,52445000
2000-09-21,73.5,76.9375,71,71.9375,32519000
2000-09-22,69.375,73.125,69,73,34147200
2000-09-25,75.25,75.5,69.4375,70,20936200
2000-09-26,71.375,75,69.375,73.375,37937602
2000-09-27,74.25,75.625,72.125,72.875,30285200
2000-09-28,72.25,75.1875,71.5625,74.8125,20879400
2000-09-29,74.6875,74.6875,70.875,71.25,13227400
2000-10-02,72.625,73.9375,70.75,71.3125,16959200
2000-10-03,72,75.5625,71.4375,72.5,25095200
2000-10-04,71.625,79.5,71.5,78.4375,39051602
2000-10-05,78,87,77,82.875,64689000
2000-10-06,82.875,84,77.3125,77.8125,34232602
2000-10-09,77.375,81,76.5,79.375,20519400
2000-10-10,80.875,83.875,78.4375,79.6875,36808398
2000-10-11,77.6875,78.9375,66.375,70.5,58009398
2000-10-12,72.6875,74.1875,63.375,64.375,45676602
2000-10-13,64,70.0625,63.125,69.9375,28280600
2000-10-16,74.875,78.0625,72.8125,77,39904200
2000-10-17,78.375,78.625,71,74.1875,23357800
2000-10-18,70.125,76.75,68,74.8125,28133000
2000-10-19,77.8594,78,73.3125,77,22498000
2000-10-20,74.5781,76.75,74.25,74.75,19323400
2000-10-23,73.875,74.8125,70.8125,73.625,18486800
2000-10-24,71.9375,74,70.5,71,17429600
