Date,Open,High,Low,Close,Volume
2000-01-03,18.0936,18.1876,17.3124,17.3752,4067200
2000-01-04,17.25,17.3124,16.5624,16.6252,7012000
2000-01-05,16.6876,17.0624,16.5624,17,6990400
2000-01-06,16.8124,17,14.8124,15.1876,24146400
2000-01-07,15.0624,15.1252,14.6252,15,14456000
2000-01-10,15,15.5,14.9376,15.25,12168000
2000-01-11,15.1252,15.25,14.5,14.5624,12797600
2000-01-12,14.5624,14.5624,13.25,13.5936,19354400
2000-01-13,13.5312,13.75,12.8752,13.0624,23209600
2000-01-14,13.25,13.6252,13.25,13.6252,15252800
2000-01-18,13.5624,13.6876,12.75,12.8124,19511200
2000-01-19,12.8436,12.8752,12,12.25,23520000
2000-01-20,12.25,13.25,12.25,13.0312,19156800
2000-01-21,13.5,13.6252,13.1252,13.4376,18298400
2000-01-24,13.4064,13.5,12.3752,12.5624,19201600
2000-01-25,12.5624,12.6876,12,12.5624,16684000
2000-01-26,12.3752,13.3124,12.25,13.1876,15236000
2000-01-27,13.4064,13.5624,12.6252,12.9376,16930400
2000-01-28,12.9688,13.1252,12.5624,12.8752,6684000
2000-01-31,12.8752,13.0624,12.25,12.75,7533600
2000-02-01,13.0624,13.1252,12.1252,12.6876,6864000
2000-02-02,12.9688,13.0624,12.5,12.5624,11957600
2000-02-03,14.1252,15.6876,14.0624,15.5,47381600
2000-02-04,15.25,15.3124,14.75,15,17392800
2000-02-07,15.1252,15.25,14.8752,15,13880800
2000-02-08,15.0312,15.3752,14.9376,15.3124,4374400
2000-02-09,15.3124,15.3124,15.0624,15.1252,12921600
2000-02-10,15.1876,15.25,14.75,14.8752,14176000
2000-02-11,14.8124,14.8752,14.4376,14.6876,12605600
2000-02-14,14.7812,15.1252,14.5,14.6876,6644800
2000-02-15,14.6252,14.75,14.1252,14.1252,5243200
2000-02-16,14.1252,14.25,13.1252,13.5624,9887200
2000-02-17,13.5624,13.6252,12.5624,12.75,6380800
2000-02-18,12.8752,13.3124,12.8752,13.0624,14096800
2000-02-22,13.3752,13.75,12.8752,13.0624,6392000
2000-02-23,13.1876,13.3124,13,13.25,9151200
2000-02-24,13.1252,13.3124,12.8752,13.1252,10643200
2000-02-25,13.1252,14.1252,13.0624,13.6876,7472800
2000-02-28,13.8124,15.9376,13.75,15.5,11089600
2000-02-29,15.3752,15.5,14.4376,14.5,14335200
2000-03-01,14.3752,14.6252,13.6876,14.5624,6499200
2000-03-02,15.0624,17.6876,14.75,17.5624,17716000
2000-03-03,17.4688,17.6252,16.8752,16.8752,12198400
2000-03-06,16.8752,17.6252,16.8752,17.5,5734400
2000-03-07,17.5312,17.5624,16.75,16.9376,6342400
2000-03-08,16.8124,17.25,16.75,16.8124,2174400
2000-03-09,16.75,17,16.3124,16.6252,10015200
2000-03-10,16.6252,16.6252,16.1252,16.4376,3851200
2000-03-13,16.4376,16.6252,16.3752,16.5312,2647200
2000-03-14,16.6252,17.5,16.5,17.4376,11996000
2000-03-15,17.4844,19,17.3124,18.9376,17756000
2000-03-16,18.8752,22.1252,18.8124,22.0624,30485600
2000-03-17,21.25,21.8752,20.5,20.5,11164800
2000-03-20,20.4376,20.75,19.3752,19.5,3574400
2000-03-21,19.7812,21.3752,19.6876,21.1252,5213600
2000-03-22,21.1252,21.25,20.25,20.4376,5682400
2000-03-23,20.5624,20.75,20,20.4376,6633600
2000-03-24,20.3752,21,20.0624,20.25,4218400
2000-03-27,20.25,21.1252,20.1252,21.0624,6388800
2000-03-28,20.9376,21.9376,20.8752,21.1252,7271200
2000-03-29,21.5,23.75,21.1252,23.25,15530400
2000-03-30,22.6252,23.3124,21.9376,22.1876,9836800
2000-03-31,22.25,24.1252,22.1876,24.0624,16415200
2000-04-03,23.3124,23.4376,22.0624,22.3752,10858400
2000-04-04,22.5,22.8752,21.25,21.8752,5733600
2000-04-05,21.6252,23.3436,20.9376,21.6252,6038400
2000-04-06,21.6876,22.25,20.8752,21.8752,9016000
