Date,Open,High,Low,Close,Volume
2000-01-03,44.375,44.375,42.75,42.75,29200
2000-01-04,43,43,42.125,42.6876,64800
2000-01-05,42.5626,42.6876,42.375,42.4376,21200
2000-01-06,42.1876,43,41.875,42.8126,35600
2000-01-07,42.6876,42.6876,41.75,42.25,29600
2000-01-10,42.5,42.5,41.375,42.0626,32000
2000-01-11,41.8126,41.8126,40.5,41.125,49200
2000-01-12,40.9376,41.0626,40.5,40.75,41200
2000-01-13,41,41.625,41,41.4376,20000
2000-01-14,41.625,42.3126,41.5,41.5,50000
2000-01-18,41.75,41.9376,40.875,41.0626,64000
2000-01-19,41.125,41.125,40.25,40.5,75200
2000-01-20,40.5626,40.625,40.125,40.5,56800
2000-01-21,40,40,39.125,39.5,54400
2000-01-24,39.375,39.375,38,38.5626,50400
2000-01-25,38.625,39.5,38.5626,39.5,39600
2000-01-26,39.3126,40.6876,39.3126,40.6876,40000
2000-01-27,41,44.25,41,43.875,270800
2000-01-28,43.5626,43.5626,42.0626,42.1876,54400
2000-01-31,42,42,40.875,41.4376,24000
2000-02-01,41,41.4376,40.625,41.4376,14400
2000-02-02,41.25,41.25,40.25,40.5,23600
2000-02-03,40.75,40.75,39.75,39.75,108000
2000-02-04,39.5626,40.25,39.1876,39.875,38800
2000-02-07,40.0626,40.625,39.875,40.5,34800
2000-02-08,40.25,41.3126,40.125,41.1876,22400
2000-02-09,41.4376,41.4376,40.8126,41,25600
2000-02-10,40.75,40.9376,40.125,40.5626,28000
2000-02-11,40.8126,40.8126,40.1876,40.625,24800
2000-02-14,40.375,40.375,39.9376,39.9376,17200
2000-02-15,40.25,40.625,40.125,40.5626,53200
2000-02-16,40.3126,41.3126,40.125,41.3126,32800
2000-02-17,41.875,42,41,41,53600
2000-02-18,41.0626,41.9376,40.625,40.9376,37200
2000-02-22,41,41.1876,40.25,40.25,44000
2000-02-23,40.9376,41,40.3126,40.875,24000
2000-02-24,41.9376,41.9376,40.9376,41,106400
2000-02-25,41.25,42,41.25,42,76000
2000-02-28,42,43.25,41.5626,43.1876,56000
2000-02-29,43.1876,43.75,42.5,42.625,65200
2000-03-01,42.5626,43,42.375,42.5,37200
2000-03-02,42.4376,42.5626,42.0626,42.125,32400
2000-03-03,42.375,42.875,42.25,42.25,122000
2000-03-06,42.25,42.375,42,42.3126,45600
2000-03-07,42,42,40.75,40.9376,52400
2000-03-08,40.9376,40.9376,40,40.1876,135200
2000-03-09,40.25,40.25,39.5,39.875,76800
2000-03-10,40.0626,40.4376,40,40.4376,23200
2000-03-13,40.1876,41.625,39,41.1876,119200
2000-03-14,41.3126,41.4376,40.875,41.4376,20800
2000-03-15,41.1876,42.25,40.6876,42.25,58800
2000-03-16,42.375,44.625,42.375,44.375,60800
2000-03-17,44.125,44.1876,43.625,44.1876,75600
2000-03-20,44,44.25,43.6876,43.75,17200
2000-03-21,43.5,43.8126,43.4376,43.75,32400
2000-03-22,43.8126,45.6876,43.625,45.625,80400
2000-03-23,45.5,47,45.5,46.4376,61600
2000-03-24,46.25,47.5,46.25,47.25,131600
2000-03-27,47.4376,47.9376,46,46.75,37600
2000-03-28,46.5,46.5,45.75,46.125,20000
2000-03-29,46.3126,46.625,46,46.5,17600
2000-03-30,46.625,48.3126,46.625,48.3126,56400
2000-03-31,48.3126,48.4376,47.75,48.0626,36400
2000-04-03,47.875,48.5626,47.75,48.5,48400
2000-04-04,48.6876,49.75,47.75,49.25,106000
2000-04-05,49,49.8126,48.75,49.625,87600
2000-04-06,49.5,49.9376,49.25,49.5626,42400
2000-04-07,49,49,47.6876,47.6876,46400
2000-04-10,47.4376,48.125,47.125,47.6876,19600
2000-04-11,47.9376,49.5,47.9376,49.25,58400
2000-04-12,49,52.1876,49,51.75,152800
2000-04-13,51.5,52,50.75,51.5626,73600
2000-04-14,51.3126,51.3126,48.125,48.25,132400
2000-04-17,48,48.6876,47.1876,48.3126,106800
2000-04-18,48.5,49.4376,48.5,49.25,31200
2000-04-19,49.125,49.875,48.625,48.625,66800
2000-04-20,48.75,50.25,48.75,50.25,32400
2000-04-24,49.6876,50,49.5626,50,10400
