Date,Open,High,Low,Close,Volume
2000-01-03,11.2,11.2,10.7208,11.1401,141920
2000-01-04,10.9005,11.1401,10.601,10.9005,101014
2000-01-05,10.7807,10.7807,10.5411,10.7807,84735
2000-01-06,10.9005,10.9005,10.5411,10.7807,68977
2000-01-07,10.9005,11.3197,10.7807,11.2,177505
2000-01-10,11.2,11.2598,10.7208,10.9005,51342
2000-01-11,10.601,10.6609,10.3016,10.6609,134929
2000-01-12,10.5411,10.5411,10.3016,10.4213,138790
2000-01-13,10.3614,10.4812,10.1818,10.4812,73986
2000-01-14,10.5411,10.7807,10.1818,10.7807,87344
2000-01-18,9.8224,9.9422,9.7026,9.8823,195140
2000-01-19,9.7625,9.9422,9.6427,9.8224,109884
2000-01-20,10.1219,10.2417,9.9422,10.2417,144425
2000-01-21,10.0021,10.0021,9.6427,9.8224,149016
2000-01-24,9.8224,10.3016,9.7026,9.8224,440579
2000-01-25,9.7026,9.9422,9.6427,9.8823,327982
2000-01-26,9.7625,10.1219,9.7625,10.0021,114997
2000-01-27,9.9422,9.9422,9.5828,9.8823,118754
2000-01-28,9.8224,9.8224,9.523,9.5828,141816
2000-01-31,9.523,9.6427,9.4631,9.5828,358140
2000-02-01,9.6427,9.8224,9.523,9.6427,138268
2000-02-02,9.5828,9.6427,9.4631,9.6427,119276
2000-02-03,9.6427,10.1818,9.6427,10.062,551402
2000-02-04,10.0021,10.062,9.8224,9.8224,177400
2000-02-07,10.062,10.2417,9.9422,10.2417,153712
2000-02-08,10.1818,10.601,10.1818,10.5411,426491
2000-02-09,10.2417,10.3614,10.1219,10.3016,553280
2000-02-10,10.1219,10.1219,9.8224,10.0021,230307
2000-02-11,9.7625,9.7625,9.4631,9.5828,373376
2000-02-14,10.0021,10.062,9.7026,9.8224,170513
2000-02-15,10.0021,10.062,9.8823,10.062,181992
2000-02-16,10.3016,10.4812,10.3016,10.3016,265787
2000-02-17,10.6609,10.7208,10.3614,10.3614,197645
2000-02-18,10.3016,10.5411,10.1818,10.1818,179070
2000-02-22,10.3614,10.7208,10.1818,10.7208,411464
2000-02-23,10.5411,10.6609,10.3016,10.5411,387046
2000-02-24,10.3016,10.4213,10.2417,10.2417,103414
2000-02-25,10.1818,10.4812,10.1818,10.4213,297928
2000-02-28,9.8823,10.1818,9.8823,10.1219,94127
2000-02-29,10.1818,10.3016,9.9422,10.062,248152
2000-03-01,9.9422,10.1219,9.9422,10.062,344992
2000-03-02,10.1219,10.2417,10.1219,10.2417,745916
2000-03-03,10.1818,10.3614,10.062,10.1818,441205
2000-03-06,10.062,10.062,9.9422,9.9422,265787
2000-03-07,10.1219,10.1219,9.7625,9.8224,299076
2000-03-08,9.9422,10.1818,9.8823,10.1818,326625
2000-03-09,10.1219,10.2417,10.1219,10.1818,821155
2000-03-10,10.1219,10.3614,10.1219,10.3614,1217071
2000-03-13,10.062,10.2417,10.0021,10.2417,208706
