Date,Open,High,Low,Close,Volume
2015-05-21,28,28.74,24.11,25.68,123052199
2015-05-22,26.17,31.1,26,28.31,28427810
2015-05-26,29.8,30.34,29.08,29.65,8202140
2015-05-27,30.67,30.81,27,27.5,7980260
2015-05-28,27.55,27.74,26.48,27.45,4003670
2015-05-29,27.25,27.38,26.87,27.2,2559750
2015-06-01,27.2,27.44,26.6,27.33,2570400
2015-06-02,27.47,27.47,26.65,26.95,3797840
2015-06-03,26.76,27.5,26.5,27.44,3029480
2015-06-04,27.42,27.49,25.51,26.78,3225770
2015-06-05,26.66,27.39,26.1,27.39,1295600
2015-06-08,26.9,27.48,26.82,26.98,2809250
2015-06-09,26.64,28.46,26.64,28.34,3377850
2015-06-10,28.45,28.88,27.95,28.1,2735880
2015-06-11,28.49,30.73,28.49,30.73,4617190
2015-06-12,31.32,33.7,31.25,33.63,8483520
2015-06-15,33.97,38.12,32.9201,35.5,16944600
2015-06-16,36.06,38.379,35.84,38.11,11095420
2015-06-17,39.63,42.13,38.01,38.63,15957020
2015-06-18,38.42,38.8899,34.3265,35.55,11481730
2015-06-19,36.33,36.74,32.55,35.52,9796920
2015-06-22,36.76,38.5,36.09,36.94,7922380
2015-06-23,37.75,38.1,35.17,35.43,2942270
2015-06-24,35.12,37.429,34.14,35.96,5643670
2015-06-25,36.34,36.5,34.8,34.84,2081830
2015-06-26,34.87,35.32,32.63,33.52,3465330
2015-06-29,32.52,33.51,31.2,31.32,3155200
2015-06-30,31.5,34.44,31.5,33.95,4735870
2015-07-01,34.03,34.97,29.88,31.11,10126140
2015-07-02,31.51,31.73,30.62,31.31,3042530
2015-07-06,31.07,31.74,30.38,30.53,1493360
2015-07-07,30.47,30.83,28.5,30.76,3489450
2015-07-08,30.02,30.3599,29.03,29.19,1873640
2015-07-09,29.73,30.38,28.8,29.06,2491000
2015-07-10,29.32,30.29,29.1,29.6,2804860
2015-07-13,29.85,30.99,29.76,30.42,2200530
2015-07-14,30.78,31.3268,30.5,30.86,1455200
2015-07-15,30.89,31.01,28.91,29.34,3571370
2015-07-16,29.06,29.87,28.9307,29.39,1482650
2015-07-17,29.32,32.35,29.15,32.27,16198180
2015-07-20,32.37,33.93,31.6413,33.75,4141540
2015-07-21,33.95,34.6599,32.09,33.22,4147690
2015-07-22,32.99,33.49,31.36,32.14,2557000
2015-07-23,32.59,34.43,32.58,33.11,2657710
2015-07-24,33.45,34.75,33.24,33.57,3577210
2015-07-27,33.4,33.95,32.05,32.87,2004950
2015-07-28,33.5,34.48,32.83,34.06,1750340
2015-07-29,34.1,34.85,33.2,34.16,2015440
2015-07-30,38.655,40.25,37.01,38.13,11627880
2015-07-31,38.13,38.25,36.35,37.39,5258880
2015-08-03,37.49,40.49,36.6,40.36,5351200
2015-08-04,40.11,41.11,38.13,38.41,5733500
2015-08-05,39.02,39.97,38.16,38.45,2910940
2015-08-06,38.4,38.75,35.2,36.28,3830390
2015-08-07,36.27,36.27,34.25,35.16,3215480
2015-08-10,35.3,36.14,32.87,33.47,4803930
2015-08-11,33.66,35.59,32.9637,35.14,2693000
2015-08-12,34.85,35.21,33.75,34.73,2368720
2015-08-13,34.79,36.49,34.51,35.31,2262280
2015-08-14,35,35.75,34.09,34.56,1437130
2015-08-17,34.77,35,33.3,34.41,1623230
2015-08-18,34.18,34.18,32.48,32.6,1869960
2015-08-19,32.37,32.47,30.6,31.1,4447100
2015-08-20,30.76,31.1,29.15,29.22,2698450
2015-08-21,28.75,29.97,27.31,27.77,4041950
2015-08-24,25.51,28.49,22.7,26.28,4271010
2015-08-25,28.29,29.78,26.85,26.93,3042940
2015-08-26,28.5,28.57,26.3001,28.22,3900640
2015-08-27,28.94,29.6,27.8,28.51,2682240
2015-08-28,28.36,29.008,27.72,28,1370400
2015-08-31,28.14,28.77,27.09,27.54,1305240
2015-09-01,27.29,27.29,26.39,26.6,1300890
2015-09-02,26.73,27.549,26.06,26.7,1670110
2015-09-03,26.56,28,26.5101,27.15,1324960
2015-09-04,26.98,27.23,26.37,26.81,1290800
2015-09-08,27.03,27.645,26.745,27.14,1074370
2015-09-09,27.9,28.51,25.89,26.01,3203890
2015-09-10,26.05,26.4743,25.5801,25.77,1390500
2015-09-11,25.55,26.47,25.55,26.36,1873530
2015-09-14,26.27,27.26,26.01,27.21,2208900
2015-09-15,27.14,28.46,27.1,28.11,2511460
2015-09-16,28.13,29.26,28.04,28.91,1331050
2015-09-17,29.89,37.95,29.85,35.55,21122540
2015-09-18,35.725,37.47,34.52,35.66,7869080
2015-09-21,35.7,37,34.75,34.83,3934550
2015-09-22,34.5,34.5,32.81,33.66,3327110
2015-09-23,33.53,34.67,32.83,33.5,3400410
2015-09-24,32.98,34.0899,32.09,33.47,2447870
2015-09-25,33.85,35.64,33.12,33.91,3551650
2015-09-28,33.64,33.9672,32.5,33.05,2048930
2015-09-29,32.41,33.985,32.41,33.64,2213000
2015-09-30,35.69,35.765,33.66,35.2,2999430
2015-10-01,35.37,35.75,33.73,35.07,2479520
2015-10-02,34.65,36.1,34.19,35.81,2365830
2015-10-05,36.05,39.29,36.05,36.76,6644340
2015-10-06,36.72,37.4199,35.0101,36.21,2812380
2015-10-07,36.01,37.37,35.902,37.33,2363480
2015-10-08,37.21,39,36.4501,38.24,4720610
2015-10-09,38.4,38.8723,36.6001,37.02,1640360
2015-10-12,37.04,37.342,30.5,34.31,8193860
2015-10-13,34.97,35.6,33.06,33.12,1912410
2015-10-14,33.49,34.5,32.235,33.64,2947160
2015-10-15,33.64,34.42,33.2,34.14,2626010
2015-10-16,34.51,34.59,33.4,34.33,2689760
2015-10-19,34.28,34.89,33.11,33.36,2958780
2015-10-20,33.44,33.53,31.19,31.5,2847000
2015-10-21,31.54,32.54,31.32,31.95,1533740
2015-10-22,32.27,32.45,31.71,32.01,2293370
2015-10-23,31.98,32.4336,31.09,31.66,1997750
2015-10-26,31.66,31.75,30.76,31.07,1079850
2015-10-27,30.68,31.04,29.72,31.04,2961540
2015-10-28,30.62,31.24,30.26,31.12,1090600
2015-10-29,30.82,32.02,30.11,31.59,1715090
2015-10-30,31.49,32.49,31.0001,32.22,2607460
2015-11-02,32.36,33.62,30.91,30.96,3020040
2015-11-03,31.05,31.75,29.64,31.44,5541610
2015-11-04,33.73,33.93,29.63,31.75,9636760
2015-11-05,32.51,33.54,31.35,31.62,5644790
2015-11-06,31.6,32.41,31.49,31.54,4023290
2015-11-09,31.63,31.64,29.74,30.23,2992430
2015-11-10,30.1,30.45,28.2,28.59,3445010
2015-11-11,28.83,29,27.7,28.18,3107690
2015-11-12,28,29.8899,27.5801,28.86,5408120
2015-11-13,28.93,30,28.17,28.33,3687570
2015-11-16,28.26,28.63,26.38,27.35,7291570
2015-11-17,26.5,27,25.53,26.39,26040990
2015-11-18,26.87,28,26.5,28,19073760
2015-11-19,28,29.72,27.84,29.45,12338330
2015-11-20,29.5,29.6,27.72,28.23,8841760
2015-11-23,28.15,29,27.861,28.87,3863030
2015-11-24,28.46,28.46,26.81,26.95,11926200
2015-11-25,27.25,27.6783,26.26,26.44,9344560
2015-11-27,26.8,26.98,26.3,26.71,3141460
2015-11-30,26.9,26.96,26.22,26.34,5097680
2015-12-01,26.18,26.7,26.18,26.28,4329790
2015-12-02,26.32,26.57,25.8,26.41,3854990
2015-12-03,26.5,26.88,26.13,26.83,6136970
2015-12-04,26.85,27.4,26.54,27.12,6292950
2015-12-07,26.63,27.15,26.54,26.88,6162490
2015-12-08,26.4,26.79,26.04,26.48,4731640
2015-12-09,26.28,26.28,24.42,24.81,9383180
2015-12-10,24.81,25.205,24.55,24.96,5648180
2015-12-11,24.63,25.28,24.54,24.76,1911890
2015-12-14,24.63,25,24.16,24.56,2903650
2015-12-15,24.49,25.57,24.4,25.36,5266150
2015-12-16,25.5,26.36,25.29,26.21,6100960
2015-12-17,26.29,26.8,26.16,26.53,3737490
2015-12-18,26.17,26.37,25.31,25.31,3531200
2015-12-21,25.5,25.74,24.06,24.45,2730190
2015-12-22,24.5,24.83,24.2222,24.66,1837980
2015-12-23,24.69,25.29,24.57,24.92,1417770
2015-12-24,24.94,25.45,24.93,25.34,1039430
2015-12-28,25.27,25.46,24.76,24.84,1124560
2015-12-29,25.01,25.68,24.881,25.18,1845740
2015-12-30,25.12,26.56,25.12,25.98,2428790
2015-12-31,25.85,26.1999,25.22,25.8,2349420
2016-01-04,25.42,25.835,24.52,25.72,6017720
2016-01-05,25.5,26.5,25.26,25.31,4182030
2016-01-06,24.95,25.34,24.18,25.3,2565650
2016-01-07,25,25.58,24.63,24.67,4159830
2016-01-08,25,25.37,24.7,24.93,1373940
2016-01-11,24.95,25.03,23.53,23.87,2945400
2016-01-12,24.15,24.72,23.41,23.74,3697780
2016-01-13,23.73,23.925,21.25,21.38,5105160
2016-01-14,21.44,21.44,19.85,20.64,8137220
2016-01-15,20.24,20.24,18.48,19.89,9212680
2016-01-19,21.43,21.55,20.18,20.3,8834990
2016-01-20,20,20.9499,18.61,20.53,5026230
2016-01-21,20.93,23.4,20.56,22.79,11028310
2016-01-22,23.47,23.71,22.64,23.07,7820460
2016-01-25,23.13,23.68,22.66,23.13,3380280
2016-01-26,23.44,23.51,22.385,23.09,1756160
2016-01-27,22.92,23.24,22,22,2890160
2016-01-28,22.27,22.9,22.01,22.5,3153480
2016-01-29,22.49,23.3,22.37,23.22,5384150
2016-02-01,23.26,23.71,22.86,23.53,3733710
2016-02-02,23.27,23.515,22.19,22.62,5386600
2016-02-03,22.89,23.03,21.72,23,5558140
2016-02-04,22.86,23.79,22.81,23.48,3637060
2016-02-05,23.33,23.435,21.27,21.87,13917630
2016-02-08,21.52,21.75,19.92,20.38,6236530
2016-02-09,20.32,21.03,19.69,19.85,3926940
2016-02-10,20.01,20.57,19.845,19.97,1602110
2016-02-11,19.5,19.99,18.9,19.37,2126310
2016-02-12,19.39,19.85,18.58,19.33,4952430
2016-02-16,20.54,21.42,19.82,20.5,11851080
2016-02-17,24.2,24.81,21.64,22.37,34919580
2016-02-18,22.99,23.17,20.55,20.59,14587460
2016-02-19,20.22,20.75,19.84,20.57,6386610
2016-02-22,20.8,21.39,20.61,21.21,7639850
2016-02-23,21.06,21.37,19.51,20.04,13057940
2016-02-24,19.77,21.19,19.68,21.02,9714770
2016-02-25,21.33,21.83,20.77,21.66,12715270
2016-02-26,21.69,22.12,21.3201,22,11061870
2016-02-29,22.03,22.9,21.9,22.38,6481480
2016-03-01,22.67,22.87,22.01,22.69,6926790
2016-03-02,22.64,24.44,22.47,24.36,14957690
2016-03-03,24.36,25.71,23.675,24.27,12104500
2016-03-04,24.51,25.5,24.4,25.16,8772190
2016-03-07,25,25.91,24.77,25.87,8618930
2016-03-08,26.21,26.99,25.95,26.79,13481780
2016-03-09,26.91,26.91,26.02,26.07,9498960
2016-03-10,26.43,26.45,25.31,25.39,4906200
2016-03-11,25.75,26.77,25.64,26.7,6347410
2016-03-14,26.93,27,26.25,26.58,2149780
2016-03-15,26.35,26.454,25.6555,25.83,2693320
2016-03-16,25.84,26.95,25.57,26.8,4010240
2016-03-17,26.89,27.24,26.56,27.15,5607980
2016-03-18,28.09,28.78,27.52,28.49,14563020
2016-03-21,28.48,28.63,27.65,28.04,4082720
2016-03-22,27.76,28.14,27.06,27.51,6681960
2016-03-23,27.28,27.5899,26.09,26.2,3823560
2016-03-24,27.5,27.78,26.12,26.99,6822720
2016-03-28,27.68,27.81,26.88,27.59,5444010
2016-03-29,27.53,28.08,27.35,27.97,4029940
2016-03-30,28.25,28.62,27.74,27.77,5441320
2016-03-31,27.96,28.5989,27.96,28.21,5311080
2016-04-01,27.88,28.67,27.565,28.45,6528220
2016-04-04,29.02,29.9889,28.75,29.3,16197590
2016-04-05,29.24,29.24,28.64,28.75,5586700
2016-04-06,28.83,29.7399,28.78,29.5,4937830
2016-04-07,29.47,29.69,28.941,29.21,3204220
2016-04-08,29.42,30,29.24,29.55,4433680
