Date,Open,High,Low,Close,Volume
2000-01-03,55.625,55.6876,53.625,54.9376,7239800
2000-01-04,53.9376,55.5626,53.75,54.1876,7963000
2000-01-05,54.0626,55,53.5,54.0626,4826200
2000-01-06,54.375,58.0626,54.0626,57.75,8005000
2000-01-07,58.4376,60.0626,58.125,58.8126,7368600
2000-01-10,58.75,59.5626,57.875,59.375,5301600
2000-01-11,59.5626,60.875,58.4376,60.5626,5525800
2000-01-12,60.0626,61.0626,59.0626,59.1876,4767600
2000-01-13,59.375,61.5,59.375,60.875,4431000
2000-01-14,61.1876,62.375,60.25,61.5,4340400
2000-01-18,62,66.75,61.75,66.125,10215200
2000-01-19,66,66.5,65.0626,65.875,6894200
2000-01-20,64.8126,65.25,63.25,64.5626,5076800
2000-01-21,64.9376,67.625,64.875,66,8978600
2000-01-24,66.25,66.9376,64,64.3126,5464400
2000-01-25,63.3126,64.75,62.5,63.5,6135800
2000-01-26,64.25,65,61.5626,62.875,6799600
2000-01-27,62.625,64.5,61.3126,62.5,8198000
2000-01-28,62.125,63.25,59.75,60,6604200
2000-01-31,60.375,61.5626,59.75,61.0626,4803200
2000-02-01,61.9376,64.0626,61.75,63.9376,3888400
2000-02-02,64.5,65.125,61.25,61.5,6333000
2000-02-03,62,62.25,60.75,61.3126,4744400
2000-02-04,60.75,61.3126,58.75,59.5,6238600
2000-02-07,59.125,61.5,59.125,60.6876,4456000
2000-02-08,61.125,61.6876,58.75,59.5,3218600
2000-02-09,59.5,60.3126,56.9376,57.0626,5931400
2000-02-10,58,59.625,57.5,59.0626,7112800
2000-02-11,59.5,60.1876,58.3126,58.4376,5045000
2000-02-14,58.4376,60.5,57.5,60.5,4750600
2000-02-15,61.5,65.25,61.3126,65,10922200
2000-02-16,65.8126,66.375,65.0626,66,11507000
2000-02-17,65.5,67.6876,64.75,66.875,10306800
2000-02-18,67.1876,67.75,65.875,66.5,5774400
2000-02-22,65.875,66.75,64.25,65.3126,5059000
2000-02-23,64.5,65.125,63.75,64.5,4034800
2000-02-24,64.5,68.6876,64.375,68.4376,12022800
2000-02-25,68.25,69.25,66.875,67,7579800
2000-02-28,66.625,70.1876,66.5626,69.25,7540600
2000-02-29,70.5,73.875,70.3126,73.8594,9574600
